acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
methodology,n. 方法学，方法论
step forward,"na. “step forth”的变体
 向前；前进；向前迈步"
long overdue,找不到解释
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
biomedical,adj. 生物医学的
alarmingly,adv. 惊人地；让人担忧地
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
verify,vt. 核实；查证
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
dearth,n. 缺乏；饥馑；粮食不足
integrity,n. 完整；正直；诚实；廉正
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
sorting mechanism, 分类机构
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
drive a point home,"v. 把问题讲清楚
 把论点讲透彻；阐明观点；阐明清楚"
drive the point home,"v. 把问题讲清楚
 练就深刻的思想"
absence,n. 没有；缺乏；缺席；不注意
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
capitalism,n. 资本主义
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
lose one's way,"na. 迷路
 迷失方向；迷途；谁迷路"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
hacking,"v. 砍；出租（hack的ing形式）
adj. 骑马的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
guilty,adj. 有罪的；内疚的
conspire,"vi. 共谋；协力
vt.  密谋策划"
predecessor,n. 前任，前辈
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
await,vt. 等候，等待；期待
unfold,"vi. 展开；显露
vt. 打开；呈现"
dearth,n. 缺乏；饥馑；粮食不足
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
core,找不到解释
defence,n. 防御；防卫；答辩；防卫设备
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
accountable,adj. 有责任的；有解释义务的；可解释的
doctrine,n. 主义；学说；教义；信条
efficiency,n. 效率；效能；功效
flexibility,n. 灵活性；弹性；适应性
shareholder,n. 股东；股票持有人
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
circulation,n. 流通，传播；循环；发行量
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
fairness,n. 公平；美好；清晰；顺利性
tolerance,n. 公差；宽容；容忍；公差
proportionality,n. 相称；均衡；比例性
accountability,n. 有义务；有责任；可说明性
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
journalist,n. 新闻工作者；报人；记日志者
instruction,n. 指令，命令；指示；教导；用法说明
traceable,adj. 起源于；可追踪的；可描绘的
innovator,n. 改革者，创新者
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
lawmaker,n. 立法者
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
ultra-thin,超薄
runway,n. 跑道；河床；滑道
parliament,n. 议会，国会
incite,vt. 煽动；激励；刺激
excessive,adj. 过多的，极度的；过分的
uplifting,adj. 令人振奋的；使人开心的
impinge on,"v. 影响到；冲击；打击
 侵犯；撞击；紧密接触"
tape-measure,n. 卷尺；带尺；皮尺
enforce,vt. 实施，执行；强迫，强制
arbiter,n.  仲裁者；裁决人
faintly,adv. 微弱地；模糊地；虚弱地
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
intangible,adj. 无形的，触摸不到的；难以理解的
wasp-waist,找不到解释
physique,n. 体格，体形
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
adornment,n. 装饰；装饰品
idealized,"adj. 理想化的
v. 把…理想化；以理想的形式表现事物（idealize的过去分词）"
peer pressure, 同侪压力；同伴压力；同辈压力
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
revised,"v. 修改；校订；复习（revise的过去分词形式）
adj. 改进的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
compliance,n. 顺从，服从；承诺
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
alongside,"prep. 在……旁边
adv. 在旁边"
limited,"adj. 有限的
n. 高级快车"
stylish,adj. 时髦的；现代风格的；潇洒的
dweller,n. 居民，居住者
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
guardianship,n. 监护；监护人的责任
endorse,vt. 背书；认可；签署；赞同；在背面签名
sentiment,n. 感情，情绪；情操；观点；多愁善感
Conservative,"n. 保守派，守旧者
adj. 保守的"
explicitly,adv. 明确地；明白地
rural,adj. 农村的，乡下的；田园的，有乡村风味的
priority,n. 优先；优先权； 优先次序；优先考虑的事
sustainable development,"na. 可持续发展
 永续发展；可持续性发展；可持续的发展"
profitable,adj. 有利可图的；赚钱的；有益的
council,n. 委员会；会议；理事会；地方议会；顾问班子
Liberal Democrat,"n. 自由民主党成员（或支持者）
 英国自由民主党；自由民主派；自由民主党籍"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
infrastructure,n. 基础设施；公共建设；下部构造
intrusion,n. 侵入；闯入
concreted,"a. 混凝土的；实在的, 具体的；有形的
vi. 凝结
vt. 使凝固；用混凝土修筑
n. 具体物；凝结物"
meadow,n. 草地；牧场
lobby talk,找不到解释
urban,adj. 城市的；住在都市的
renovation,n. 革新；修理；恢复活力
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
high street,"n. 大街（城镇的主要街道）
 高街；商业街；繁华的商业大街"
biased,adj. 有偏见的；结果偏倚的，有偏的
let rip, （非正式）全力以赴，无拘无束行事，自由自在地行动
enviable,adj. 值得羡慕的；引起忌妒的
coherence,n. 一致；连贯性；凝聚
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
corrupted,"adj. 腐败的；毁坏的；崩溃的
v. （使）腐败；（使）堕落（corrupt的过去分词）"
spectrum,n. 光谱；频谱；范围；余象
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
monetary,adj. 货币的；财政的
corruption,n. 贪污，腐败；堕落
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
consulting,"v. 咨询，请教；商议（consult的现在分词形式）
adj. 咨询的，商议的；顾问的，任专职顾问的"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
halo effect,"un. 光圈效应；光环效应
 晕轮效应；光晕效应；晕轮效果"
whereby,adv. 凭借；通过…；借以；与…一致
differentiate,"vt. 区分，区别
vi. 区分，区别"
prosecution,n. 起诉，检举；进行；经营
investigation,n. 调查；调查研究
lenient,adj. 宽大的；仁慈的
penalty,n. 罚款，罚金；处罚
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
leniency,n. 宽大，仁慈；温和
prosecutor,n. 检察官；公诉人； 起诉人；实行者
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
eliminate,vt. 消除；排除
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bank on,"na. 信赖
 指望；依赖；依靠"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
cease to, 不再出现某种情况；停止；终止
nostalgia,n. 乡愁；怀旧之情；怀乡病
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
infrastructure,n. 基础设施；公共建设；下部构造
excessive,adj. 过多的，极度的；过分的
constraint,n.  约束；局促，态度不自然；强制
migrate away,找不到解释
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
revenue,n. 税收，国家的收入；收益
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
only if,"conj. 只有当
 只要；除非；只要…就"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
streaming,"n. 流；（英）按能力分组
v. 流动（stream的ing形式）"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
foresighted,adj. 有先见之明的，深谋远虑的，能预料的
legacy,n. 遗赠，遗产
sustain,vt. 维持；支撑，承担；忍受；供养；证实
essentially,adv. 本质上；本来
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
subscription,n. 捐献；订阅；订金；签署
tremendous,adj. 极大的，巨大的；惊人的；极好的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
in advance,"na. 预先；在先头
 事先；提前；事前"
authority,n. 权威；权力；当局
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
security lines,找不到解释
tolerate,vt. 忍受；默许；宽恕
procedure,n. 程序，手续；步骤
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
terrorist,n. 恐怖主义者，恐怖分子
undermine,vt. 破坏，渐渐破坏；挖掘地基
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
infuriating,"v. 使发怒（infuriate的ing形式）
adj. 令人大怒的"
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
investigator,n. 研究者；调查者；侦查员
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
anticipate,vt. 预期，期望；占先，抢先；提前使用
screener,n. 掩护队员；分级机，筛选器；筛分工；过滤网
overpack,n. 第二层包装
carry-on bag,(飞机乘客)携带的提包
fee,"n. 费用；酬金；小费
vt. 付费给……"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
be eligible to,找不到解释
expedited,v. 加快；派出（expedite的过去分词）；迅速执行
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
underused,adj. 未充分利用的
astronomer,n. 天文学家
reigning,"adj. 统治的；在位的；本届的；起支配作用的
v. 统治；支配；盛行（reign的ing形式）"
monarch,n. 君主，帝王；最高统治者
esteemed,"adj. 受人尊敬的
v. 尊敬；认为（esteem的过去分词）"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
observatory,n. 天文台；气象台；瞭望台
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
rise above,"na. 凌驾…之上；超越…；摆脱
 克服；不受……的影响；超然"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
unsurpassed,adj. 非常卓越的；未被超越的
clarity,n. 清楚，明晰；透明
opposition,n. 反对；反对派；在野党；敌对
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
disrespect,n. 无礼，失礼，不敬
sacred,adj. 神的；神圣的；宗教的；庄严的
occupation,n. 职业；占有；消遣；占有期
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
controversy,n. 争论；论战；辩论
belong to,"v. 属于；附属
 归于；归属；属於"
eagerness,n. 渴望；热心
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
ecosystem,n. 生态系统
inhabitant,n. 居民；居住者
relic,n. 遗迹，遗物；废墟；纪念物
renaissance,n. 文艺复兴（欧洲14至17世纪）
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
civilization,n. 文明；文化
curiosity,n. 好奇，好奇心；珍品，古董，古玩
horizon,n.  地平线；视野；眼界；范围
disassemble,vt. 拆开，解开；反汇编
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
starry sky, 满天星；星座彼氏；星空
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
visibility,n. 能见度，可见性；能见距离；明显性
archaeological,adj.  考古学的； 考古学上的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
heritage,n. 遗产；传统；继承物；继承权
worthwhile,adj. 值得做的，值得花时间的
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
assess,vt. 评定；估价；对…征税
refer to,"v. 查阅；提到
 参考；涉及；谈到"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
policymaker,n. 政策制定者；决策人
flawed,adj. 有缺陷的；有瑕疵的；有裂纹的
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
Brexit, 英国退出欧盟
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
well-being,n. 幸福；康乐
shed some light on,找不到解释
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
criteria,n. 标准，条件（criterion的复数）
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
rounded,adj. 圆形的；全面的；丰满的
assessment,n. 评定；估价
consistent,adj. 始终如一的，一致的；坚持的
budding,"n. 发芽
adj. 萌芽的；发育期的"
indicator,n. 指示器； 指示剂； 指示符；压力计
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
be regarded as, 被认为是；被当做是；视为
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
outcome,n. 结果，结局；成果
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
forecasted,v.  预测；预见（forecast的过去分词）
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
unanimous,adj. 全体一致的；意见一致的；无异议的
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
corruption,n. 贪污，腐败；堕落
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
access to, 接近；进入；通向…的入口
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
jury,"n.  陪审团；评判委员会
adj. 应急的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
justice,n. 司法，法律制裁；正义；法官，审判员
distasteful,adj. 令人不快的；不合口味的；表示厌恶的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
anti-bribery,反贿赂
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
define,vt. 定义；使明确；规定
favoritism,n. 偏袒；得宠
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
bureaucratic,adj. 官僚的；官僚政治的
prosecution,n. 起诉，检举；进行；经营
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
representative government, 代议制政府；代议政府；代议政制
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
equality,n. 平等；相等； 等式
donation,n. 捐款，捐赠物；捐赠
integrity,n. 完整；正直；诚实；廉正
transparency,n. 透明，透明度；幻灯片；有图案的玻璃
lobbying,"n. 游说
v. 进行游说（lobby的ing形式）；对议员进行游说以影响其投票"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
perception,n. 知觉； 感觉；看法；洞察力；获取
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
democratic,adj. 民主的；民主政治的；大众的
undermine,vt. 破坏，渐渐破坏；挖掘地基
rest on,"na. 被支持在…上；(目光等)停留在…上
 依靠；依赖；被搁在"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
unmentioned,adj. 未提到的；未说起的
presidential,adj. 总统的；首长的；统辖的
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
entirely,adv. 完全地，彻底地
disproportionately,adv. 不成比例地
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
occupation,n. 职业；占有；消遣；占有期
alarmist,"n. 杞人忧天者；大惊小怪者
adj. 危言耸听的；忧虑的"
upheaval,n. 剧变；隆起；举起
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
automation,n. 自动化；自动操作
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
productivity,n. 生产力；生产率；生产能力
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
vocational,adj. 职业的，行业的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
affordable,adj. 负担得起的
acquire,vt. 获得；取得；学到；捕获
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
transition,n. 过渡；转变； 转换；变调
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
subsidy,n. 补贴；津贴；补助金
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
inequality,n. 不平等；不同；不平均
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
upend,vt. 倒放，颠倒；竖立
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
platform,n. 平台；月台，站台；坛；讲台
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
distrust,"n. 不信任
vt. 不信任
怀疑"
beef up, <口>加强，补充（人数、兵力）等; 使更大（更好、更有意思等）
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
rarely,adv. 很少地；难得；罕有地
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
digital,"n. 数字；键
adj. 数字的；手指的"
fiction,n. 小说；虚构，编造；谎言
cyberspace,n. 网络空间；赛博空间
verify,vt. 核实；查证
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
cross-check,"n. 反复核对
vt. 再确认；反复核对"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
opposing,"adj. 反对的；相对的；对面的
v. 反对（oppose的ing形式）"
reliance,n. 信赖；信心；受信赖的人或物
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
intimately,adv. 熟悉地；亲切地；私下地
projection,n. 投射；规划；突出；发射；推测
pass along,"v. 传
 传递；向前行；转嫁到"
misinterpretation,n. 误解；误释
exaggeration,n. 夸张；夸大之词；夸张的手法
indicate,vt. 表明；指出；预示；象征
counteract,vt. 抵消；中和；阻碍
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
fair-minded,adj. 公正的；公平的
assessment,n. 评定；估价
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
commissioner,n. 理事；委员；行政长官；总裁
damning,"adj. 咒骂的；毁灭的；受永罚的
n. 诅咒
v. 咒骂（damn的ing形式）"
verdict,n. 结论；裁定
vague,adj. 模糊的；含糊的；不明确的；暧昧的
take account of,"na. 考虑
 考虑到；顾及；考虑到某事"
scrutinise,"vt. 详细检查，细看(scrutinize)
vi. 作详细检查，细阅"
consent to,"v. 同意；赞成
 同意某事；应允；赞同意义的词组"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
aggregation,n.  聚合，聚集；聚集体，集合体
identifiable,adj. 可辨认的；可认明的；可证明是同一的
surveillance,n. 监督；监视
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
maladapted,adj. 不适应的，不适合的
algorithm,n.  算法，运算法则
monopoly,n. 垄断；垄断者；专卖权
pharma,n. 制药公司
gigantic,adj. 巨大的，庞大的
feudalism,n. 封建主义；封建制度
exceed,"vt. 超过；胜过
vi. 超过其他"
liability,n. 责任；债务；倾向；可能性；不利因素
bankruptcy,n. 破产
permanently,adv. 永久地，长期不变地
regulatory,adj. 管理的；控制的；调整的
self-interested,adj. 自私的；利己主义的
legislation,n. 立法；法律
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
estimated,adj. 估计的；预计的；估算的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
retiree,n. （美）退休人员；歇业者
complaint,n. 抱怨；诉苦；疾病；委屈
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
omission,n. 疏忽，遗漏；省略；冗长
eliminate,vt. 消除；排除
consensus,n. 一致；舆论；合意
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
embarrassing,adj. 使人尴尬的；令人为难的
