symptom,n.  症状；征兆
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
thrift,n. 节俭；节约； 海石竹
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
property,n. 性质，性能；财产；所有权
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
estate,n. 房地产；财产；身份
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
worth,"n. 价值；财产
adj. 值…的"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
worthwhile,adj. 值得做的，值得花时间的
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
cheque,n. 支票
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
legislation,n. 立法；法律
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
statute,n.  法规；法令；条例
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
valid,adj. 有效的；有根据的；合法的；正当的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
enforce,vt. 实施，执行；强迫，强制
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
Congress,找不到解释
Parliament,找不到解释
Senate,找不到解释
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
council,n. 委员会；会议；理事会；地方议会；顾问班子
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
norm,n. 标准，规范
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
violate,vt. 违反；侵犯，妨碍；亵渎
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
guilt,n. 犯罪，过失；内疚
guilty,adj. 有罪的；内疚的
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
conspiracy,n. 阴谋；共谋；阴谋集团
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
thief,n. 小偷，贼
theft,n. 盗窃；偷；赃物
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
deceive,v. 欺骗；行骗
fraud,n. 欺骗；骗子；诡计
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
sue,"vt. 控告；请求
vi. 控告；提出请求"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
justice,n. 司法，法律制裁；正义；法官，审判员
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
lawyer,n. 律师；法学家
attorney,n. 律师；代理人；检查官
the Bar,找不到解释
summon,vt. 召唤；召集；鼓起；振作
jury,"n.  陪审团；评判委员会
adj. 应急的"
judicial,adj. 公正的，明断的；法庭的；审判上的
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defend,"vi. 保卫；防守
vt. 辩护；防护"
victim,n. 受害人；牺牲品；牺牲者
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
scrutiny,n. 详细审查；监视；细看；选票复查
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
confirm,vt. 确认；确定；证实；批准；使巩固
affirm,"vt. 肯定；断言
vi. 确认；断言"
verify,vt. 核实；查证
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
investigate,v. 调查；研究
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
testify,"vi. 作证；证明
vt. 证明，证实；作证"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
prove,"vi. 证明是
vt. 证明；检验；显示"
certify,v. 证明；保证
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
condemn,vt. 谴责；判刑，定罪；声讨
verdict,n. 结论；裁定
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
acknowledge,vt. 承认；答谢；报偿；告知已收到
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
decisive,adj. 决定性的；果断的，坚定的
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
admission,n. 承认；入场费；进入许可；坦白；录用
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
penalty,n. 罚款，罚金；处罚
deserve,"vi. 应受，应得
vt. 应受，应得"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
ownership,n. 所有权；物主身份
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarity,n. 清楚，明晰；透明
deprive,vt. 使丧失，剥夺
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liability,n. 责任；债务；倾向；可能性；不利因素
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
compel,vt. 强迫，迫使；强使发生
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
undertake,vt. 承担，保证；从事；同意；试图
duty,n. 责任； 关税；职务
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
require,vt. 需要；要求；命令
requirement,n. 要求；必要条件；必需品
deceive,v. 欺骗；行骗
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
prove,"vi. 证明是
vt. 证明；检验；显示"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
deserve,"vi. 应受，应得
vt. 应受，应得"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
undertake,vt. 承担，保证；从事；同意；试图
responsible,adj. 负责的，可靠的；有责任的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
comply,vi. 遵守；顺从，遵从；答应
prohibit,vt. 阻止，禁止
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberate,vt. 解放；放出；释放
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equality,n. 平等；相等； 等式
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
freedom,n. 自由，自主；直率
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
virtue,n. 美德；优点；贞操；功效
thrift,n. 节俭；节约； 海石竹
diligent,adj. 勤勉的；用功的，费尽心血的
strive,vi. 努力；奋斗；抗争
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
regime,n. 政权，政体；社会制度；管理体制
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
monarch,n. 君主，帝王；最高统治者
privilege,"n. 特权；优待
vt. 给与…特权；特免"
democratic,adj. 民主的；民主政治的；大众的
democracy,n. 民主，民主主义；民主政治
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
nation,n. 国家；民族；国民
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nationality,n. 国籍，国家；民族；部落
kingdom,n. 王国；界；领域
empire,n. 帝国；帝王统治，君权
emperor,n. 皇帝，君主
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
hierarchy,n. 层级；等级制度
commonwealth,n. 联邦；共和国；国民整体
republic,n. 共和国；共和政体
republican,"n. 共和党人
adj. 共和党的
共和的"
civilization,n. 文明；文化
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
authority,n. 权威；权力；当局
administration,n. 管理；行政；实施；行政机构
bureau,n. 局，处；衣柜；办公桌
bureaucracy,n. 官僚主义；官僚机构；官僚政治
colony,n. 殖民地；移民队；种群；动物栖息地
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
president,n. 总统；董事长；校长；主席
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
autonomy,n. 自治，自治权
guideline,"n. 指导方针
参考"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
priority,n. 优先；优先权； 优先次序；优先考虑的事
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
inhabitant,n. 居民；居住者
politics,n. 政治，政治学；政治活动；政纲
politician,n. 政治家，政客
statesman,n. 政治家；国务活动家
province,n. 省；领域；职权
region,n. 地区；范围；部位
district,n. 区域；地方；行政区
municipal,adj. 市政的，市的；地方自治的
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
policy,n. 政策，方针；保险单
citizen,n. 公民；市民；老百姓
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
municipal,adj. 市政的，市的；地方自治的
province,n. 省；领域；职权
essence,n. 本质，实质；精华；香精
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
alleviate,vt. 减轻，缓和
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
emigrate,"vi. 移居；移居外国
vt. 移民"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
diplomatic,adj. 外交的；外交上的；老练的
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
harmony,n. 协调；和睦；融洽；调和
status,n. 地位；状态；情形；重要身份
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
unity,n. 团结；一致；联合；个体
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
territory,n. 领土，领域；范围；地域；版图
violence,n. 暴力；侵犯；激烈；歪曲
violent,adj. 暴力的；猛烈的
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
refugee,n. 难民，避难者；流亡者，逃亡者
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
strategy,n. 战略，策略
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
chaos,n. 混沌，混乱
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
army,n. 陆军，军队
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
weapon,n. 武器，兵器
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
hostage,n. 人质；抵押品
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
injure,vt. 伤害，损害
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
undermine,vt. 破坏，渐渐破坏；挖掘地基
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
destroy,vt. 破坏；消灭；毁坏
victory,n. 胜利；成功；克服
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
peace,n. 和平；平静；和睦；秩序
peaceful,adj. 和平的，爱好和平的；平静的
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
impair,vt. 损害；削弱；减少
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
alliance,n. 联盟，联合；联姻
fierce,adj. 凶猛的；猛烈的；暴躁的
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
cruelty,n. 残酷；残忍；残酷的行为
ruthless,adj. 无情的，残忍的
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
invasion,n. 入侵，侵略；侵袭；侵犯
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
revolution,n. 革命；旋转；运行；循环
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
march,n. 三月
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
