aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
surreptitious,adj. 秘密的；鬼鬼祟祟的；暗中的
timorous,adj. 胆怯的；胆小的；羞怯的
tirade,n. 激烈的长篇演说
torpor,n. 不活泼；麻木；懒散，迟缓
tortuous,adj. 扭曲的，弯曲的；啰嗦的
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
tractable,adj. 易于管教的；易驾驭的；易处理的；驯良的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transitory,adj. 短暂的，暂时的；瞬息的
transmute,"vt. 使变形；使变质
vi. 变形；变质"
travail,"n. 分娩的痛苦；艰苦劳动
vi. 辛勤努力；经受分娩的阵痛"
travesty,"n. 歪曲；滑稽作品；拙劣的模仿作品
vt. 歪曲；滑稽地模仿"
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
trenchant,adj. 尖刻的；锐利的；苛刻的；锋利的（名词trenchancy，副词trenchantly）
tribulation,n. 苦难；磨难；忧患
trite,adj. 陈腐的；平庸的；老一套的
truculence,n. 野蛮；好战；刻薄；致命性（等于truculency）
truculent,adj. 好斗的；野蛮的；言词刻毒的
truncate,"vt. 把…截短；缩短；使成平面
adj. 截短的；被删节的"
tumult,n. 骚动；骚乱；吵闹；激动
turgid,adj. 肿胀的；浮夸的；浮肿的
turpitude,n. 卑鄙；奸恶
tyro,n. 新手，生手；初学者
umbrage,n. 不快，生气；树荫；怀疑
unassailable,adj. 不容置疑的；无懈可击的
uncanny,adj. 神秘的；离奇的；可怕的
uncompromising,adj. 不妥协的，不让步的；坚定的
unconscionable,adj. 不合理的；昧着良心的；肆无忌惮的；过度的
undermine,vt. 破坏，渐渐破坏；挖掘地基
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
unequivocal,adj. 明确的；不含糊的
unflappable,adj. 镇定的，不慌张的
unimpeachable,adj. 无可指责的；无可怀疑的；无懈可击的；无过失的，无罪的
unnerve,vt. 使失去勇气；使身心交疲；使焦躁；使失常
unprecedented,adj. 空前的；无前例的
unprepossessing,adj. 不吸引人的；不讨人喜欢的
unpropitious,adj. 不吉利的，恶运的
unruly,adj. 不守规矩的；任性的；难驾驭的
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
unseemly,"adj. 不适宜的；不得体的
adv. 不得体地；不适宜地"
unstinting,adj. 慷慨的；大方的；无限制的
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
untoward,adj. 不幸的；麻烦的；倔强的；困难的
untrammeled,adj. 自由自在的；无阻碍的（等于untrammelled）
upbraid,vt. 责骂；训斥
urbane,adj. 彬彬有礼的，温文尔雅的；都市化的
vacillate,vi. 犹豫；踌躇；摇摆
vacuous,adj. 空的；空虚的；空洞的；无意义的
vanquish,vt. 征服；击败；克服；抑制（感情等）
variance,n. 变异；变化；不一致；分歧； 方差
vaunted,"adj. 自夸的；大肆吹嘘的
v. 夸耀；吹牛（vaunt的过去分词）"
vehement,adj. 激烈的，猛烈的；热烈的
venality,n. 唯利是图；贪赃枉法；受贿
veneer,"n. 外表；虚饰；饰面；胶合板的一层；薄木片
vt. 胶合；虚饰；给…镶以饰片"
venerate,vt. 崇敬，尊敬
venial,adj. 可原谅的；（罪过）轻微的；可宽恕的
veracious,adj. 诚实的；真实的
verisimilitude,n. 逼真，貌似真实；逼真的事物
veritable,adj. 真正的，名副其实的
vicarious,adj. 替代的；代理的；发同感的
vicissitude,n. 变迁；盛衰；变化无常；变迁兴衰
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
vilify,vt. 诽谤；中伤；轻视；贬低
vindicate,vt. 维护；证明…无辜；证明…正确
vindictive,adj. 怀恨的；有报仇心的；惩罚的
virago,n. 泼妇；悍妇；有男子气概的女子
vitriol,"n. 硫酸， 硫酸盐；尖刻的话
vt. 用硫酸处理；用尖刻的话伤害"
vitriolic,adj. 硫酸的；刻薄的
vituperate,vt. 谩骂；责骂
vociferous,adj. 大声叫的；喊叫的，喧嚷的
volubility,n. 流利；健谈
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
wanting,"prep. 无；缺
v. 需要（want的现在分词）；欠缺
adj. 欠缺的；不足的；不够格的"
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
whimsical,adj. 古怪的；异想天开的；反复无常的
winsome,adj. 迷人的；可爱的；引人注目的
zeitgeist,n. 时代思潮，时代精神
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
forthcoming,"n. 来临
adj. 即将来临的"
viable,adj. 可行的；能养活的；能生育的
