potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
be glued to sth.,找不到解释
Wi-Fi,找不到解释
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
shoot past,找不到解释
knock sb. off one's feet,找不到解释
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
somehow,adv. 以某种方法；莫名其妙地
be lost in,"v. 迷恋
 陷入；迷失在……中；全神贯注于"
journal,n. 日报，杂志；日记；分类账
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
wide-ranging,adj. 广泛的
opera,n. 歌剧；歌剧院；歌剧团
badminton,n. 羽毛球
cut back on, 缩减；减少；削减，缩减
republic,n. 共和国；共和政体
malaria,n.  疟疾；瘴气
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
survival,n. 幸存，残存；幸存者，残存物
province,n. 省；领域；职权
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
intend,"vi. 有打算
vt. 打算；想要；意指"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
herb,n. 香草，药草
refer to,"v. 查阅；提到
 参考；涉及；谈到"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
limited,"adj. 有限的
n. 高级快车"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
container,n. 集装箱；容器
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
sufficient,adj. 足够的；充分的
data,n. 数据（datum的复数）；资料
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
error,n. 误差；错误；过失
through trial and error,通过试错
wisdom,n. 智慧，才智；明智；学识；至理名言
beneficial,adj. 有益的，有利的；可享利益的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
penicillin,n. 盘尼西林（青霉素）
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
bacteria,n.  细菌
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
indicate,vt. 表明；指出；预示；象征
accident,n. 事故；意外； 意外事件；机遇
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
intelligent,adj. 智能的；聪明的；理解力强的
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
politician,n. 政治家，政客
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
electricity,n. 电力；电流；强烈的紧张情绪
theory,n. 理论；原理；学说；推测
thunderstorm,n.  雷暴；雷暴雨；大雷雨
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
with a bang,"na. 砰地一声；剧烈而突然地；成功地
 大大地；起劲地；热气腾腾地"
standout,"n. 杰出的人；突出度
adj. 杰出的；出色的"
atomic,adj. 原子的，原子能的；微粒子的
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
involve,vt. 包含；牵涉；使陷于；潜心于
scientific,adj. 科学的，系统的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
let sb. down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
ignorance,n. 无知，愚昧；不知，不懂
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
take it for granted,"na. (= accept as true)认为当然
 视为当然；认为理所当然；理所当然的"
freedom,n. 自由，自主；直率
authority,n. 权威；权力；当局
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
responsibility,n. 责任，职责；义务
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
nationality,n. 国籍，国家；民族；部落
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
evolution,n. 演变；进化论；进展
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
marriage,n. 结婚；婚姻生活；密切结合，合并
mood,n. 情绪，语气；心境；气氛
combination,n. 结合；组合；联合； 化合
do the trick,"na. 达到目的
 达到理想的结果；做成功；获得成功"
creamy,adj. 奶油色的；乳脂状的；含乳脂的
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
greedily,adv. 贪婪地；贪食地
gently,adv. 轻轻地；温柔地，温和地
dessert,n. 餐后甜点；甜点心
association,n. 协会，联盟，社团；联合；联想
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
emotion,n. 情感；情绪
saucer,n. 茶托，浅碟；浅碟形物；眼睛
vinegar,n. 醋
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
salty,adj. 咸的；含盐的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
cry out for,"v. 急需
 迫切需要；哭着要；叫喊要某物"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
generate,vt. 使形成；发生；生殖；产生物理反应
calorie,n. 卡路里（热量单位）
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
enhance,vt. 提高；加强；增加
throw oneself into,"na. 开始热心做(某事)
 投入；投身于；积极从事"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
steak,n. 牛排；肉排；鱼排
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
scenery,n. 风景；景色；舞台布景
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
atmosphere,n. 气氛；大气；空气
out of this world,"na. 特别好的
 另一个世界；异世界；世外桃源"
version,n. 版本；译文；倒转术
filling,"n. 填充；填料
v. 填满；遍及（fill的ing形式）"
elderly,adj. 上了年纪的；过了中年的；稍老的
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
adorable,adj. 可爱的；可敬重的，值得崇拜的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
tiramisu,n. 意大利式甜点
bakery,n. 面包店
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
cream,n. 奶油，乳脂；精华；面霜；乳酪
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
let sth. loose,"na. 释放；放任；放走
 放开；放松；放出"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
Sichuan pepper, 花椒；四川花椒；基本成份是花椒
onion,n. 洋葱；洋葱头
spring onion,"n. 小葱；香葱
 青葱；大葱；葱花"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
foggy,adj. 有雾的；模糊的，朦胧的
dynasty,n. 王朝，朝代
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
chef,n. 厨师，大师傅
property,n. 性质，性能；财产；所有权
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
hit the spot,"na. 正合要求；恰到好处；使满足
 合口味；正合口味；正中下怀"
Cantonese,"n. 广东人；广东话
adj. 广州的，广州人的"
dim sum,"n. 点心
 中式点心；茶点；港式点心"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
innovation,n. 创新，革新；新方法
concept,n. 观念，概念
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
appetite,n. 食欲；嗜好
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
emphasis,n. 重点；强调；加强语气
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
gram,n. 克；鹰嘴豆（用作饲料）
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
wrapper,n. 包装材料； 包装纸；书皮
mixture,n. 混合；混合物；混合剂
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
fall apart,"na. 土崩瓦解
 崩溃；破碎；四分五裂"
Austrian,"n. 奥地利人
adj. 奥地利的；奥地利人的"
composer,n. 作曲家；作家，著作者；设计者
symphony,n. 交响乐；谐声，和声
concerto,n. 协奏曲
Polish,"n. 磨光，擦亮；上光剂，擦亮剂；优雅，精良
vi. 擦亮，变光滑
vt. 磨光，使发亮
adj. 波兰的"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
deserve,"vi. 应受，应得
vt. 应受，应得"
tear apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
forever,adv. 永远；不断地；常常
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
blues,"n. 忧郁布鲁斯歌曲；蓝色物（blue的复数）
v. 把…染成蓝色（blue的第三人称单数）"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
throw in,"na. 投入；发边界球；注入；插入
 掷界外球；扔进；额外奉送"
for good measure,"un. 作为额外增补
 另外；作为额外增添；作为额外添加"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
surroundings,n. 环境；周围的事物
heaven,n. 天堂；天空；极乐
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
adaptation,n. 适应；改编；改编本，改写本
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
invader,n. 侵略者；侵入物
consist of,"v. 由…合成
 由……组成；由…构成；包括"
defend,"vi. 保卫；防守
vt. 辩护；防护"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
spacecraft,n.  宇宙飞船，航天器
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
get down to sth.,找不到解释
get down to doing sth.,找不到解释
suitable,adj. 适当的；相配的
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
unusual,adj. 不寻常的；与众不同的；不平常的
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
complicated,adj. 难懂的，复杂的
lane,n. 小巷； 航线；车道；罚球区
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
expectation,n. 期待；预期；指望
remarkable,adj. 卓越的；非凡的；值得注意的
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
enthusiastic,adj. 热情的；热心的；狂热的
handkerchief,n. 手帕；头巾，围巾
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
reputation,n. 名声，名誉；声望
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
prediction,n. 预报；预言
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
depress,vt. 压抑；使沮丧；使萧条
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
orchestra,n. 管弦乐队；乐队演奏处
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
uplifting,adj. 令人振奋的；使人开心的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
genius,n. 天才，天赋；精神
variation,n. 变化； 变异，变种
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
finale,n. 结局；终曲；最后一场；最后乐章；尾声
rhythm,n. 节奏；韵律
portrait,n. 肖像；描写；半身雕塑像
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
decade,n. 十年，十年期；十
mostly,adv. 主要地；通常；多半地
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
neighbourhood,n. 邻近；周围；邻居关系；附近一带
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
like-minded,adj. 志趣相投的；具有相似意向或目的的
liberation,n. 释放，解放
opposed,"adj. 相反的；敌对的
v. 反对（oppose的过去分词）；使对立"
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
brushwork,n. 绘画；笔法；画法；书法
realistic,adj. 现实的；现实主义的；逼真的；实在论的
essence,n. 本质，实质；精华；香精
vivid,adj. 生动的；鲜明的；鲜艳的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
pixel,n. （显示器或电视机图象的）像素（等于picture element）
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
architecture,n. 建筑学；建筑风格；建筑式样；架构
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
garlic,n. 大蒜；蒜头
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
scroll,"n. 卷轴，画卷；名册；卷形物
vi. 成卷形
vt. 使成卷形"
insight,n. 洞察力；洞悉
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
all walks of life,"un. 各界；各行各业
 各界人士；各阶层人民；社会各界"
butcher,"n. 屠夫
vt. 屠杀"
go about sth.,找不到解释
apparent,adj. 显然的；表面上的
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
perspective,"n. 观点；远景；透视图
adj. 透视的"
precise,adj. 精确的；明确的；严格的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
temple,n. 庙宇；寺院；神殿；太阳穴
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
critic,n. 批评家，评论家；爱挑剔的人
inspection,n. 视察，检查
expose,vt. 揭露，揭发；使曝光；显示
political,adj. 政治的；党派的
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
be down to, 由某人负责；只剩下某个数量的东西
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
emperor,n. 皇帝，君主
in one's own right,"na. 依据自己的权利；依据自己生来应有的权利
 凭本身的头衔；独立的；依照自己的权利"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
exhibition,n. 展览，显示；展览会；展览品
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
speak volumes about,找不到解释
historic,adj. 有历史意义的；历史上著名的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
imply,vt. 意味；暗示；隐含
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
detect,vt. 察觉；发现；探测
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
 挖出；掘起；发现"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
trill,"n. 颤音；啭声；颤声
vt. 用颤音唱；用颤声说
vi. 发出颤音"
interpret,"vi. 解释；翻译
vt. 说明；口译"
patience,n. 耐性，耐心；忍耐，容忍
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
set sth. aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
constantly,adv. 不断地；时常地
logical,adj. 合逻辑的，合理的；逻辑学的
inner,"n. 内部
adj. 内部的；内心的；精神的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
reality,n. 现实；实际；真实
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
novelist,n. 小说家
break with sth.,找不到解释
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
undergo,vt. 经历，经受；忍受
industrialization,n. 工业化
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
belief,n. 相信，信赖；信仰；教义
era,n. 时代；年代；纪元
district,n. 区域；地方；行政区
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
hence,adv. 因此；今后
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
dweller,n. 居民，居住者
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
Confucianism,n. 孔子学说；儒家思想
Taoism,n. 道家的学说；道教
legend,n. 传奇；说明；图例；刻印文字
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
nourish,vt. 滋养；怀有；使健壮
numerous,adj. 许多的，很多的
glorious,adj. 光荣的；辉煌的；极好的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
stability,n. 稳定性；坚定，恒心
tolerant,adj. 宽容的；容忍的；有耐药力的
liberty,n. 自由；许可；冒失
unconstrained,adj. 不勉强的；非强迫的；不受约束的
vitality,n. 活力，生气；生命力，生动性
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
exaggeration,n. 夸张；夸大之词；夸张的手法
metaphor,n. 暗喻，隐喻；比喻说法
