absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
full time,"adj. 全部时间的
n. （体育运动的）全场比赛结束时间
 全职；全日制；专职"
knowledge,n. 知识，学问；知道，认识；学科
exhibition,n. 展览，显示；展览会；展览品
animation,n. 活泼，生气；激励；卡通片绘制
application,n. 应用；申请；应用程序；敷用
candidate,n. 候选人，候补者；应试者
customer,n. 顾客；家伙
receptionist,n. 接待员；传达员
luggage,n. 行李；皮箱
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
salary,"n. 薪水
vt. 给...加薪；给...薪水"
brochure,n. 手册，小册子
instrument,n. 仪器；工具；乐器；手段；器械
interval,n. 间隔；间距；幕间休息
literature,n. 文学；文献；文艺；著作
scene,n. 场面；情景；景象；事件
publisher,n. 出版者，出版商；发行人
appointment,n. 任命；约定；任命的职位
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
variety,n. 多样；种类；杂耍；变化，多样化
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
length,n. 长度，长；时间的长短；（语）音长
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
nature,n. 自然；性质；本性；种类
peace,n. 和平；平静；和睦；秩序
success,n. 成功，成就；胜利；大获成功的人或事物
canteen,n. 食堂，小卖部；水壶
occupation,n. 职业；占有；消遣；占有期
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
tomato,n. 番茄，西红柿
university,n. 大学；综合性大学；大学校舍
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
involve,vt. 包含；牵涉；使陷于；潜心于
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
look forward to,"na. 盼望
 期待；期望；期盼"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
receive,"vt. 收到；接待；接纳
vi. 接收"
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
urgent,adj. 紧急的；急迫的
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
suitable,adj. 适当的；相配的
various,adj. 各种各样的；多方面的
lately,adv. 近来，不久前
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
turn off,"v. 关掉
 关上；关闭；解雇"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
lack of,"v. 缺乏
 缺少；不足；不够"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
action,n. 行动；活动；功能；战斗；情节
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
secretary,n. 秘书；书记；部长；大臣
vegetarian,"n. 素食者；食草动物
adj. 素食的"
refreshment,n. 点心；起提神作用的东西；精力恢复
mosque,n. 清真寺
trolleybus,n. 无轨电车
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
scooter,n. 小轮摩托车；速可达；单脚滑行车；小孩滑板车
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
manner,n. 方式；习惯；种类；规矩；风俗
organization,n. 组织；机构；体制；团体
memory,n. 记忆，记忆力；内存， 存储器；回忆
qualification,n. 资格；条件；限制；赋予资格
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
reception,n. 接待；接收；招待会；感受；反应
insurance,n. 保险；保险费；保险契约；赔偿金
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
introduction,n. 介绍；引进；采用；入门；传入
technique,n. 技巧，技术；手法
statement,n. 声明；陈述，叙述；报表，清单
situation,n. 情况；形势；处境；位置
provider,n. 供应者；养家者
require,vt. 需要；要求；命令
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
download,vt.  下载
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
delete,vt. 删除
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
confirm,vt. 确认；确定；证实；批准；使巩固
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
obvious,adj. 明显的；显著的；平淡无奇的
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
unskilled,"adj. 不熟练的；拙劣的；无需技能的
v. 不熟练；无技能（unskill的过去式和过去分词形式）"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
miserably,adv. 贫困地；可悲地；糟糕地；非常不幸地
smoothly,adv. 平稳地，平滑地；流畅地，流利地
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
in charge of,"na. 受托…的
 负责；主管；掌管"
on strike,"adj. 罢工
 在罢工；罢工中；在罢工中"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
comedian,n. 喜剧演员；滑稽人物
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
invitation,n. 邀请；引诱；请帖；邀请函
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
niece,n. 外甥女，侄女
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
questionnaire,n. 问卷；调查表
oven,n. 炉，灶；烤炉，烤箱
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
password,n. 密码；口令
rainforest,n. （热带）雨林
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
jury,"n.  陪审团；评判委员会
adj. 应急的"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
travel agent,"n. 旅行代办人；旅行代理商；旅行社
 旅行代办员；旅行社代理人；旅行代理人"
flight attendant,"n. 空中乘务员；机上乘务员
 空中服务员；空服员；飞机乘务员"
science fiction,"n. 科幻小说；科幻电影
 科幻机械类的作品；科幻片；科学幻想"
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
run out of,"na. 用光…
 用完；用尽；耗尽"
seem to,"v. 似乎
 好像；看起来；看来"
stay behind,"v. 留下来
 留在后面；留下来不走；停留"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
quite a few,"na. 很多；许多；相当多
 不少；还不少；有相当数目的"
inquiry,n. 探究；调查；质询
vocabulary,n. 词汇；词表；词汇量
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
lavatory,n. 厕所，盥洗室
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
servant,n. 仆人，佣人；公务员；雇工
toothpaste,n. 牙膏
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
journey,"n. 旅行；行程
vi. 旅行"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
quay,n. 码头
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
theft,n. 盗窃；偷；赃物
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
robbery,n. 抢劫，盗窃；抢掠
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
salary,"n. 薪水
vt. 给...加薪；给...薪水"
ocean,n. 海洋；大量；广阔
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
role,n. 角色；任务
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
peel,"n. 皮
v. 剥，剥落；削"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
tiny,adj. 微小的；很少的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
nervous,adj. 神经的；紧张不安的；强健有力的
realistic,adj. 现实的；现实主义的；逼真的；实在论的
disc jockey,"n. （电台、电视台、俱乐部）唱片节目主持人
 唱片骑师；流行音乐节目主持人；唱片骑士"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
pullover,"n. 套衫
adj. 套领的"
wallet,n. 钱包，皮夹
zone,  地带、地区（德语）
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
talent,n. 才能；天才；天资
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
visa,"n. 签证
vt. 签发签证"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
saucer,n. 茶托，浅碟；浅碟形物；眼睛
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
insect,n. 昆虫；卑鄙的人
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
valley,n. 山谷；流域；溪谷
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
lung,n. 肺；呼吸器
route,"n. 路线；航线；通道
vt. 按某路线发送"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
jug,"n.  水壶；监牢
vt. 关押；放入壶中
vi. 模仿夜莺叫"
kilometer,n.  公里； 千米（等于kilometre）
majority,n. 多数；成年
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
matter,"n. 物质；事件
vi. 有关系；要紧"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
prove,"vi. 证明是
vt. 证明；检验；显示"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
strict,adj. 严格的；绝对的；精确的；详细的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
larger,adj. 大的；多量的；大的( large的比较级 )；大规模的；众多的；（服装、食物、日用品等）大型号的
partly,adv. 部分地；在一定程度上
in advance,"na. 预先；在先头
 事先；提前；事前"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
poverty,n. 贫困；困难；缺少；低劣
width,n. 宽度；广度
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
sale,n. 销售；出售；拍卖；销售额；廉价出售
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
prince,n. 王子，国君；亲王；贵族
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
nephew,n. 侄子；外甥
omelette,n. 煎蛋卷
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
tights,紧身裤袜
receipt,"n. 收到；收据；收入
vt. 收到"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
venue,n. 审判地；犯罪地点；发生地点；集合地点
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
opinion,n. 意见；主张
inhabitant,n. 居民；居住者
thermometer,n. 温度计；体温计
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
unleaded,adj. 无铅的；不包铅的；不插铅条的
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
punctual,adj. 准时的，守时的；精确的
intelligent,adj. 智能的；聪明的；理解力强的
traditional,adj. 传统的；惯例的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
regarding,prep. 关于，至于
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
put off,"na. 延期；辩解
 推迟；拖延；推延"
