for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
homework,n. 家庭作业，课外作业
juice,n. （水果）汁，液；果汁
soda,n. 苏打；碳酸水
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
lazily,adv. 懒洋洋地；怠惰地，懒散地
pants,n. 裤子
tummy,n. 肚子；胃
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
countryside,n. 农村，乡下；乡下的全体居民
upon,prep. 根据；接近；在…之上
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
humid,adj. 潮湿的；湿润的；多湿气的
although,conj. 尽管；虽然；但是；然而
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
member,n. 成员；会员；议员
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
business,n. 商业； 生意； 交易；事情
businessman,n. 商人
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
socially,adv. 在社会上；在社交方面；善于交际地
society,n. 社会；交往；社团；社交界
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
president,n. 总统；董事长；校长；主席
vice-president,n. 副总裁；副总统；副校长
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
instance,"n. 实例；情况；建议
vt. 举...为例"
excellent,adj. 卓越的；极好的；杰出的
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
increasingly,adv. 越来越多地；渐增地
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
effort,n. 努力；成就
within,"prep. 在…之内
n. 里面
adv. 在内部"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
experienced,adj. 老练的，熟练的；富有经验的
inexperienced,adj. 无经验的；不熟练的
per,prep. 每；经；按照；每一
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
typist,n. 打字员，打字者
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locally,adv. 局部地；在本地
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
garbage,n. 垃圾；废物
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
century,n. 世纪，百年；（板球）一百分
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
necessarily,adv. 必要地；必定地，必然地
unnecessary,adj. 不必要的；多余的，无用的
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
difference,n. 差异；不同；争执
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
producer,n. 制作人，制片人；生产者；发生器
department,n. 部；部门；系；科；局
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
long-term,"adj. 长期的
从长远来看"
indicate,vt. 表明；指出；预示；象征
indicator,n. 指示器； 指示剂； 指示符；压力计
healthy,adj. 健康的，健全的；有益于健康的
unhealthy,adj. 不健康的；危险的；有害身心健康的
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
include,vt. 包含，包括
policy,n. 政策，方针；保险单
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
usual,adj. 通常的，惯例的；平常的
usually,adv. 通常，经常
unusual,adj. 不寻常的；与众不同的；不平常的
unusually,adv. 非常；异乎寻常地；显著地
therefore,adv. 因此；所以
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
theater,n. 电影院，戏院，剧场；戏剧；手术室
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
exist,vi. 存在；生存；生活；继续存在
coexist,vi. 共存；和平共处
education,n. 教育；培养；教育学
event,n. 事件，大事；项目；结果
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
personally,adv. 亲自地；当面；个别地；就自己而言
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
gardener,n. 园丁；花匠；园艺家
gardening,n. 园艺；园林工人的工作
secretary,n. 秘书；书记；部长；大臣
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
decision,n. 决定，决心；决议
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
recent,adj. 最近的；近代的
recently,adv. 最近；新近
greedy,adj. 贪婪的；贪吃的；渴望的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
organization,n. 组织；机构；体制；团体
industry,n. 产业；工业；勤勉
direction,n. 方向；指导；趋势；用法说明
directions,n. 方向；指示；用法说明书（direction的复数形式）
director,n. 主任，主管；导演；人事助理
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
completely,adv. 完全地，彻底地；完整地
completion,n. 完成，结束；实现
waterfall,n. 瀑布；瀑布似的东西
heartbroken,adj. 悲伤的，伤心的
heartbreaking,"adj. 悲伤或失望到难忍程度的；令人悲伤的
v. 使…心碎（heartbreak的ing形式）"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
reality,n. 现实；实际；真实
basis,n. 基础；底部；主要成分；基本原则或原理
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
peace,n. 和平；平静；和睦；秩序
peaceful,adj. 和平的，爱好和平的；平静的
puppet,n. 木偶；傀儡；受他人操纵的人
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presently,adv. （美）目前；不久
presence,n. 存在；出席；参加；风度；仪态
source,n. 来源；水源；原始资料
skinny,"n. 机密情报；内部消息；小道消息
adj. 皮的；皮包骨的；紧身的；小气的"
bony,adj. 骨的；多骨的；瘦骨嶙峋的；似骨的
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
failure,n. 失败；故障；失败者；破产
occur,vi. 发生；出现；存在
happen,vi. 发生；碰巧；偶然遇到
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
overcharge,"n. 过度充电；超载；装药过多
vt. 对……索价过高；使……过度充电
vi. 过度充电；讨价过高"
playful,adj. 开玩笑的；幽默的；爱嬉戏的
entire,adj. 全部的，整个的；全体的
entirely,adv. 完全地，彻底地
knowledge,n. 知识，学问；知道，认识；学科
manner,n. 方式；习惯；种类；规矩；风俗
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
long-range,adj. （飞机、火箭等）远程的；长期的；远大的
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
quantity,n. 量，数量；大量；总量
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
fruitful,adj. 富有成效的；多产的；果实结得多的
similar,"n. 类似物
adj. 相似的"
similarly,adv. 同样地；类似于
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
supporter,n. 支持者；拥护者
supportive,adj. 支持的；支援的；赞助的
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
degree,n. 程度，等级；度；学位；阶层
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
maintain,vt. 维持；继续；维修；主张；供养
element,n. 元素；要素；原理；成分；自然环境
addition,n. 添加； 加法；增加物
besides,"prep. 除…之外
adv. 此外；而且"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
loss,n. 减少；亏损；失败；遗失
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
winner,n. 胜利者
loser,n. 失败者；遗失者
hateful,adj. 可憎的；可恨的；可恶的
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
marriage,n. 结婚；婚姻生活；密切结合，合并
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
suddenly,adv. 突然地；忽然
enjoy,vt. 欣赏，享受；喜爱；使过得快活
enjoyment,n. 享受；乐趣；享有
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
formerly,adv. 以前；原来
possibility,n. 可能性；可能发生的事物
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
language,n. 语言；语言文字；表达能力
vocabulary,n. 词汇；词表；词汇量
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
rectangle,n. 矩形；长方形
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
picky,adj. 挑剔的；吹毛求疵的
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
seriously,adv. 认真地；严重地，严肃地
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
citizen,n. 公民；市民；老百姓
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
mainly,adv. 主要地，大体上
arrive,vi. 到达；成功；达成；出生
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
discuss,vt. 讨论；论述，辩论
discussion,n. 讨论，议论
nearly,adv. 差不多，几乎；密切地
hardly,adv. 几乎不，简直不；刚刚
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
artist,n. 艺术家；美术家（尤指画家）；大师
musician,n. 音乐家
painter,n. 画家；油漆匠
population,n. 人口； 种群， 群体；全体居民
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
patiently,adv. 耐心地；有毅力地
impatient,adj. 焦躁的；不耐心的
impatiently,adv. 无耐性地
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
undeniable,adj. 不可否认的；公认优秀的；无可争辩的
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
hanger,n. 衣架；挂钩；绞刑执行者
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
riches,n. 财富；富有；房地产（rich的复数）
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
weapon,n. 武器，兵器
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
exactly,adv. 恰好地；正是；精确地；正确地
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
energy,n.  能量；精力；活力；精神
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
depend,vi. 依赖，依靠；取决于；相信，信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
independently,adv. 独立地；自立地
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
measures,"n. 措施；层组（measure的复数）
v. 测量（measure的单三形式）"
measurement,n. 测量； 度量；尺寸；量度制
measurable,adj. 可测量的；重要的；重大的
youth,n. 青年；青春；年轻；青少年时期
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
region,n. 地区；范围；部位
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
avoid,vt. 避免；避开，躲避；消除
avoidable,adj. 可避免的；可作为无效的；可回避的
unavoidable,adj. 不可避免的；不能废除的
importance,n. 价值；重要；重大；傲慢
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
fellowship,n. 团体；友谊；奖学金；研究员职位
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
goalkeeper,n. 守门员
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
insist,"vi. 坚持，强调
vt. 坚持，强调"
tradition,n. 惯例，传统；传说
traditional,adj. 传统的；惯例的
traditionally,adv. 传统上；习惯上；传说上
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
division,n.  除法；部门；分配；分割；师（军队）；赛区
encourage,vt. 鼓励，怂恿；激励；支持
encouragement,n. 鼓励
encouraging,"v. 鼓励，支持（encourage的ing形式）
adj. 令人鼓舞的；鼓励的，奖励的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
postcard,n. 明信片
team,"n. 队；组
vt. 使合作
vi. 合作"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
painful,adj. 痛苦的；疼痛的；令人不快的
painfully,adv. 痛苦地，费力地
painkiller,n. 止痛药
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
regularly,adv. 定期地；有规律地；整齐地；匀称地
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
ending,n. 结局；结尾
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
beginner,n. 初学者；新手；创始人
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
battlefield,n. 战场；沙场
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
firmly,adv. 坚定地，坚决地；坚固地，稳固地
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
actively,adv. 积极地；活跃地
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
famous,adj. 著名的；极好的，非常令人满意的
task,"n. 工作，作业；任务
vt. 分派任务"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standardize,vt. 使标准化；用标准检验
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
introduce,vt. 介绍；引进；提出；采用
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
leadership,n. 领导能力；领导阶层
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
toothache,n.  牙痛
toothbrush,n. 牙刷
toothpaste,n. 牙膏
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
situate,"adj. 位于…的
vt. 使位于；使处于"
solve,"vt. 解决；解答；溶解
vi. 作解答"
solution,n. 解决方案；溶液；溶解；解答
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
organ,n.  器官；机构；风琴；管风琴；嗓音
income,n. 收入，收益；所得
instrument,n. 仪器；工具；乐器；手段；器械
reader,n. 读者；阅读器；读物
listener,"n. 听众
倾听者"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
skill,n. 技能，技巧；本领，技术
skilled,adj. 熟练的；有技能的；需要技能的
skillful,adj. 熟练的；巧妙的
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
