acrobatics,n. 杂技；巧妙手法
connections of work,找不到解释
basic structures,找不到解释
beauty saloons,找不到解释
coffee shop,"n. 小咖啡厅（常设在商店、旅馆等内，供应咖啡、茶、其他无酒精饮料及小吃）
 咖啡馆；咖啡店；咖啡屋"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
tackle problems,找不到解释
communication strategies, 交际策略；沟通策略；传播战略
business law,"un. 商事法
 商业法；商法；商业法律"
economic co-operation,经济合作
comprehensive abilities, 综合能力；综合技能
response to challenges,找不到解释
portrait,n. 肖像；描写；半身雕塑像
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
scenic,"n. 风景胜地；风景照片
adj. 风景优美的；舞台的；戏剧的"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
photographer,n. 摄影师；照相师
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
commemoration,n. 纪念；庆典；纪念会
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
recent picture,找不到解释
profile photo,找不到解释
full-length portrait,找不到解释
family photo, 全家福；家庭照片；全家福照片
keep happiest moment,找不到解释
photographic club,找不到解释
appreciate different photos,找不到解释
take pictures, 照相；拍照；拍照片
use different lenses,找不到解释
develop films,冲洗胶卷
keep the important moment,找不到解释
keep the sweet memories,找不到解释
retain precious moments,找不到解释
digital photos, 数码相片；数位相片；数码片儿
amusement park,"n. 游乐场；娱乐园
 游乐园；娱乐公园；公共游乐场"
share their experience,找不到解释
use digital cameras,找不到解释
upload the photos,找不到解释
print the photos out,找不到解释
professional photographer,"un. 专业摄影师
 专业摄影师杂志；职业摄影师杂志；位专业摄影师"
places of interest,"un. 名胜
 名胜古迹；风景名胜；旅游景点"
ancient buildings,找不到解释
natural beauty, 自然美；自然美景；自然之美
satisfy our demand,找不到解释
automatic cameras,找不到解释
whole structure, 总体架构；整机结构；整体结构
use flashlight,找不到解释
attract people's attention,找不到解释
wedding ceremony,"n. 婚礼
 结婚典礼；结婚仪式；婚礼仪式"
attractive pictures,找不到解释
draw people's attention,找不到解释
photography,n. 摄影；摄影术
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
flasher,n. 发出闪光之物；闪光装置；暴露狂
photo supplies,照相材料
wide-angle lens,"n. 广角透镜
 广角镜头；广角物镜；大视角镜头"
zoom lens,"n. 变焦镜头
 变焦距镜头；变焦头；可变焦距的镜头"
view finder, 取录器，探视器
battery container,蓄电池箱
film counter,胶片计数器
shutter button,"un. 快门按钮
 快门按掣；快门钮；按下快门键"
accomplishment,n. 成就；完成；技艺，技能
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
frustration,n. 挫折
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
unwind,"vt. 放松；解开； 展开
vi. 放松；解开；松开"
meditation,n. 冥想；沉思，深思
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
insomnia,n. 失眠症，失眠
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
solidarity,n. 团结，团结一致
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
celebrate success,找不到解释
boost self-esteem,找不到解释
daily relaxation,找不到解释
be refreshed,找不到解释
mental health,"un. 心理卫生；精神卫生
 心理健康；精神健康；身心健康"
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
interpersonal relationship, 人际关系；人际交往；人际技巧
lose appetite,找不到解释
cause of stress,找不到解释
café,找不到解释
cafeteria,n. 自助餐厅
canteen,n. 食堂，小卖部；水壶
refectory,n. 食堂；（修道院，学院等处的）餐厅
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
saloon,n. 酒吧；大厅；展览场；公共大厅；大会客室；轿车（英国用法）
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
picnic,"n. 野餐
vi. 去野餐"
recipe,n. 食谱； 处方；秘诀；烹饪法
revolving restaurant, 旋转餐厅；旋景餐厅；树巢旺角旋转餐厅
Sichuan restaurant,找不到解释
snack bar,"n. 小吃部；快餐柜台；快餐部；点心铺
 小吃店；快餐店；快餐厅"
sensitive stomach,找不到解释
regular customer,"n. 长期客户
 常客；老顾客；老主顾"
cozy atmosphere,找不到解释
feel at ease, 安乐；心里踏实；感到轻松
remember taste,找不到解释
Chinese cuisine,找不到解释
pace of life, 生活节奏；生活的节奏；生活步伐
food processing,"n. 食品加工
 食品加工业；食品热杀菌；粮食加工"
traditional production,找不到解释
side effects,"n. 副作用；意外结果
 谜离药谎；药命关系；没有副作用"
nutrition loss,找不到解释
have a get-together,找不到解释
exchange information, 交流信息；交换信息；交易信息
have more choices, 有更多的选择
spicy food, 辛辣食物；辣的食物；辛辣的食物
strong flavor,找不到解释
salty food,找不到解释
reserve seats,备用座席
serve food, 上菜；提供食物；端菜上桌
decoration,n. 装饰，装潢；装饰品；奖章
coupon,n. 息票；赠券；联票； 配给券
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
dessert,n. 餐后甜点；甜点心
pudding,n. 布丁
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
poultry,"n. 家禽
家禽肉"
sausage,n. 香肠；腊肠；装香肠的碎肉
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
nutritious,adj. 有营养的，滋养的
health,n. 健康；卫生；保健；兴旺
vitami,维生素
fiber,n. 纤维；光纤（等于fibre）
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
chemical,"n. 化学制品，化学药品
adj. 化学的"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
fertilizer,n.  肥料；受精媒介物；促进发展者
ltalian specialities,找不到解释
American favorites,找不到解释
French food,找不到解释
Cantonese cuisine,找不到解释
western food, 西餐；西方食品；西式料理
western buffet,找不到解释
main course,"abbr. (=mainsail)主要课程；主菜
 主食；主餐；主帆"
mashed potato,"n. 土豆泥
 马铃薯泥；洋芋泥；土豆蓉"
slice of bread, 面包片；土司面包；切开面包
boiled egg,"un. 带壳水煮蛋
 煮鸡蛋；炒蛋；烚蛋"
fried egg,"un. 煎蛋
 荷包蛋；煎鸡蛋；煎两面荷包蛋"
poached egg,"un. 水煮荷包蛋
 水煮蛋；波蛋；水煮嫩蛋"
scrambled egg,"na. 炒鸡蛋
 炒蛋；熘糊蛋；搅鸡蛋"
at one sitting,"na. 一气；一口气
 我一口气；一下子；一口气地"
put on weight,"v. 长肉；发胖；发福；体重增加
 增加体重；增肥；长胖"
fast food,"n. 快餐；速食
 快餐食品；快餐店；速食店"
balanced diet,"na. (营养)均衡的食谱
 平衡膳食；均衡膳食；均衡饮食"
oily food, 油腻食物；油腻的食品；油腻食品
cooking class,找不到解释
various dishes,找不到解释
healthy food, 健康食品；健康食物；保健食品
home-made meal,找不到解释
cooking school, 烹饪学校；烹调学校；来上厨师学校
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
carbohydrate,n.  碳水化合物； 糖类
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
fiber,n. 纤维；光纤（等于fibre）
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
The Food Guide Pyramid,找不到解释
major energy source,找不到解释
digestive system,"n. 消化系统
 肠胃；消化系统所包含的器官；主要系统有消化系统"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
starvation,n. 饿死；挨饿；绝食
appetite,n. 食欲；嗜好
thirsty,adj. 口渴的，口干的；渴望的，热望的
refreshment,n. 点心；起提神作用的东西；精力恢复
nourish,vt. 滋养；怀有；使健壮
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
menu,"n. 菜单
饭菜"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
peel,"n. 皮
v. 剥，剥落；削"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
eatable,"n. 食物（常用复数）
adj. 可吃的"
edible,"n. 食品；食物
adj. 可食用的"
drinkable,"n. 饮料（常用复数）
adj. 可饮用的；可以喝的"
digestible,adj. 易消化的；可摘要的
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
overdone,"v. 把…煮得过久；过于劳累；把…做得过度（overdo的过去分词）
adj. 煮得太久的；做得过分的"
underdone,"adj. 半生不熟的；未煮透的
v. 不尽全力做；使…不煮透（underdo的过去分词）"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
appetizing,adj. 开胃的；促进食欲的
delicious,adj. 美味的；可口的
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
tasteless,adj. 无味的；无鉴赏力的
pungent,adj. 辛辣的；刺激性的；刺鼻的；苦痛的；尖刻的
spicy,adj. 辛辣的；香的，多香料的；下流的
delicious,adj. 美味的；可口的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
well-done,"adj. 干得好的；完全煮熟的
int. 好；干得好"
mouth-watering,adj. 令人馋涎欲滴的
pickle jar, 泡菜坛子；泡菜罐子；酸果盅
cookery book,"n. 菜谱；食谱
 烹饪书；烹饪大全；造洋饭书"
pear,n.  梨树；梨子
tangerine,n. 橘子
mandarin,"n. （中国）普通话；国语；官话；满清官吏；柑橘
adj. 紧身马褂的"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
strawberry,n. 草莓；草莓色
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
litchi,n. 荔枝；荔枝果；荔枝树
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
lemon,"adj. 柠檬色的
n. 柠檬"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
sugarcane,n.  甘蔗；糖蔗
watermelon,n. 西瓜
grapefruit,n. 西柚；葡萄柚；葡萄柚树
mango,n.  芒果
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
apricot,"n. 杏，杏子； 杏树；杏黄色
adj. 杏黄色的"
hawthorn,n. 山楂；山楂树
hazelnut,n. 榛子；榛树
coconut,n. 椰子；椰子肉
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
fig,"n. 无花果；无花果树；少许，一些；无价值的东西；服装
vt. 打扮；使马跑快"
almond,n. 扁桃仁；扁桃树
chestnut,"n. 栗子；栗色； 栗树；栗色马
adj. 栗色的"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
apple core, 苹果核；苹果芯；苹果核心图片
apple skin,找不到解释
apple juice,"un. 苹果汁
 鲜榨苹果汁；苹果原汁；苹果多汁"
pear core,找不到解释
seedless orange, 无核桔；无核橘
orange peel,"na. 橘皮
 柑桔皮；橙皮；橘皮状表面缺陷"
tangerine skin,找不到解释
navel orange,"n. 脐橙
 新奇士脐橙；靓橙；橙子"
banana skin,"n. 造成麻烦（或使人当众出丑）的事物
 香蕉皮；喷鼻蕉皮；香蕉皮图片"
peel a banana,找不到解释
grape stone, 葡萄核
grape skin, 葡萄皮；葡萄皮色素；葡萄果皮色素
grape juice,"na. 葡萄汁
 提子汁；星巴克葡萄汁；葡萄果汁"
seedless watermelon,无子西瓜
watermelon seed, 西瓜子；西瓜籽；西瓜籽油
water chestnut,"n. 荸荠；菱角
 马蹄；马蹄梨；孛荠"
Chinese chestnut,"un. 板栗
 中国栗；京东板栗；栗子"
nut shell, 坚果壳；山核桃壳；水果皮帽
nut meat,n. 坚果仁
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
unripe,adj. 生的；未成熟的；未熟的；未准备好的
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
juicy,adj. 多汁的；利润多的；生动的
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
spongy,adj. 海绵状的；轻软的；多孔而有弹性的；有吸水性的
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
early-maturing, 早熟的; 稙
late-maturing,n. 晚熟的; 苠
sweet fruit,找不到解释
pork,"n. 猪肉
vt. 与女子性交"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
veal,n. 小牛（等于vealer）；小牛肉
mutton,n. 羊肉
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
bacon,n. 咸肉；腌肉；熏猪肉
meatball,n. 肉丸子；笨蛋；乏味的人；“肉丸旗”（指日本国旗）
sausage,n. 香肠；腊肠；装香肠的碎肉
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
turkey,n. 土耳其（横跨欧亚两洲的国家）
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
chicken wing,"un. 锁双臂
 鸡翅；鸡翅膀；鸡翼"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
red meat,"n. 红肉（指牛肉、羊肉等）
 牛羊肉；红色肉类；未煮前颜色是红色的肉类"
frozen meat,"na. 冻肉
 冷冻肉；冷冻肉类；冷冻肉品"
fresh meat,"un. 鲜肉
 新生六居客；新鲜肉类；新鲜的肉"
fat meat,"un. 脂肪肉
 肥肉"
lean meat, 瘦肉；精肉；瘦肉率
tender meat,"un. 嫩肉
 肉嫩"
white meat,"n. 白肉（烹煮后呈白色的肉，如鸡肉）；（鸡或其他禽类的）熟胸脯肉
 鸡胸肉；白色肉；颜色较浅的肉"
sardine,"n. 沙丁鱼；庸碌无能的人
vt. 使拥挤不堪"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
prawn,"n. 对虾，明虾
vi. 捕虾"
oyster,n. 牡蛎， 蚝；沉默寡言的人
octopus,"n. 章鱼
章鱼肉"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
inkfish,"n. 乌贼, 墨鱼"
kelp,"n.  巨藻，海藻；海草灰
vi. 烧制海草灰"
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
conch,n. 贝壳；海螺壳
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
sea fish,"n. 海鱼
 海水鱼；海洋鱼；海鱼组织"
jelly fish,"n. 水母,海蜇,软弱无力的人,软蛋,松包"
sea cucumber,"n. 海参
 海黄瓜；海参干；刺参"
freshwater fish,"n. 淡水鱼
 淡水鱼类；生活在淡水里的鱼；其他淡水鱼类"
shark's fin,"na. 鲨鱼翅
 鱼翅类；珍品鱼翅；鲨鱼濒临灭绝的鱼翅"
preserved duck egg,皮蛋
salted egg,"un. 咸蛋
 黄油咸蛋；咸蛋鸡粒粥；咸蛋蒸肉饼"
black pudding,"n. 黑香肠（用猪血、乳脂以及谷粒制成）
 黑布丁；血肠；血腊肠"
blood sausage,"n. 黑香肠（用猪血、乳脂和谷粒制成）
 血肠；血香肠；血馅香肠"
spinach,n. 菠菜
lettuce,n.  生菜；莴苣；（美）纸币
celery,n.  芹菜
coriander,n. 胡荽（等于Chinese parsley或cilantro）
cauliflower,n. 花椰菜，菜花
broccoli,n. 花椰菜；西兰花
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
pea,n. 豌豆
cucumber,n. 黄瓜；胡瓜
pumpkin,n. 南瓜
tomato,n. 番茄，西红柿
eggplant,"n. 茄子
adj. 深紫色的"
aubergine,"n. （英）茄子；紫红色
adj. 紫红色的"
carrot,"n. 胡萝卜
诱饵"
asparagus,n. 芦笋；龙须菜；天冬
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
leek,n. 韭； 韭葱
garlic,n. 大蒜；蒜头
onion,n. 洋葱；洋葱头
spring onion,"n. 小葱；香葱
 青葱；大葱；葱花"
ginger,"n. 姜；姜黄色；精力；有姜味
vt. 用姜给…调味；使某人有活力
adj. 姜黄色的"
kidney bean,"n. 芸豆；菜豆；四季豆
 云豆；豆角；红腰豆"
string bean,"na. 菜豆；豆荚；瘦长条子
 四季豆；青豆；刀豆"
green pepper,"n. 青椒；甜椒；灯笼椒
 青辣椒；绿胡椒；青辣椒简笔画"
hot pepper,"na. 辣胡椒
 辣椒；小辣椒；红辣椒"
lotus roots,莲藕
bamboo shoots,"na. 竹笋
 竹笋罐头；冬笋；清汁笋"
biscuit,n. 小点心，饼干
cracker,n. 爆竹；饼干；胡桃钳；解密高手
cookie,n. 饼干；小甜点
fruitcake,n. 水果蛋糕
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
waffle,"n. 华夫饼干；动听而无意义的话；无聊话
vi. 胡扯；闲聊"
hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
birthday cake,"n. 生日蛋糕
 生日蛋糕图片；华诞蛋糕；水果忌廉蛋糕"
moon cake,"n. 月饼
 中国中秋节应时的食品；中秋月饼；闷极"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
sunflower seeds, 葵花籽；葵花子；瓜子
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
cream,n. 奶油，乳脂；精华；面霜；乳酪
vanilla ice cream,"un. 香草冰淇淋
 香草冰激凌；香草雪糕；香草冰期淋"
ice-cream cone,n. 圆锥形的冰淇淋杯，甜筒，蛋卷冰淇淋
instant coffee,"na. 即溶咖啡
 速溶咖啡；咖啡粉；速溶黑咖啡"
whole milk,"na. 全脂乳；全脂奶
 全脂牛奶；全乳；毫升全脂奶"
skim milk,"脱脂乳
 撇乳; 脱脂乳; 脱油的生胶汁; 胶清"
nonfat milk, 无脂牛奶；脱脂牛奶；非脂干性牛奶
milk powder,"n. 奶粉
 乳粉；成人奶粉；全脂奶粉"
condensed milk,"n. 炼乳
 炼奶；炼乳类；甜炼乳"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
dough,n. 生面团；金钱
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
pasta,n. 意大利面食；面团
noodle,n. 面条；笨蛋
macaroni,n. 通心粉；通心面条；纨绔子弟
spaghetti,n. 意大利式细面条
lasagna,n. 烤宽面条（等于lasagne）；卤汁面条
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
vinegar,n. 醋
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
condiments,n. 调味品（condiment的复数）
seasoning,n. 调味品；佐料；风干；增添趣味的东西
ketchup,n. 番茄酱
salad,n. 色拉；尤指莴苣
vanilla,"n. 香子兰，香草
adj. 香草味的"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
syrup,n. 糖浆，果汁；含药糖浆
sugar candy,"na. 冰糖；(冰糖做的)上等糖果；甜品；讨人喜欢的人
 糖果片；可爱甜美的糖果粉红；冰糖冰糖"
rock candy,"n. 冰糖；透明硬糖
 冰糖形断面；冰糖水晶嫩粉；冰糖钻石"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
cooking oil,"un. 烹饪用油；炊事用油
 食用油；食油；菜油"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
chocolate spread, 巧克力酱；朱古力酱；巧克力涂抹酱
peanut,n. 花生
raisin,n. 葡萄干
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
salad dressing,"na. 色拉用调料
 沙拉酱；色拉酱；沙拉油"
refined sugar,"na. 精制糖
 白糖；精糖；白砂糖"
cube sugar,"na. 方糖；“block sugar”的变体
 块方糖；方块糖；方糖块"
refined oil,"un. 精制油；精炼油
 成品油；经过提纯的油；精油"
vegetable oil,"na. 植物油
 蔬菜油；沙拉油；色拉油"
bean oil,"un. 豆油
 人会用豆油；荳油；精制豆油"
peanut oil,"na. 花生油
 花生油的特点与用途；进口花生油；花生沙拉油"
salad oil,"na. 色拉油
 色拉油；沙拉油；植物油，色拉油"
olive oil,"n. 橄榄油（用于烹饪和凉拌色拉）
 橄榄果油；冷压橄榄油；橄揽油"
sesame oil,"n. 香油；芝麻油
 脂麻油；胡麻油；冷压芝麻油"
instant food,"un. 速熟食品
 方便食品；即食食品；速食食品"
instant noodles,"n. 方便面
 速食面；泡面；即食面"
marmalade,"n. 橘子或柠檬等水果制成的果酱
vt. 涂橘子或柠檬酱于…
adj. 橘子酱色的"
