disastrous,adj. 灾难性的；损失惨重的；悲伤的
construction,n. 建设；建筑物；解释；造句
confident,adj. 自信的；确信的
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
consequence,n. 结果；重要性；推论
youngster,n. 年轻人；少年
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
breakthrough,n. 突破；突破性进展
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
column,n. 纵队，列；专栏；圆柱，柱形物
umbrella,n. 雨伞；保护伞；庇护；伞形结构
pregnant,adj. 怀孕的；富有意义的
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
deadline,n. 截止期限，最后期限
estate,n. 房地产；财产；身份
detection,n. 侦查，探测；发觉，发现；察觉
rhythm,n. 节奏；韵律
symphony,n. 交响乐；谐声，和声
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
advisable,adj. 明智的，可取的，适当的
commence,v. 开始；着手；<英>获得学位
exceptional,"n. 超常的学生
adj. 异常的，例外的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
simplicity,n. 朴素；简易；天真；愚蠢
induce,vt. 诱导；引起；引诱；感应
inner,"n. 内部
adj. 内部的；内心的；精神的"
drought,n. 干旱；缺乏
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
persuasion,n. 说服；说服力；信念；派别
complaint,n. 抱怨；诉苦；疾病；委屈
critic,n. 批评家，评论家；爱挑剔的人
disable,vt. 使失去能力；使残废；使无资格
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
alter,"vt. 改变，更改
vi. 改变；修改"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
affirm,"vt. 肯定；断言
vi. 确认；断言"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
genius,n. 天才，天赋；精神
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
denial,n. 否认；拒绝；节制；背弃
faculty,n. 科，系；能力；全体教员
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
beneath,"prep. 在…之下
adv. 在下方"
confirm,vt. 确认；确定；证实；批准；使巩固
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
intermittent,adj. 间歇的；断断续续的；间歇性
diligent,adj. 勤勉的；用功的，费尽心血的
adjacent,adj. 邻近的，毗连的
deport,vt. 驱逐出境；举止；放逐
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
inhibit,vt. 抑制；禁止
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
deductive,adj. 演绎的；推论的；推断的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
desirous,adj. 渴望的；想要的
prospective,"n. 预期；展望
adj. 未来的；预期的"
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
seniority,n. 长辈；老资格；前任者的特权
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
tract,n. 束；大片土地，地带；小册子
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
anecdote,n. 轶事；奇闻；秘史
baby boom,"n. 婴儿潮；生育高峰
 战后婴儿潮；我家四个宝；人口增长的高峰期"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
jargon,n. 行话，术语；黄锆石
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
proximate,adj. 近似的；最近的
smog,n. 烟雾
consulate,n. 领事；领事馆；领事任期；领事职位
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
amass,vt. 积聚，积累
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
pasta,n. 意大利面食；面团
salon,n. 沙龙；客厅；画廊；美术展览馆
app,找不到解释
bout,n. 回合；较量；发作；一阵
monotony,n. 单调；千篇一律
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
jeep,n. 吉普车
mentor,"n. 指导者，良师益友
vt. 指导"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
property,n. 性质，性能；财产；所有权
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
rarely,adv. 很少地；难得；罕有地
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
priority,n. 优先；优先权； 优先次序；优先考虑的事
forth,adv. 向前，向外；自…以后
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
destruction,n. 破坏，毁灭；摧毁
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
appear,vi. 出现；显得；似乎；出庭；登场
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
ego,n. 自我；自负；自我意识
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
incredible,adj. 难以置信的，惊人的
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
suburb,n. 郊区；边缘
elite,n. 精英；精华；中坚分子
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
correspondent,n. 通讯记者；客户；通信者；代理商行
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
specify,vt. 指定；详细说明；列举；把…列入说明书
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
anticipate,vt. 预期，期望；占先，抢先；提前使用
moreover,adv. 而且；此外
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
threshold,n. 入口；门槛；开始；极限；临界值
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
equality,n. 平等；相等； 等式
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
investigate,v. 调查；研究
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
install,vt. 安装；任命；安顿
transit,"n. 运输；经过
vt. 运送
vi. 经过"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
inconsistency,n. 不一致；易变
reconciliation,n. 和解；调和；和谐；甘愿
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
onset,n. 开始，着手；发作；攻击，进攻
harassment,n. 骚扰；烦恼
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
secrecy,n. 保密；秘密；隐蔽
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
mastery,n. 掌握；精通；优势；征服；统治权
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
detention,n. 拘留；延迟；挽留
disjointed,adj. 脱节的；杂乱的；脱臼的
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
feasibility,n. 可行性；可能性
missionary,"adj. 传教的；传教士的
n. 传教士"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
consultative,adj. 咨询的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
actuality,n. 现状；现实；事实
allotment,n. 分配；分配物；养家费；命运
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
corporal,"n. 下士
adj. 肉体的，身体的"
poultry,"n. 家禽
家禽肉"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
antagonism,n. 对抗，敌对；对立；敌意
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
attic,n. 阁楼；顶楼；鼓室上的隐窝
helmet,n. 钢盔，头盔
Buddhism,n. 佛教
plumbing,"n. 铅工业；铅管品制造
v. 探究；垂直悬挂；用铅锤测量；灌铅以增重（plumb的现在分词）"
wield,vt. 使用；行使；挥舞
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
aftermath,n. 后果；余波
teller,n. （美）出纳员；讲述者；讲故事者；计票员
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
legacy,n. 遗赠，遗产
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
underlie,vt. 成为……的基础；位于……之下
ardent,adj. 热情的；热心的；激烈的；燃烧般的
unemployed,adj. 失业的；未被利用的
detergent,n. 清洁剂；去垢剂
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
whereas,conj. 然而；鉴于；反之
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
prominent,adj. 突出的，显著的；杰出的；卓越的
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
assess,vt. 评定；估价；对…征税
excessive,adj. 过多的，极度的；过分的
logical,adj. 合逻辑的，合理的；逻辑学的
capacity,n. 能力；容量；资格，地位；生产力
creation,n. 创造，创作；创作物，产物
capable,adj. 能干的，能胜任的；有才华的
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
discover,"vi. 发现
vt. 发现；发觉"
password,n. 密码；口令
virus,n.  病毒；恶毒；毒害
naval,adj. 海军的；军舰的
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
waist,n. 腰，腰部
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
solve,"vt. 解决；解答；溶解
vi. 作解答"
academy,n. 学院；研究院；学会；专科院校
limited,"adj. 有限的
n. 高级快车"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
destination,n. 目的地，终点
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
considerable,adj. 相当大的；重要的，值得考虑的
widespread,adj. 普遍的，广泛的；分布广的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
terrify,vt. 恐吓；使恐怖；使害怕
efficiency,n. 效率；效能；功效
evoke,vt. 引起，唤起；博得
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
define,vt. 定义；使明确；规定
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
assert,vt. 维护，坚持；断言；主张；声称
elsewhere,adv. 在别处；到别处
conceal,vt. 隐藏；隐瞒
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
authentic,adj. 真正的，真实的；可信的
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
machinery,n. 机械；机器；机构；机械装置
presumably,adv. 大概；推测起来；可假定
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
core,找不到解释
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
virtue,n. 美德；优点；贞操；功效
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
catastrophe,n. 大灾难；大祸；惨败
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
recently,adv. 最近；新近
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
innumerable,adj. 无数的，数不清的
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
fright,"n. 惊吓；惊骇
vt. 使惊恐"
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
ideology,n. 意识形态；思想意识；观念学
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
artifact,n. 人工制品；手工艺品
arrogance,n. 自大；傲慢态度
maternity,"n. 母性，母道； 妇产科医院
adj. 产科的；产妇的，孕妇的"
conformity,n. 一致，适合；符合；相似
appease,vt. 使平息；使满足；使和缓；对…让步
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
omission,n. 疏忽，遗漏；省略；冗长
avert,vt. 避免，防止；转移
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
persecute,vt. 迫害；困扰；同…捣乱
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
digit,n. 数字；手指或足趾；一指宽
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
cleanse,vt. 净化；使…纯净；使…清洁
stigma,n.  柱头；耻辱；污名；烙印；特征
aptitude,n. 天资；自然倾向；适宜
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
indict,vt. 控告，起诉； 揭发
hygiene,n. 卫生；卫生学；保健法
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
whisky,"n. 威士忌酒
adj. 威士忌酒的"
old-fashioned,adj. 老式的；过时的；守旧的
aide,n. 助手；副官；侍从武官
dough,n. 生面团；金钱
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
shipyard,n. 造船厂；船坞；修船厂
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
reasonable,adj. 合理的，公道的；通情达理的
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
dwell,vi. 居住；存在于；细想某事
eliminate,vt. 消除；排除
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
grief,n. 悲痛；忧伤；不幸
headache,n. 头痛；麻烦；令人头痛之事
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
depend,vi. 依赖，依靠；取决于；相信，信赖
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
conservation,n. 保存，保持；保护
concede,"vi. 让步
vt. 承认；退让；给予，容许"
suitable,adj. 适当的；相配的
belong,vi. 属于，应归入；居住；适宜；应被放置
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
meanwhile,"adv. 同时，其间
n. 其间，其时"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
talent,n. 才能；天才；天资
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
