enjoyable,adj. 快乐的；有乐趣的；令人愉快的
show somebody around, 带领…参观
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
religion,n. 宗教；宗教信仰
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
business card,"n. 名片
 商务卡；公司卡；商业名片"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
Inuit,找不到解释
Nunavut,n. 努勒维特（位于加拿大）
sled,"n. 雪橇
vt. 用摘棉机摘；用雪橇运
vi. 乘雪橇；用雪橇运"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
deer,n. 鹿
Arctic,找不到解释
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
bravery,n. 勇敢；勇气
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
Aborigine,找不到解释
Kakado,找不到解释
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
boomerang,n. 飞去来器；自食其果的行为；回飞棒
mysterious,adj. 神秘的；不可思议的；难解的
Maori,"adj. 毛利人的；毛利语的
n. 毛利人；毛利语"
Polynesia,n. 玻里尼西亚（中太平洋的岛群）
Rotura,找不到解释
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
tribe,n. 部落；族；宗族；一伙
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
Plains Indian, 平原印第安人；大平原印第安人；平原印地安
have power over,"na. 支配
 控制；控制，统治"
peace pipe,"abbr. (=the pipe of peace)
n. 和平烟斗（美洲土著作为和平象征请人抽的）
 和睦烟斗；长杆烟斗；烟杆一样"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
retell,vt. 复述；再讲；重述
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
running water,"na. 自来水；流水
 流动的水；活水；流动水"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
ambassador,n. 大使；代表；使节
description,n. 描述，描写；类型；说明书
political,adj. 政治的；党派的
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
victim,n. 受害人；牺牲品；牺牲者
addition,n. 添加； 加法；增加物
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
draw someone's attention to,找不到解释
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
acquire,vt. 获得；取得；学到；捕获
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
worthwhile,adj. 值得做的，值得花时间的
under the umbrella of, 伞下；在……的保护下；在……的管理下
urgent,adj. 紧急的；急迫的
starvation,n. 饿死；挨饿；绝食
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
possession,n. 拥有；财产；领地；自制；着迷
mountainous,adj. 多山的；巨大的；山一般的
poverty,n. 贫困；困难；缺少；低劣
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
obtain,"vi. 获得；流行
vt. 获得"
heating,"n.  加热； 供暖；暖气设备
v.  加热（heat的现在分词）
adj. 加热的；供热的"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
container,n. 集装箱；容器
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
commitment,n. 承诺，保证；委托；承担义务；献身
chaos,n. 混沌，混乱
colleague,n. 同事，同僚
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
get hold of,"v. 抓住；捉住
 掌握；得到；拿到"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
bacteria,n.  细菌
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
remind,vt. 提醒；使想起
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
interpreter,n. 解释者；口译者；注释器
think back to, 回想；回想过去；回忆起
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
evolution,n. 演变；进化论；进展
device,n. 装置；策略；图案
drawback,n. 缺点，不利条件；退税
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
construct,"n. 构想，概念
vt. 建造，构造；创立"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
black-and-white,adj. 印刷的；黑白混合的；用笔写的
accessible,adj. 易接近的；可进入的；可理解的
satellite dish,"n. 卫星电视碟形天线
 卫星天线；碟形卫星天线；圆盘式卫星电视天线"
distribute,vt. 分配；散布；分开；把…分类
percentage,n. 百分比；百分率，百分数
receiver,n. 接收器；接受者；收信机；收款员，接待者
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
eventually,adv. 最后，终于
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
digital,"n. 数字；键
adj. 数字的；手指的"
VCD,找不到解释
storage,n. 存储；仓库；贮藏所
foresee,vt. 预见；预知
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
adaptation,n. 适应；改编；改编本，改写本
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
ample,adj. 丰富的；足够的；宽敞的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
insurance,n. 保险；保险费；保险契约；赔偿金
obvious,adj. 明显的；显著的；平淡无奇的
all-round,adj. 多才多艺的；全面的；多方面的；综合性的
electronic,"adj. 电子的
n. 电子电路；电子器件"
translation,n. 翻译；译文；转化；调任
idiom,n. 成语，习语；土话
gram,n. 克；鹰嘴豆（用作饲料）
suitable,adj. 适当的；相配的
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
carriage,n. 运输；运费；四轮马车；举止；客车厢
refrigerator,n. 冰箱，冷藏库
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
valid,adj. 有效的；有根据的；合法的；正当的
circumstance,n. 环境，情况；事件；境遇
merely,adv. 仅仅，只不过；只是
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
typical,adj. 典型的；特有的；象征性的
text message,"n. 文本信息；短信息
 简讯；发短信；文字讯息"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
dustbin,n. 垃圾箱；吃货
for good measure,"un. 作为额外增补
 另外；作为额外增添；作为额外添加"
rid,vt. 使摆脱；使去掉
chemist,n. 化学家；化学工作者；药剂师；炼金术士
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
surgeon,n. 外科医生
operating theatre,"n. 手术室
 手术费用；手术房舱；生化奇兵无限手术室"
life-saving,"n. 救生
adj. 救生的"
revolution,n. 革命；旋转；运行；循环
cupboard,n. 碗柜；食橱
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
aspirin,n. 阿司匹林（解热镇痛药）
penicillin,n. 盘尼西林（青霉素）
beneficial,adj. 有益的，有利的；可享利益的
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
salicylic acid,"n. 水杨酸；邻羟基苯甲酸
 柳酸；含水杨酸；水扬酸"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
best-selling,"n. 畅销品
adj. 最畅销的；畅销作品的"
vital,adj. 至关重要的；生死攸关的；有活力的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
heart attack,"n. 心脏病发作
 心肌梗塞；心脏病突发；突发性心脏病"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
blood sugar,"n. 血糖
 血糖维护；血糖值；血糖检查"
diabetes,n. 糖尿病；多尿症
abnormal,adj. 反常的，不规则的；变态的
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
astonish,vt. 使惊讶
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
application,n. 应用；申请；应用程序；敷用
unable,adj. 不会的，不能的； 无能力的；不能胜任的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
approval,n. 批准；认可；赞成
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
sickness,n. 疾病；呕吐；弊病
symptom,n.  症状；征兆
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
wear somebody out, 使疲乏，使筋疲力尽，使厌烦
reasonable,adj. 合理的，公道的；通情达理的
outcome,n. 结果，结局；成果
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
arrangement,n. 布置；整理；准备
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
pressure point,"n. 压迫止血点；压觉点；危机地点（或局面）
 压点；压力点；血压点"
sword,n. 刀，剑；武力，战争
let out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
acupuncturist,n. 针灸医生；针疗医生
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
heartbeat,n. 心跳；情感
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
organ,n.  器官；机构；风琴；管风琴；嗓音
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
theory,n. 理论；原理；学说；推测
phenomenon,n. 现象；奇迹；杰出的人才
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
source,n. 来源；水源；原始资料
turn to somebody,找不到解释
turn to something, 转向某事
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
abundant,adj. 丰富的；充裕的；盛产
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
assumption,n. 假定；设想；担任；采取
statistics,n. 统计；统计学； 统计资料
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
diverse,adj. 不同的；多种多样的；变化多的
what is more,"na. 加之
 而且；更重要的是；更有甚者"
correspond,vi. 符合，一致；相应；通信
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
accuracy,n.  精确度，准确性
up to date,"adj. 现代的；最新的；时髦的；新式的
 时新的；现代化的；切合目前情况的"
weakness,n. 弱点；软弱；嗜好
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
educator,n. 教育家；教育工作者；教师
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
booth,n. 货摊；公用电话亭
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
explicit,adj. 明确的；清楚的；直率的；详述的
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
inventor,n. 发明家； 发明人；创造者
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
appointment,n. 任命；约定；任命的职位
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
search engine,"n. （计算机）搜索引擎
 搜寻引擎；搜寻器；搜索器"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
classify,vt. 分类；分等
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
qualification,n. 资格；条件；限制；赋予资格
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
category,n. 种类，分类； 范畴
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
correction,n. 改正，修正
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
sparrow,n. 麻雀；矮小的人
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
acknowledge,vt. 承认；答谢；报偿；告知已收到
route,"n. 路线；航线；通道
vt. 按某路线发送"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
 减少；减弱；下车"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
horse-drawn,adj. 马拉的（车）；用马拖的
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
convey,vt. 传达；运输；让与
unfortunately,adv. 不幸地
unbelievable,adj. 难以置信的；不可信的
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
via,prep. 渠道，通过；经由
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
link up,"na. 联合
 连接；沟通；把…连接起来"
interval,n. 间隔；间距；幕间休息
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
undertake,vt. 承担，保证；从事；同意；试图
ownership,n. 所有权；物主身份
authority,n. 权威；权力；当局
architect,"n. 建筑师
缔造者"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
Prime Minister,找不到解释
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
user-friendly,adj. 容易使用的
anniversary,n. 周年纪念日
subway,"n. 地铁；地道
vi. 乘地铁"
platform,n. 平台；月台，站台；坛；讲台
growth,n. 增长；发展；生长；种植
put through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
decide on,"na. 决心
 决定；选定；决定某事"
decide upon,"na. 决定(采取某种行动)
 决定一个计划；选定；决心"
put off,"na. 延期；辩解
 推迟；拖延；推延"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
enquiry,n.  询问， 询盘
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
handful,n. 少数；一把；棘手事
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
receptionist,n. 接待员；传达员
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
reservation,n. 预约，预订；保留
newsflash,n. 简明新闻
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
timetable,n. 时间表；时刻表；课程表
departure,n. 离开；出发；违背
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
punctual,adj. 准时的，守时的；精确的
arise,vi. 出现；上升；起立
cyclist,n. 骑自行车的人
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
lane,n. 小巷； 航线；车道；罚球区
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
violate,vt. 违反；侵犯，妨碍；亵渎
beer,"n. 啤酒
vi. 喝啤酒"
turning,"n. 转向；旋转；回转；转弯处
v. 旋转（turn的ing形式）"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
tyre,"n.  轮胎；轮箍
vt. 装轮胎于"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
bookworm,n. 书呆子；蠹鱼，蛀书虫
poetry,n. 诗；诗意，诗情；诗歌艺术
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
fiction,n. 小说；虚构，编造；谎言
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
novelist,n. 小说家
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
opera,n. 歌剧；歌剧院；歌剧团
author,"n. 作者；作家；创始人
vt. 创作出版"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
cemetery,n. 墓地；公墓
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
vain,adj. 徒劳的；自负的；无结果的；无用的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
violent,adj. 暴力的；猛烈的
on the run,"na. 跑着
 我很忙；亡命鸳鸯；逃亡"
painter,n. 画家；油漆匠
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
workhouse,n. （英）济贫院；（美） 教养所；感化院；贫民习艺所
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
threat,n. 威胁，恐吓；凶兆
violence,n. 暴力；侵犯；激烈；歪曲
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
home-made,adj. （本）国产的；自制的；家里做的
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
worn out,"adj. 破烂不堪的；废旧的；疲惫不堪；精疲力竭
 破旧不堪的；破旧的；磨损"
envelope,n. 信封，封皮；包膜； 包层；包迹
brand new,"adj. 全新的；崭新的
 新约神话；全新品；焕然一新"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
chest,n. 胸，胸部；衣柜；箱子；金库
attic,n. 阁楼；顶楼；鼓室上的隐窝
modern-day,adj. 当代的；今日的
stepmother,n. 继母，后母
stepsister,n. 异父（母）姊妹
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
Ireland,n. 爱尔兰
rescue,"n. 营救；援救；解救
vt. 营救；援救"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
Scotland,n. 苏格兰
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
reputation,n. 名声，名誉；声望
debt,n. 债务；借款；罪过
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
