abandon,"n. 放任；狂热
vt. 遗弃；放弃"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
bronchitis,n.  支气管炎
brutal,adj. 残忍的；野蛮的，不讲理的
bullish,adj. 看涨的；上扬的；似公牛的
buoyant,adj. 轻快的；有浮力的；上涨的
calamity,n. 灾难；不幸事件
cancer, 巨蟹座
candidate,n. 候选人，候补者；应试者
capacity,n. 能力；容量；资格，地位；生产力
capitalism,n. 资本主义
captivate,vt. 迷住，迷惑
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
case history,"n. （医生用的）病历；（社会工作者用的）个案史
 史例；病史；病案"
casualty,n. 意外事故；伤亡人员；急诊室
catastrophe,n. 大灾难；大祸；惨败
categorize,vt. 分类
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
celebrity,n. 名人；名声
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
centralization,n. 集中化；中央集权管理
chaotic,adj. 混沌的；混乱的，无秩序的
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
cholesterol,n.  胆固醇
chuck,vt. 丢弃，抛掷；驱逐；轻拍
circumference,n. 圆周；周长；胸围
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
cleanup,"adj. 第四位击球员的
n. 清除；暴利；清扫工作；第四防守位置"
clientele,n. 客户；诉讼委托人
cling,vi. 坚持，墨守；紧贴；附着
coalition,n. 联合；结合，合并
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
collaborate,vi. 合作；勾结，通敌
colleague,n. 同事，同僚
collusion,n. 勾结；共谋
comfortable,"n. 盖被
adj. 舒适的，舒服的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
committee,n. 委员会
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
community,n. 社区； 群落；共同体；团体
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compete,vi. 竞争；比赛；对抗
competitive,adj. 竞争的；比赛的；求胜心切的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
comply,vi. 遵守；顺从，遵从；答应
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
concord,n. 和谐；和睦；一致；协调
condole,vi. 慰问；吊唁；哀悼
conductor,n. 导体；售票员；领导者；管理人
confer,"vt. 授予；给予
vi. 协商"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
confidential,adj. 机密的；表示信任的；获信任的
confuse,vt. 使混乱；使困惑
conglomerate,"n.  砾岩；企业集团；聚合物
vi. 凝聚成团
adj. 成团的；砾岩性的
vt. 使聚结；凝聚成团"
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
conscious,adj. 意识到的；故意的；神志清醒的
consensus,n. 一致；舆论；合意
conservation,n. 保存，保持；保护
consist,vi. 由…组成；在于；符合
constellation,n.  星座；星群；荟萃；兴奋丛
constitute,vt. 组成，构成；建立；任命
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consumer,n. 消费者；用户，顾客
consumption,n. 消费；消耗；肺痨
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
contentious,adj. 诉讼的；有异议的，引起争论的；爱争论的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribution,n. 贡献；捐献；投稿
controversy,n. 争论；论战；辩论
convenient,adj. 方便的；适当的；近便的；实用的
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
convince,vt. 说服；使确信，使信服
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
corporate profit, 企业利润；公司盈利；营利
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
cost of living,"n. 生活费用
 生活成本；生活的代价；生活开销"
costly,adj. 昂贵的；代价高的
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
create,vt. 创造，创作；造成
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
cringe,"n. 畏缩；奉承
vi. 畏缩；奉承；阿谀"
critic,n. 批评家，评论家；爱挑剔的人
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
cumulative,adj. 累积的
currency,n. 货币；通货
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
cutting edge,"n. 刀刃；最前列；优势
adj. 先进的
 切削刃；刃口；尖端"
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
Darwinism,n. 达尔文学说；达尔文主义；进化论
deadline,n. 截止期限，最后期限
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
debit,"n. 借方
vt. 记入借方，登入借方"
decimate,vt. 十中抽一，取十分之一；大批杀害
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
deduct,vt. 扣除，减去；演绎
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
define,vt. 定义；使明确；规定
defoliant,n. （美） 落叶剂； 脱叶剂
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
demarcate,vt. 划分界线；区别
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
density,n. 密度
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
depositor,n. 存款人，存放者；寄托者
deregulation,n. 违反规定，反常；撤消管制规定
derive,"vt. 源于；得自；获得
vi. 起源"
describe,vt. 描述，形容；描绘
deserve,"vi. 应受，应得
vt. 应受，应得"
detain,vt. 拘留；留住；耽搁
detective,"n. 侦探
adj. 侦探的"
deter,vt. 制止，阻止；使打消念头
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
diabetes,n. 糖尿病；多尿症
diarrhea,n. 腹泻，痢疾
dietitian,n. （美）营养学家；饮食学家
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
dilemma,n. 困境；进退两难；两刀论法
dioxin,n. 二氧（杂）芑
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
disaster,n. 灾难，灾祸；不幸
disband,"vt. 解散；遣散
vi. 解散"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
disclose,vt. 公开；揭露
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
disparage,vt. 蔑视；毁谤
dissatisfy,vt. 使不满意，使不满足; 使失望
distract,vt. 转移；分心
distribution,n. 分布；分配
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dormancy,n.  休眠，冬眠； 蛰伏
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
download,vt.  下载
downturn,n. 衰退（经济方面）；低迷时期
drainage,n. 排水；排水系统；污水；排水面积
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
dumping,"n. 倾销；倾泻
v. 倾倒（dump的ing形式）"
eager,adj. 渴望的；热切的；热心的
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的；不损坏生态环境的
economist,n. 经济学者；节俭的人
ecosystem,n. 生态系统
editorial,"n. 社论
adj. 编辑的；社论的"
edutainment,n. 寓教于乐的出版物
electrify,vt. 使电气化；使充电；使触电；使激动
elite,n. 精英；精华；中坚分子
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
embezzlement,n. 侵占；挪用；盗用
emerge,vi. 浮现；摆脱；暴露
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employment,n. 使用；职业；雇用
endanger,vt. 危及；使遭到危险
endemic,"n. 地方病
adj. 地方性的；风土的"
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
enforcement,n. 执行，实施；强制
enrapture,vt. 使狂喜；使著迷
enterprise,n. 企业；事业；进取心；事业心
entice,vt. 诱使；怂恿
entreat,"vt. 恳求；请求
vi. 恳求；乞求"
environmental,adj. 环境的，周围的；有关环境的
environmental management,"un. 环境管理
 环境管理学；环境管理硕士；环境管理业"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
equilibrium,n. 均衡；平静；保持平衡的能力
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
establish,"vi. 植物定植
vt. 建立；创办；安置"
ethnic,adj. 种族的；人种的
euthanasia,n. 安乐死；安乐死术
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expel,vt. 驱逐；开除
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
explain,v. 说明；解释
exploitation,n. 开发，开采；利用；广告推销；剥削
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
exterminate,vt. 消灭；根除
extradite,vt. 引渡；获取…的引渡
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
eyesight,n. 视力；目力
fabricate,vt. 制造；伪造；装配
fair practice, 合理惯例
famine,n. 饥荒；饥饿，奇缺
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
feminist,"n. 女权主义者
adj. 主张女权的"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
fishery zone,渔业控制水域，水产管区(只有沿岸国有捕鱼权的水域)
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
flounder,"n. 挣扎，辗转；比目鱼
vi. 挣扎，折腾；错乱地做事或说话"
flu,n. 流感
foist,vt. 偷偷插入；混入；蒙骗；硬卖给；采用欺骗手段出售；把…强加于
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
foresee,vt. 预见；预知
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
forthcoming,"n. 来临
adj. 即将来临的"
fossil fuel,"n. 化石燃料（如煤或石油）
 矿物燃料；石化燃料；化石能源"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
free trade,"n. 自由贸易（制度）
 自由贸易或自由交易；自由贸易地区；自由交流"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
furnish,vt. 提供；供应；装备
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
garnish,"n. 为增加色香味而添加的配菜；装饰品
vt. 装饰"
gene,n.  基因，遗传因子
generate,vt. 使形成；发生；生殖；产生物理反应
genetics,n. 遗传学
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
global,adj. 全球的；总体的；球形的
glower,"n. 怒视；热切的注视；灯丝
vi. 怒目而视；瞪眼"
GNP,abbr. 国民生产总值（gross national product）
gory,adj. 血淋淋的；残酷的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
grievance,n. 不满，不平；委屈；冤情
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
gullible,adj. 易受骗的；轻信的
habitat,n.  栖息地，产地
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
hedonistic,adj. 快乐主义者的；快乐论的；快乐主义的
heritage,n. 遗产；传统；继承物；继承权
high-tech system,
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
holding company,"n. 控股公司
 中间控股公司；持股公司；控投公司"
homosexual,"n. 同性恋者
adj. 同性恋的"
hopeless,adj. 绝望的；不可救药的
hormone,n.  激素，荷尔蒙
hostage,n. 人质；抵押品
housing complex,
humanize,"vt. 教化；赋予人性；使通人情
vi. 变为有人性；有教化"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
hypocritical,adj. 虚伪的；伪善的
identification,n. 鉴定，识别；认同；身份证明
imbalance,n. 不平衡；不安定
imminent,adj. 即将来临的；迫近的
impair,vt. 损害；削弱；减少
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
incite,vt. 煽动；激励；刺激
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
independently,adv. 独立地；自立地
indication,n. 指示，指出；迹象；象征
indigent,adj. 贫困的；贫穷的（副词indigently）
inertia,n.  惯性；惰性，迟钝；不活动
infect,vt. 感染，传染
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
infrastructure,n. 基础设施；公共建设；下部构造
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inhibit,vt. 抑制；禁止
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
innuendo,"n. 暗讽，讽刺；影射
vt. 暗示，旁敲侧击地表达
vi. 影射；说讽刺话"
insinuate,"vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
vi. 暗讽；说含沙射影的话"
insoluble,adj. 不能解决的； 不能溶解的；难以解释的
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
intend,"vi. 有打算
vt. 打算；想要；意指"
interdependence,n. 互相依赖
interest rate,"n. 利率
 利息率；贷款利率；贷记利息"
interrogation,n. 讯问；审问； 疑问句
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
intrinsic,adj. 本质的，固有的
invariably,adv. 总是；不变地；一定地
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
involvement,n. 牵连；包含；混乱；财政困难
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
journal,n. 日报，杂志；日记；分类账
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
know-how,n. 诀窍；实际知识；专门技能
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
languish,vi. 憔悴；凋萎；失去活力；苦思
launder,"vt. 洗涤；清洗；洗黑钱（把来路可疑的钱弄得貌似合法）
vi. 洗涤；洗熨；耐洗
n. 流水槽"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
legacy,n. 遗赠，遗产
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liberation,n. 释放，解放
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
literary,adj. 文学的；书面的；精通文学的
litmus test,"n. 石蕊试验
 试金石；石蕊试纸；石蕊测试"
local edition,地方版
lung,n. 肺；呼吸器
mainstream,n. 主流
malady,n. 弊病；疾病；腐败
malnutrition,n. 营养失调，营养不良
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
market research,"n. 市场调研；市场调查
 市场研究；市场研究业务；美国市场调查公司"
mass media,"n. 大众传媒
 大众媒体；大众传播媒介；大众传播媒体"
matter,"n. 物质；事件
vi. 有关系；要紧"
media psychology,媒体心理学
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
meteor,n. 流星； 大气现象
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
mire,"n. 泥潭； 泥沼
vi. 陷于泥坑；陷入困境
vt. 使陷于泥坑；使陷入困境"
mislead,vt. 误导；带错
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
mogul,n. 有权势的人；显要人物
mollify,vt. 平息，缓和；使…平静；使…变软
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
monopoly,n. 垄断；垄断者；专卖权
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
municipal,adj. 市政的，市的；地方自治的
mystify,vt. 使神秘化；使迷惑，使困惑
national interest,"un. 国家利益
 国家利益卷；民族利益；於国家利益"
nationality,n. 国籍，国家；民族；部落
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
nature,n. 自然；性质；本性；种类
negotiation,n. 谈判；转让；顺利的通过
nervous,adj. 神经的；紧张不安的；强健有力的
news conference,"na. 记者招待会
 新闻发布会；新闻发布会上；记者会"
nomination,n. 任命，提名；提名权
notify,vt. 通告，通知；公布
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
obesity,n. 肥大，肥胖
obnoxious,adj. 讨厌的；可憎的；不愉快的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
occupation,n. 职业；占有；消遣；占有期
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
operation,n. 操作；经营； 手术； 运算
oppose,"vt. 反对；对抗，抗争
vi. 反对"
optional,"adj. 可选择的，随意的
n. 选修科目"
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
organ,n.  器官；机构；风琴；管风琴；嗓音
organization,n. 组织；机构；体制；团体
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overcast,"adj. 阴天的；阴暗的；愁闷的
vt. 使沮丧；包缝；遮蔽"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
overextend,vt. 过分扩展；过分延长；使…承担过多的义务
overly,adv. 过度地；极度地
overpower,vt. 压倒；克服；使无法忍受
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
oxidation,n.  氧化
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
palliate,vt. 减轻；掩饰；辩解
palpitate,"vt. 使发抖
vi. 发抖；（心脏）悸动；跳动"
pamper,vt. 纵容；使…过量；给…吃得过多
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
par,"n. 标准；票面价值；平均数量
adj. 标准的；票面的"
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
payable,adj. 应付的；到期的；可付的；可获利的
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
penurious,adj. 吝啬的；缺乏的；贫困的
percentage,n. 百分比；百分率，百分数
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
perturb,vt. 扰乱；使…混乱；使…心绪不宁
pervade,vt. 遍及；弥漫
petroleum,n. 石油
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
piquant,adj. 辛辣的；活泼的；痛快的；顽皮的；刺激的
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
platform,n. 平台；月台，站台；坛；讲台
plebiscite,n. 公民投票；平民表决
pollution,"n. 污染
污染物"
population explosion,"n. 人口激增；人口爆炸
 人口猛增；人口的急剧增长；论人口增长"
portray,vt. 描绘；扮演
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
pregnant,adj. 怀孕的；富有意义的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
presentable,adj. 漂亮的；可见人的；有规矩的
presidential election, 总统选举；总统大选；美国总统大选
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
privacy,n. 隐私；秘密；隐居；隐居处
proclaim,vt. 宣告，公布；声明；表明；赞扬
procure,"vt. 获得，取得；导致
vi. 取得"
product,n. 产品；结果； 乘积；作品
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
profitable,adj. 有利可图的；赚钱的；有益的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
prominent,adj. 突出的，显著的；杰出的；卓越的
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
