source,n. 来源；水源；原始资料
fraction,n. 分数；部分；小部分；稍微
foliage,n. 植物；叶子（总称）
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
efficiency,n. 效率；效能；功效
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
deprive,vt. 使丧失，剥夺
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
astounding,adj. 令人震惊的；令人惊骇的
anticipate,vt. 预期，期望；占先，抢先；提前使用
algae,n.  藻类； 海藻
aggravating,"v. 使恶化；激怒（aggravate的ing形式）
adj. 加重的；令人恼怒的"
ascending,"adj. 上升的
v. 上升；获得（ascend的ing形式）；追溯"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
cellulose,n. 纤维素；（植物的）细胞膜质
cavity,n. 腔；洞，凹处
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
detachment,n. 分离，拆开；超然；分遣；分遣队
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
durability,n. 耐久性；坚固；耐用年限
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
episode,n. 插曲；一段情节；插话；有趣的事件
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
forbidden,adj. 被禁止的；严禁的，禁用的
optimal,adj. 最佳的；最理想的
notion,n. 概念；见解；打算
mule,n. 骡；倔强之人，顽固的人；杂交种动物
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
laden,"adj. 负载的；装满的；苦恼的
vt. 装载（等于lade）
vi. 装载（等于lade）
v. 装载（lade的过去分词）"
invasion,n. 入侵，侵略；侵袭；侵犯
interstellar,adj.  星际的
intercity,adj. 城市间的
hemisphere,n. 半球
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
genetically,adv. 从遗传学角度；从基因方面
fungal,adj. 真菌的（等于fungous）
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
endless,adj. 无止境的；连续的；环状的；漫无目的的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
drastically,adv. 彻底地；激烈地
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
upcoming,adj. 即将来临的
transparent,adj. 透明的；显然的；坦率的；易懂的
tolerate,vt. 忍受；默许；宽恕
thoughtful,adj. 深思的；体贴的；关切的
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
sulfate,"n.  硫酸盐
vt. 使成硫酸盐；用硫酸处理；使在上形成硫酸铅沉淀
vi. 硫酸盐化"
stoneware,n. 瓷器；石器
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
shortage,n. 缺乏，缺少；不足
seemingly,adv. 看来似乎；表面上看来
sedentary,adj. 久坐的；坐惯的；定栖的；静坐的
scurry,"vi. 急赶；急跑
n. 急跑；短距离赛跑（或赛马）
vt. 急赶"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
envision,vt. 想象；预想
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
enrich,vt. 使充实；使肥沃；使富足
endanger,vt. 危及；使遭到危险
ember,n. 灰烬，余烬
dedicate,vt. 致力；献身；题献
deception,n. 欺骗，欺诈；骗术
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
creator,
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
coverage,n. 覆盖，覆盖范围；新闻报道
transmission,n. 传动装置， 变速器；传递；传送；播送
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
synthesize,"vt. 合成；综合
vi. 合成；综合"
sympathy,n. 同情；慰问；赞同
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
startling,adj. 令人吃惊的
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
soften,"vt. 使温和；使缓和；使变柔软
vi. 减轻；变柔和；变柔软"
sodium,n.  钠（11号元素，符号 Na）
sociologist,n. 社会学家
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
smoky,adj. 冒烟的；烟熏味的；熏着的；呛人的；烟状的
slush,"n. 烂泥；污水；水泥砂浆；胡说八道
vt. 溅湿；给…灌砂浆；给…上润滑油
vi. 溅泼；在融雪中走"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
situate,"adj. 位于…的
vt. 使位于；使处于"
silicon,n.  硅；硅元素
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
optical,adj. 光学的；眼睛的，视觉的
onward,"adj. 向前的；前进的
adv. 向前；在前面"
offspring,n. 后代，子孙；产物
lizard,n. 蜥蜴；类蜥蜴爬行动物
linear,adj. 线的，线型的；直线的，线状的；长度的
liberty,n. 自由；许可；冒失
landform,n.  地形
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
integrity,n. 完整；正直；诚实；廉正
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
inspection,n. 视察，检查
injure,vt. 伤害，损害
genuine,adj. 真实的，真正的；诚恳的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
friendliness,n. 友谊；亲切；亲密
friction,n. 摩擦， 摩擦力
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
dormancy,n.  休眠，冬眠； 蛰伏
dolphin,n. 海豚
aircraft,n. 飞机，航空器
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
patchy,adj. 不调和的；拼凑成的；有补丁的
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
palace,n. 宫殿；宅邸；豪华住宅
ore,n. 矿；矿石
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
monumental,adj. 不朽的；纪念碑的；非常的
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mobility,n. 移动性；机动性； 迁移率
millennia,n. 千年期（millennium的复数）；一千年；千年庆典；太平盛世
insulation,n. 绝缘；隔离，孤立
inscribe,vt. 题写；题献；铭记；雕
income,n. 收入，收益；所得
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
exclusively,adv. 唯一地；专有地；排外地
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
ethology,n. 动物行动学；道德体系学；个体生态学
enthusiastic,adj. 热情的；热心的；狂热的
dozen,"n. 十二个，一打
adj. 一打的"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
council,n. 委员会；会议；理事会；地方议会；顾问班子
convince,vt. 说服；使确信，使信服
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
contraction,n. 收缩，紧缩；缩写式；害病
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commodity,n. 商品，货物；日用品
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
combustion,n. 燃烧，氧化；骚动
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
broadside,"n. 舷侧；较宽的一面
adv. 侧面地；胡乱地
vt. 言语攻击"
brilliance,n. 光辉；才华；宏伟
botanical,"n. 植物性药材
adj. 植物学的"
botanist,n. 植物学家
biotic,adj. 生物的；有关生命的
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
accomplish,vt. 完成；实现；达到
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
woolly,"adj. 羊毛的；模糊的；似羊毛的
n. 羊；毛织衣服"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
spun,"adj. 纺成的
v. 纺（spin的过去分词）；旋转"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
spider,n. 蜘蛛；设圈套者；三脚架
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
sociobiology,n. 生物社会学
socially,adv. 在社会上；在社交方面；善于交际地
snowfall,n. 降雪；降雪量
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
rotation,n. 旋转；循环，轮流
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
regulatory,adj. 管理的；控制的；调整的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
publication,n. 出版；出版物；发表
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
outlying,"adj. 边远的；无关的
v. 放在…外面；在撒谎上胜过（outlie的ing形式）"
outermost,adj. 最外面的；最远的
otter,n. 水獭；水獭皮
octopus,"n. 章鱼
章鱼肉"
obsidian,n. 黑曜石
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
norm,n. 标准，规范
necessitate,vt. 使成为必需，需要；迫使
navigation,n. 航行；航海
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
metabolic,adj. 变化的；新陈代谢的
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
meaningful,adj. 有意义的；意味深长的
maser,n.  微波激射器；分子增幅器
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
mallet,n. 棒，槌棒；木槌；球棍
loyalty,n. 忠诚；忠心；忠实；忠于…感情
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
journal,n. 日报，杂志；日记；分类账
jewelry,n. 珠宝；珠宝类
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
icy,adj. 冰冷的；冷淡的；结满冰的
humanity,n. 人类；人道；仁慈；人文学科
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
horn,"n. 喇叭，号角；角
vt. 装角于"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honest,adj. 诚实的，实在的；可靠的；坦率的
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
headquarter,"vt. 在…设总部
vi. 设立总部"
gosling,n. 小鹅；年轻无知者
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
frequency,n. 频率；频繁
fortuitous,adj. 偶然的，意外的；幸运的
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
firearm,n. 火器；枪炮
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
fate,"n. 命运
vt. 注定"
facilitate,vt. 促进；帮助；使容易
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
experimentation,n. 实验；试验；实验法；实验过程
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
distrust,"n. 不信任
vt. 不信任
怀疑"
district,n. 区域；地方；行政区
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
counterpart,n. 副本；配对物；极相似的人或物
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
cope,"n. 长袍
vi. 处理；对付；竞争"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
conifer,n. 针叶树； 松柏科植物
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
clan,n. 宗族；部落；集团
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
bovine,"n. 牛科动物
adj. 牛的；似牛的；迟钝的"
boulder,n. 卵石，大圆石；巨砾
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
association,n. 协会，联盟，社团；联合；联想
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
arise,vi. 出现；上升；起立
arboreal,adj. 树木的；栖息在树上的
aluminum,n. 铝
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
whereby,adv. 凭借；通过…；借以；与…一致
warehouse,n. 仓库；货栈；大商店
viscosity,n.  黏性， 黏度
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
via,prep. 渠道，通过；经由
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
tributary,"n. 支流；进贡国；附属国
adj. 纳贡的；附属的；辅助的"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
textbook,n. 教科书，课本
tentatively,adv. 暂时地；试验性地
tenfold,"n. 十倍
adj. 十倍的；十重的
adv. 十倍地；成十倍"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
suppress,vt. 抑制；镇压；废止
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
subsidize,vt. 资助；给与奖助金；向…行贿
subside,vi. 平息；减弱；沉淀；坐下
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
strive,vi. 努力；奋斗；抗争
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
sparse,adj. 稀疏的；稀少的
shale,n.  页岩；泥板岩
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
sensory,adj. 感觉的；知觉的；传递感觉的
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
scavenger,n. 食腐动物；清道夫； 清除剂；拾荒者
salty,adj. 咸的；含盐的
salary,"n. 薪水
vt. 给...加薪；给...薪水"
saint,
revere,vt. 敬畏；尊敬；崇敬
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
regolith,n.  风化层；表皮土；土被
recruitment,n. 补充；征募新兵
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
receptor,n.  受体；接受器；感觉器官
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
purification,n. 净化；提纯；涤罪
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
prolong,vt. 延长；拖延
prodigious,adj. 惊人的，异常的，奇妙的；巨大的
pregnant,adj. 怀孕的；富有意义的
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
porpoise,n. 海豚；鼠海豚
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
pest,n. 害虫；有害之物；讨厌的人
perishable,"n. 容易腐坏的东西
adj. 易腐坏的；易毁灭的；会枯萎的"
percussion,n.  叩诊；振动；碰撞；敲打乐器；打击乐器组
peninsula,n. 半岛
penchant,n. 嗜好；倾向
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
patchiness,n. 补缀的性质
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
nomadic,adj. 游牧的；流浪的；游动的
nodule,n. 小结；小瘤；节结
nitric,adj. 氮的；含氮的；硝石的
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
necessity,n. 需要；必然性；必需品
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
narrator,n. 叙述者；解说员
morphology,n. 形态学，形态论； 词法， 词态学
morally,adv. 道德上；有道德地；确实地
momentum,n. 势头； 动量；动力；冲力
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
minimal,adj. 最低的；最小限度的
mice,n. 老鼠（mouse的复数）
meticulously,adv. 细致地；一丝不苟地；拘泥地
methane,n.  甲烷； 沼气
meteorologist,n. 气象学者
memorable,adj. 显著的，难忘的；值得纪念的
melody,n. 旋律；歌曲；美妙的音乐
megawatt,n. 兆瓦特，百万瓦特
mediterranean,
mediocre,adj. 普通的；平凡的；中等的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
manual,"adj. 手工的；体力的
n. 手册，指南"
magnitude,n. 大小；量级； 震级；重要；光度
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
longevity,n. 长寿，长命；寿命
logical,adj. 合逻辑的，合理的；逻辑学的
kinetic,adj.  运动的；活跃的
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
isotope,n. 同位素
iridium,n.  铱（Ir）
intoxication,n.  中毒；陶醉；喝醉
inject,vt. 注入；注射
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
influx,n. 流入；汇集；河流的汇集处
indefinite,adj. 不确定的；无限的；模糊的
inconspicuous,adj. 不显眼的；不引人注意的；（花）不显著的
impersonation,n. 扮演；模仿；装扮
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
homemaking,n. 家政
hieroglyphic,"n. 象形文字；象形文字写的文章
adj. 象形文字的；难解的"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
greenish,adj. 呈绿色的
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
gradient,"n.  梯度；坡度；倾斜度
adj. 倾斜的；步行的"
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
