abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
mislead,vt. 误导；带错
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
orchestra,n. 管弦乐队；乐队演奏处
orientation,n. 方向；定向；适应；情况介绍；向东方
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
plaza,n. 广场；市场，购物中心
plea,n. 恳求，请求；辩解，辩护；借口，托辞
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
probability,n. 可能性；机率； 或然率
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
racism,n. 种族主义，种族歧视；人种偏见
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
relaxation,n. 放松；缓和；消遣
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
relief,n. 救济；减轻，解除；安慰；浮雕
remarkable,adj. 卓越的；非凡的；值得注意的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repel,vt. 击退；抵制；使厌恶；使不愉快
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reputed,"adj. 名誉好的；被普遍认为…的
v. 认为（repute的过去式和过去分词）"
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
resemblance,n. 相似；相似之处；相似物；肖像
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
setback,n. 挫折；退步；逆流
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
storage,n. 存储；仓库；贮藏所
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strategic,adj. 战略上的，战略的
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
supportive,adj. 支持的；支援的；赞助的
suppress,vt. 抑制；镇压；废止
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
technical,adj. 工艺的，科技的；技术上的；专门的
technician,n. 技师，技术员；技巧纯熟的人
tedious,adj. 沉闷的；冗长乏味的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transition,n. 过渡；转变； 转换；变调
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
variety,n. 多样；种类；杂耍；变化，多样化
vegetarian,"n. 素食者；食草动物
adj. 素食的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
zeal,n. 热情；热心；热诚
zealous,adj. 热心的，热情的，积极的
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
athlete,n. 运动员，体育家；身强力壮的人
atmosphere,n. 气氛；大气；空气
attachment,n. 附件；依恋；连接物；扣押财产
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
attraction,n. 吸引，吸引力；引力；吸引人的事物
attractive,adj. 吸引人的；有魅力的；引人注目的
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
behalf,n. 代表；利益
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
belief,n. 相信，信赖；信仰；教义
brutal,adj. 残忍的；野蛮的，不讲理的
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bulletin,"n. 公告，公报
vt. 公布，公告"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
carrier,n.  载体；运送者；带菌者；货架
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confidential,adj. 机密的；表示信任的；获信任的
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confirm,vt. 确认；确定；证实；批准；使巩固
confront,vt. 面对；遭遇；比较
congratulation,n. 祝贺；贺辞
congress,n. 国会；代表大会；会议；社交
conjunction,n. 结合； 连接词；同时发生
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
consensus,n. 一致；舆论；合意
consequence,n. 结果；重要性；推论
conservative,
considerable,adj. 相当大的；重要的，值得考虑的
consistent,adj. 始终如一的，一致的；坚持的
consistently,adv. 一贯地；一致地；坚实地
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
constantly,adv. 不断地；时常地
constrain,vt. 驱使；强迫；束缚
construct,"n. 构想，概念
vt. 建造，构造；创立"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultant,n. 顾问；咨询者；会诊医生
contempt,n. 轻视，蔑视；耻辱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contention,n. 争论，争辩；争夺；论点
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
continual,adj. 持续不断的；频繁的
contraction,n. 收缩，紧缩；缩写式；害病
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contribution,n. 贡献；捐献；投稿
credible,adj. 可靠的，可信的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
cucumber,n. 黄瓜；胡瓜
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
dedicate,vt. 致力；献身；题献
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
defence,n. 防御；防卫；答辩；防卫设备
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dispel,vt. 驱散，驱逐；消除（烦恼等）
displace,vt. 取代；置换；转移；把…免职；排水
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distinction,n. 区别；差别；特性；荣誉、勋章
distinctive,adj. 有特色的，与众不同的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distract,vt. 转移；分心
distribute,vt. 分配；散布；分开；把…分类
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
divergent,adj. 相异的，分歧的；散开的
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
escalator,n. （美）自动扶梯；电动扶梯
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
everlasting,adj. 永恒的；接连不断的
evoke,vt. 引起，唤起；博得
evolution,n. 演变；进化论；进展
examination,n. 考试；检查；查问
exception,n. 例外；异议
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
execute,vt. 实行；执行；处死
exert,vt. 运用，发挥；施以影响
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expedition,n. 远征；探险队；迅速
expel,vt. 驱逐；开除
expenditure,n. 支出，花费；经费，消费额
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
feedback,n. 反馈；成果，资料；回复
fitness,n. 健康；适当；适合性
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
fraction,n. 分数；部分；小部分；稍微
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fragile,adj. 脆的；易碎的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fragrant,adj. 芳香的；愉快的
framework,n. 框架，骨架；结构，构架
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
gist,n. 主旨，要点；依据
greed,n. 贪婪，贪心
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
humanity,n. 人类；人道；仁慈；人文学科
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humidity,n.  湿度；湿气
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identification,n. 鉴定，识别；认同；身份证明
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
insight,n. 洞察力；洞悉
insignificant,adj. 无关紧要的
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspiration,n. 灵感；鼓舞；吸气；妙计
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
integrity,n. 完整；正直；诚实；廉正
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
legend,n. 传奇；说明；图例；刻印文字
legible,adj. 清晰的；易读的；易辨认的
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
luggage,n. 行李；皮箱
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
memorise,vt. （英）记忆；存储（等于memorize）
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
modify,"vt. 修改，修饰；更改
vi. 修改"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
momentary,adj. 瞬间的；短暂的；随时会发生的
monetary,adj. 货币的；财政的
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
monopoly,n. 垄断；垄断者；专卖权
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
naive,"adj. 天真的,幼稚的"
naked,adj. 裸体的；无装饰的；无证据的；直率的
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
partial,adj. 局部的；偏爱的；不公平的
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
permission,n. 允许，许可
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
pesticide,n. 杀虫剂
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
pork,"n. 猪肉
vt. 与女子性交"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
portrait,n. 肖像；描写；半身雕塑像
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
poster,n. 海报，广告；招贴
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
poverty,n. 贫困；困难；缺少；低劣
qualification,n. 资格；条件；限制；赋予资格
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
requirement,n. 要求；必要条件；必需品
resentment,n. 愤恨，怨恨
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reside,vi. 住，居住；属于
residence,n. 住宅，住处；居住
residential,adj. 住宅的；与居住有关的
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
restriction,n. 限制；约束；束缚
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
settlement,n. 解决，处理； 结算；沉降；殖民
sewage,n. 污水；下水道；污物
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
strive,vi. 努力；奋斗；抗争
stubborn,adj. 顽固的；顽强的；难处理的
studio,n. 工作室； 演播室；画室；电影制片厂
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suggestion,n. 建议；示意；微量，细微的迹象
texture,n. 质地；纹理；结构；本质，实质
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
thesis,n. 论文；论点
tourism,n. 旅游业；游览
traditional,adj. 传统的；惯例的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
underdeveloped,adj. 不发达的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
abound,vi. 富于；充满
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
apt,adj. 恰当的；有…倾向的；灵敏的
attribute,"n. 属性；特质
vt. 归属；把…归于"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
authentic,adj. 真正的，真实的；可信的
authorise,vt. 授权；批准；允许；委任（等于authorize）
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
autonomous,adj. 自治的；自主的；自发的
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
basin,n. 水池；流域；盆地；盆
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confuse,vt. 使混乱；使困惑
conquest,n. 征服，战胜；战利品
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consign,vt. 交付；托运；寄存；把…委托给
conventional,adj. 符合习俗的，传统的；常见的；惯例的
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
coordination,n. 协调，调和；对等，同等
cope,"n. 长袍
vi. 处理；对付；竞争"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspondence,n. 通信；一致；相当
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
corruption,n. 贪污，腐败；堕落
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
countless,adj. 无数的；数不尽的
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
cultivate,vt. 培养；陶冶；耕作
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
curry,"n. 咖哩粉，咖喱；咖哩饭菜
vt. 用咖喱烧，给…加咖喱粉；梳刷；鞭打"
despise,vt. 轻视，鄙视
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
determination,n. 决心；果断；测定
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
doctrine,n. 主义；学说；教义；信条
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donkey,n. 驴子；傻瓜；顽固的人
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
emotion,n. 情感；情绪
employee,n. 雇员；从业员工
endorse,vt. 背书；认可；签署；赞同；在背面签名
expertise,n. 专门知识；专门技术；专家的意见
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
exploration,n. 探测；探究；踏勘
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
fiction,n. 小说；虚构，编造；谎言
fictional,adj. 虚构的；小说的
fieldwork,n. 野外工作；现场工作；野战工事
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
financial,adj. 金融的；财政的，财务的
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
