have,"aux. 已经
vt. 有；让；拿；从事；允许"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
diary,n. 日志，日记；日记簿
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
sofa,n. 沙发；长椅
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
fridge,n. 电冰箱
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
housework,n. 家务事
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
door,n. 门；家，户；门口；通道
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
watermelon,n. 西瓜
strawberry,n. 草莓；草莓色
menu,"n. 菜单
饭菜"
noodle,n. 面条；笨蛋
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
restaurant,n. 餐馆； 饭店
dining,"n. 吃饭，进餐
v. 吃饭（dine的现在分词）"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
tomato,n. 番茄，西红柿
pear,n.  梨树；梨子
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
biscuit,n. 小点心，饼干
coffee,n. 咖啡；咖啡豆；咖啡色
juice,n. （水果）汁，液；果汁
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
kitchen,n. 厨房；炊具；炊事人员
potato,n.  土豆， 马铃薯
dumpling,n. 饺子，汤团；面团布丁
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
food,n. 食物；养料
lemon,"adj. 柠檬色的
n. 柠檬"
delicious,adj. 美味的；可口的
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
picnic,"n. 野餐
vi. 去野餐"
meat,n. 肉，肉类（食用）
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
carrot,"n. 胡萝卜
诱饵"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
salad,n. 色拉；尤指莴苣
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
ice-cream,"a. 冰淇淋的, 乳白色的"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
thirsty,adj. 口渴的，口干的；渴望的，热望的
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
dinner,n. 晚餐，晚宴；宴会；正餐
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
cookie,n. 饼干；小甜点
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
clothes,n. 衣服
shirt,n. 衬衫；汗衫，内衣
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
T-shirt,n. 短袖圆领汗衫
handbag,n. 手提包
glove,"n. 手套
vt. 给…戴手套"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
trousers,n. 裤子，长裤
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
coat,"n. 外套
vt. 覆盖…的表面"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
shorts,n. 短裤
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
journey,"n. 旅行；行程
vi. 旅行"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
car,n. 汽车；车厢
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
passport,n. 护照，通行证；手段
holiday,"n. 假日；节日；休息日
vi. 外出度假"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
bus,"n. 公共汽车
乘公共汽车"
boat,"n. 小船；轮船
vi. 划船"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
arrive,vi. 到达；成功；达成；出生
visitor,n. 访问者，参观者；视察者；候鸟
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
palace,n. 宫殿；宅邸；豪华住宅
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
hometown,n. 家乡；故乡
factory,n. 工厂；制造厂；代理店
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
area,n. 区域，地区；面积；范围
village,n. 村庄；村民；（动物的）群落
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
bathroom,n. 浴室；厕所；盥洗室
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
playground,n. 运动场，操场；游乐场
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
city,"n. 城市，都市
adj. 城市的；都会的"
countryside,n. 农村，乡下；乡下的全体居民
street,"n. 街道
adj. 街道的"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
cinema,n. 电影；电影院；电影业，电影制作术
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
supermarket,n. 超级市场；自助售货商店
town,n. 城镇，市镇；市内商业区
museum,n. 博物馆
world,n. 世界；领域；世俗；全人类；物质生活
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
leg,n. 腿；支柱
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
customer,n. 顾客；家伙
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
wife,n. 妻子，已婚妇女；夫人
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
human,"n. 人；人类
adj. 人的；人类的"
parent,n. 父亲（或母亲）；父母亲；根源
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
aunt,n. 阿姨；姑妈；伯母；舅妈
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
hero,n. 英雄；男主角，男主人公
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
stranger,n. 陌生人；外地人；局外人
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
Mrs,n. 太太；夫人（用于已婚妇女姓名前的尊称）
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
woman,n. 妇女；女性；成年女子
grandson,n. 孙子；外孙
friend,n. 朋友；助手；赞助者
person,n. 人；身体；容貌，外表；人称
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
Mr,abbr. 先生（Mister）
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
Ms,
team,"n. 队；组
vt. 使合作
vi. 合作"
granddaughter,n. 孙女；外孙女
Miss,
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
society,n. 社会；交往；社团；社交界
cousin,n. 堂兄弟姊妹；表兄弟姊妹
boy,n. 男孩；男人
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
friendship,n. 友谊；友爱；友善
lady,n. 女士，夫人；小姐；妻子
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
gentleman,n. 先生；绅士；有身份的人
husband,"n. 丈夫
vt. 节约地使用（或管理）"
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
dad,n. 爸爸；爹爹
madam,n. 夫人；女士；鸨母
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
sleep,"n. 睡眠
vi. 睡，睡觉"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
action,n. 行动；活动；功能；战斗；情节
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
activity,n. 活动；行动；活跃
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
born,"v. 出世（bear的过去分词）
adj. 天生的"
explain,v. 说明；解释
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
create,vt. 创造，创作；造成
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
discover,"vi. 发现
vt. 发现；发觉"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
sit,"vi. 坐；位于
vt. 使就座"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
birthday,n. 生日，诞辰；诞生的日子
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
hobby,n. 嗜好；业余爱好
describe,vt. 描述，形容；描绘
birth,n. 出生；血统，出身；起源
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
crazy,adj. 疯狂的；狂热的，着迷的
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
happy,adj. 幸福的；高兴的；巧妙的
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
courage,n. 勇气；胆量
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
nervous,adj. 神经的；紧张不安的；强健有力的
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
proud,adj. 自豪的；得意的；自负的
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
