ban,"n. 禁令，禁忌
vt. 禁止，取缔"
version,n. 版本；译文；倒转术
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
feverish,adj. 发热的；极度兴奋的
indictment,n. 起诉书；控告
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
anticipate,vt. 预期，期望；占先，抢先；提前使用
turnaround,n. 转变；转向；突然好转；回车道
inventory,n. 存货，存货清单；详细目录；财产清册
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
dirt-cheap,"adj. 毫无价值的；贱如粪土的；非常便宜的
adv. 非常便宜地"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
victim,n. 受害人；牺牲品；牺牲者
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
non-durable, 不耐用物品
roughly,adv. 粗糙地；概略地
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
idealism,n. 唯心主义，理想主义；理念论
sustainability,n. 持续性；永续性；能维持性
vanity,n. 虚荣心；空虚；浮华；无价值的东西
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
fraction,n. 分数；部分；小部分；稍微
behavioural,adj. 行为的；动作的
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
fine-grained,adj. 细粒的；有细密纹理的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
explicit,adj. 明确的；清楚的；直率的；详述的
permission,n. 允许，许可
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
alliance,n. 联盟，联合；联姻
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
horrify,vt. 使恐惧；惊骇；使极度厌恶
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
preference,n. 偏爱，倾向；优先权
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
comply,vi. 遵守；顺从，遵从；答应
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
favourably,adv. 顺利地；有利地；好意地（等于favorably）
blog,n. 博客；部落格；网络日志
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
uniformly,adv. 一致地
glowingly,adv. 热心地；白热地；灼热地
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
fulfilment,n. 实现；成就
utopia,
unfashionable,adj. 过时的；不时髦的
appreciation,n. 欣赏，鉴别；增值；感谢
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
gloominess,n. 黑暗；沮丧
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
Homo sapiens,"na. 人；人类
 智人；现代人；克罗马侬人"
adaptable,adj. 适合的；能适应的；可修改的
flagship,n. 旗舰；（作定语）一流；佼佼者
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
willfully,adv. 故意地；任性固执地
dazzlingly,adv. 耀眼地；灿烂地
fiction,n. 小说；虚构，编造；谎言
futurologist,n. 未来学家
envisage,vt. 正视，面对；想像
publication,n. 出版；出版物；发表
considerable,adj. 相当大的；重要的，值得考虑的
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
fad,n. 时尚；一时的爱好；一时流行的狂热
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
deliberately,adv. 故意地；谨慎地；慎重地
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
verify,vt. 核实；查证
enforcement,n. 执行，实施；强制
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
statute,n.  法规；法令；条例
robust,adj. 强健的；健康的；粗野的；粗鲁的
assertion,n. 断言，声明；主张，要求；坚持；认定
invalidate,vt. 使无效；使无价值
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
exclusively,adv. 唯一地；专有地；排外地
administration,n. 管理；行政；实施；行政机构
rightly,adv. 正确地；恰当地；公正地；合适地
remarkable,adj. 卓越的；非凡的；值得注意的
flourishing,"adj. 繁荣的；繁茂的；盛行的
v. 茂盛（flourish的ing形式）"
academia,n. 学术界；学术生涯
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
agro-technological,
eradicate,vt. 根除，根绝；消灭
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
fertilizer,n.  肥料；受精媒介物；促进发展者
paraphrase,"n. 释义；解释；意译
vt. 释义"
destruction,n. 破坏，毁灭；摧毁
disciplinary,adj. 规律的；训练的；训诫的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
accumulation,n. 积聚，累积；堆积物
direction,n. 方向；指导；趋势；用法说明
climate,n. 气候；风气；思潮；风土
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
specifically,adv. 特别地；明确地
collaborative,adj. 合作的，协作的
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
speculate,"vi. 推测；投机；思索
vt. 推断"
irrepressible,adj. 抑制不住的；压服不了的
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
speak of,"na. 讲起；特别推荐说
 谈到；谈及；提到"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
turbulence,n. 骚乱，动荡； 湍流；狂暴
sacred,adj. 神的；神圣的；宗教的；庄严的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
composure,n. 镇静；沉着
discernible,adj. 可辨别的；可识别的
inarticulate,adj. 口齿不清的；说不出话的； 无关节的
intrinsic,adj. 本质的，固有的
demoralization,n. 堕落；道德败坏；士气低落
oppression,n. 压抑；镇压；压迫手段；沉闷；苦恼
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
unfeasible,adj. 难实施的，不能实行的
implicit,adj. 含蓄的；暗示的；盲从的
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
biophilia,n. 热爱生命的天性
yearning,"n. 渴望；怀念；同情
v. 渴望；向往；想念（yearn的ing形式）
adj. 向往的；渴望的；怀念的"
uncanny,adj. 神秘的；离奇的；可怕的
acquaintance,n. 熟人；相识；了解；知道
occurrence,n. 发生；出现；事件；发现
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
neuroscientist,n. 神经系统科学家
significantly,adv. 显著地；相当数量地
essentially,adv. 本质上；本来
extent,n. 程度；范围；长度
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
systematically,adv. 有系统地；有组织地
modify,"vt. 修改，修饰；更改
vi. 修改"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
exchequer,n. 财源；国库；财政部
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
complete with,"un. 配上
 连同；包括；配有"
indulgent,adj. 放纵的；宽容的；任性的
subsidise,vt. 给…津贴或补贴，资助或补助…
zeal,n. 热情；热心；热诚
claimant,n. 原告； 索赔人；提出要求者
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
psychologically,adv. 心理上地；心理学地
embarrassing,adj. 使人尴尬的；令人为难的
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
dependency,n. 属国；从属；从属物
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
falsehood,n. 说谎；假话；不真实；错误的信仰
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
unconditional,adj. 无条件的；绝对的；无限制的
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
entitlement,n. 权利；津贴
insurance,n. 保险；保险费；保险契约；赔偿金
generate,vt. 使形成；发生；生殖；产生物理反应
hostility,n. 敌意；战争行动
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
filer,n. 锉磨工人；文件编档员；文件装钉员
tort,n. 侵权行为
costly,adj. 昂贵的；代价高的
excessive,adj. 过多的，极度的；过分的
path,n. 道路；小路；轨道
the bar,
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
guild,n. 协会，行会；同业公会
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
regulator,n. 调整者；监管者；校准器
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
ethically,adv. 伦理上
liberalize,"vt. 使自由化；宽大
vi. 自由化"
string,n. 线，弦，细绳；一串，一行
lucrative,adj. 有利可图的，赚钱的；合算的
benefactor,n. 恩人；捐助者；施主
a handful of,"det. 一把；一小撮；少数
 少量的；少数的；少数几位"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
self-promotion,n. 自我推销；自促作用
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
peer review,"n. 同行评估
 同行评审；同侪审查；同行评议"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
status quo,"n. 现状；原来的状况
 维持现状；现状乐团；改变现状"
perpetuate,"vt. 使不朽；保持
adj. 长存的"
scattered,adj. 分散的；散乱的
distribute,vt. 分配；散布；分开；把…分类
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
collaborative,adj. 合作的，协作的
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
boson,n.  玻色子
legitimacy,n. 合法；合理；正统
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
gratitude,n. 感谢（的心情）；感激
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
affirm,"vt. 肯定；断言
vi. 确认；断言"
regrettably,adv. 遗憾地；抱歉地；可悲地
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
congressional,adj. 国会的；会议的；议会的
excellence,n. 优秀；美德；长处
top-tier,顶层；高层
prominent,adj. 突出的，显著的；杰出的；卓越的
admirable,adj. 令人钦佩的；极好的；值得赞扬的
presuppose,vt. 假定；预料；以…为先决条件
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
citizenry,n. 市民；公民
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
curricula,n. 课程（curriculum的复数形式）
illiberal,adj. 偏执的；吝啬的；粗鄙的；狭隘的；缺乏文化素养的
deprive,vt. 使丧失，剥夺
inquiry,n. 探究；调查；质询
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
routinely,adv. 例行公事地；老一套地
portray,vt. 描绘；扮演
self-reliance,n. 自力更生，依靠自己；自恃
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
archaeological,adj.  考古学的； 考古学上的
Parthenon,n. 帕台农神殿（希腊用以祭祀雅典娜女神的神庙）
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
megalith,n. 巨石
Stonehenge,n. 巨石阵；史前时期巨大石柱群
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
by means of,"na. 以
 用；依靠；借助于"
hominid,"n. 原始人类；人科动物
adj. 人类及其祖先的"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
settlement,n. 解决，处理； 结算；沉降；殖民
ornate,adj. 华丽的；装饰的；（文体）绚丽的
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
excavation,n. 挖掘，发掘
terrain,n.  地形，地势；领域；地带
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
radar,n.  雷达，无线电探测器
spacecraft,n.  宇宙飞船，航天器
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
pharaoh,n. 法老；暴君
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
rubble,n. 碎石，碎砖；粗石堆
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
engrave,vt. 雕刻；铭记
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
attribute,"n. 属性；特质
vt. 归属；把…归于"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
pottery,n. 陶器；陶器厂；陶器制造术
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
metal detector,"n. 金属矿藏探测器；（机场等处的）金属物品检测机
 金属探测器；金属探测仪；金属检测器"
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
mathematical,adj. 数学的，数学上的；精确的
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
exclusively,adv. 唯一地；专有地；排外地
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
principally,adv. 主要地；大部分
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
composition,n. 作文，作曲，作品； 构成；合成物；成分
hitherto,adv. 迄今；至今
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
convention,n. 大会； 惯例； 约定； 协定；习俗
harmony,n. 协调；和睦；融洽；调和
continuity,n. 连续性；一连串；分镜头剧本
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
sonata,n. 奏鸣曲
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
intensity,n. 强度；强烈； 亮度；紧张
passage,n. 一段（文章）；走廊；通路
political,adj. 政治的；党派的
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
chaos,n. 混沌，混乱
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
elevation,n. 高地；海拔；提高；崇高；正面图
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
genome,n. 基因组；染色体组
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
geneticist,n. 遗传学者
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
immunity,n. 免疫力；豁免权；免除
similarity,n. 类似；相似点
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
functional,adj. 功能的
kinship,n.  亲属关系，家属关系；亲密关系
remarkable,adj. 卓越的；非凡的；值得注意的
findings,n. 发现，调查结果；检验发现的情况（finding复数）
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
pick pace,
befriend,vt. 帮助；待人如友；扶助
extraction,n. 取出；抽出；拔出；抽出物；出身
population,n. 人口； 种群， 群体；全体居民
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
embarrassing,adj. 使人尴尬的；令人为难的
scandal,n. 丑闻；流言蜚语；诽谤；公愤
stand down,"na. 退出证人席位；暂时辞退；不在值勤中
 退下；下台；退出竞选"
monarchy,n. 君主政体；君主国；君主政治
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
majestic,adj. 庄严的；宏伟的
argument,n. 论证；论据；争吵；内容提要
polarize,"vt. （使）极化；（使）偏振；（使）两极分化
vi. 极化；偏振；两极分化"
regime,n. 政权，政体；社会制度；管理体制
embody,vt. 体现，使具体化；具体表达
transcendence,n. 超越；卓越；超然存在
infest,vt. 骚扰；寄生于；大批出没；大批滋生
absolutist,n. 绝对论者；专制主义者
counterpart,n. 副本；配对物；极相似的人或物
non-controversial,无争议的
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
symbolic,adj. 象征的；符号的；使用符号的
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
bizarre,adj. 奇异的（指态度，容貌，款式等）
aristocratic,adj. 贵族的；贵族政治的；有贵族气派的
democratic,adj. 民主的；民主政治的；大众的
strive,vi. 努力；奋斗；抗争
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
well-heeled,adj. 富有的；穿着考究的
hierarchical,adj. 分层的；等级体系的
republican,"n. 共和党人
adj. 共和党的
共和的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
assumption,n. 假定；设想；担任；采取
possession,n. 拥有；财产；领地；自制；着迷
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
assess,vt. 评定；估价；对…征税
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
recklessly,adv. 鲁莽地；不顾一切地
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
discernable,adj. 可辨别的；可认识的
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
violate,vt. 违反；侵犯，妨碍；亵渎
arrestee,n. 被捕者
correspondence,n. 通信；一致；相当
digital,"n. 数字；键
adj. 数字的；手指的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
device,n. 装置；策略；图案
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
burdensome,adj. 繁重的；累赘的；恼人的
authority,n. 权威；权力；当局
obtain,"vi. 获得；流行
vt. 获得"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
disruptive,adj. 破坏的；分裂性的；制造混乱的
novel,"adj. 新奇的；异常的
n. 小说"
explosion,n. 爆炸；爆发；激增
accessibility,n. 易接近；可亲；可以得到
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
necessity,n. 需要；必然性；必需品
specify,vt. 指定；详细说明；列举；把…列入说明书
domain,n. 领域；域名；产业；地产
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
journal,n. 日报，杂志；日记；分类账
statistical,adj. 统计的；统计学的
irreproducibility,非再生性
editorial,"n. 社论
adj. 编辑的；社论的"
scrutiny,n. 详细审查；监视；细看；选票复查
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
statistician,n. 统计学家，统计员
manuscript,"n.  手稿；原稿
adj. 手写的"
impel,vt. 推动；驱使；激励
motivate,vt. 刺激；使有动机；激发…的积极性
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
primarily,adv. 首先；主要地，根本上
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
foresight,n. 先见，远见；预见；深谋远虑
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
methodology,n. 方法学，方法论
overdue,adj. 过期的；迟到的；未兑的
biomedical,adj. 生物医学的
alarmingly,adv. 惊人地；让人担忧地
literate,"adj. 受过教育的；精通文学的
n. 学者"
verify,vt. 核实；查证
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
dearth,n. 缺乏；饥馑；粮食不足
integrity,n. 完整；正直；诚实；廉正
