precise,adj. 精确的；明确的；严格的
educate,"vt. 教育；培养；训练
vi. 教育；训练"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
majority,n. 多数；成年
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
get-together,n. 聚会，联欢会
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
self-service,"n. 自助； 自我服务；自助式销售
adj. 自选的；顾客自理的"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
vital,adj. 至关重要的；生死攸关的；有活力的
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
detective,"n. 侦探
adj. 侦探的"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
intention,n. 意图；目的；意向；愈合
introduction,n. 介绍；引进；采用；入门；传入
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
ankle,n. 踝关节，踝
well-known,adj. 著名的；众所周知的；清楚明白的
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
tolerate,vt. 忍受；默许；宽恕
comfortable,"n. 盖被
adj. 舒适的，舒服的"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
vain,adj. 徒劳的；自负的；无结果的；无用的
radiation,n. 辐射；发光；放射物
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
ancestor,n. 始祖，祖先；被继承人
depth,n.  深度；深奥
visual,adj. 视觉的，视力的；栩栩如生的
strength,n. 力量；力气；兵力；长处
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
various,adj. 各种各样的；多方面的
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
edition,"n. 版本
版次
集"
distribute,vt. 分配；散布；分开；把…分类
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
spoken,"v. 说（speak的过去分词）
adj. 口语的，口头的"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
tournament,n. 锦标赛，联赛；比赛
punishment,n. 惩罚；严厉对待，虐待
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
ambulance,n.  救护车；战时流动医院
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
dam,"n.  水坝；障碍
v. 控制；筑坝"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
situation,n. 情况；形势；处境；位置
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
cupboard,n. 碗柜；食橱
rid,vt. 使摆脱；使去掉
sacred,adj. 神的；神圣的；宗教的；庄严的
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
policy,n. 政策，方针；保险单
oilfield,n. 油田
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
adolescence,n. 青春期
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
marriage,n. 结婚；婚姻生活；密切结合，合并
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
disappoint,vt. 使失望
possession,n. 拥有；财产；领地；自制；着迷
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
polish,
receiver,n. 接收器；接受者；收信机；收款员，接待者
departure,n. 离开；出发；违背
origin,n. 起源；原点；出身；开端
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
receptionist,n. 接待员；传达员
unable,adj. 不会的，不能的； 无能力的；不能胜任的
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
forbid,vt. 禁止；不准；不允许；严禁
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
justice,n. 司法，法律制裁；正义；法官，审判员
refreshment,n. 点心；起提神作用的东西；精力恢复
apparent,adj. 显然的；表面上的
furnished,"v. 供应；装备（furnish的过去分词）
adj. 家具，有家具的"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
correction,n. 改正，修正
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
alley,n. 小巷；小路；小径
chopstick,n. 筷子
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
medal,n. 勋章，奖章；纪念章
profession,n. 职业，专业；声明，宣布，表白
enjoy,vt. 欣赏，享受；喜爱；使过得快活
unbearable,adj. 难以忍受的；承受不住的
engine,n. 引擎，发动机；机车，火车头；工具
concept,n. 观念，概念
ending,n. 结局；结尾
punctuate,"vt. 不时打断；强调；加标点于
vi. 加标点"
shortcoming,n. 缺点；短处
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
tendency,n. 倾向，趋势；癖好
headteacher,n. 中小学的校长
powerful,"adj. 强大的；强有力的
adv. 很；非常"
entertainment,n. 娱乐；消遣；款待
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
disadvantage,n. 缺点；不利条件；损失
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
neighbourhood,n. 邻近；周围；邻居关系；附近一带
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
smog,n. 烟雾
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
terrify,vt. 恐吓；使恐怖；使害怕
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
bridegroom,n. 新郎
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
conservation,n. 保存，保持；保护
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
disaster,n. 灾难，灾祸；不幸
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
judgement,n. 意见；判断力； 审判；评价
merciful,adj. 仁慈的；慈悲的；宽容的
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
friction,n. 摩擦， 摩擦力
hardship,n. 困苦；苦难；艰难险阻
instruction,n. 指令，命令；指示；教导；用法说明
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
several,"adj. 几个的；各自的
pron. 几个；数个"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
dilemma,n. 困境；进退两难；两刀论法
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
prohibit,vt. 阻止，禁止
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
illness,n. 病；疾病
opinion,n. 意见；主张
adjustment,n. 调整，调节；调节器
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
considerate,adj. 体贴的；体谅的；考虑周到的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
skillful,adj. 熟练的；巧妙的
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
athletic,adj. 运动的，运动员的；体格健壮的
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
organ,n.  器官；机构；风琴；管风琴；嗓音
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
tiresome,adj. 烦人的，无聊的；令人讨厌的
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
highway,n. 公路，大路；捷径
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
zipper,  齐珀
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
liberty,n. 自由；许可；冒失
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
ache,"n. 疼痛
vi. 疼痛；渴望"
possibility,n. 可能性；可能发生的事物
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
architecture,n. 建筑学；建筑风格；建筑式样；架构
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
timetable,n. 时间表；时刻表；课程表
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
optimistic,adj. 乐观的；乐观主义的
thorough,adj. 彻底的；十分的；周密的
headmistress,n. 女校长
dentist,"n. 牙科医生
牙医诊所"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
superb,adj. 极好的；华丽的；宏伟的
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
juicy,adj. 多汁的；利润多的；生动的
apartment,n. 公寓；房间
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
consist,vi. 由…组成；在于；符合
actual,adj. 真实的，实际的；现行的，目前的
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
consistent,adj. 始终如一的，一致的；坚持的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
adequate,adj. 充足的；适当的；胜任的
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
semicircle,n. 半圆，半圆形
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
skilled,adj. 熟练的；有技能的；需要技能的
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
workmate,n. 同事；工友
explorer,n. 探险家；勘探者；探测器；探针
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
restrict,vt. 限制；约束；限定
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
reviewer,n. 评论者，评论家
audience,n. 观众；听众；读者；接见；正式会见；拜会
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
journalist,n. 新闻工作者；报人；记日志者
energy,n.  能量；精力；活力；精神
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
committee,n. 委员会
eventually,adv. 最后，终于
salad,n. 色拉；尤指莴苣
drawback,n. 缺点，不利条件；退税
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
knowledge,n. 知识，学问；知道，认识；学科
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
convenient,adj. 方便的；适当的；近便的；实用的
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
scenery,n. 风景；景色；舞台布景
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
founding,"n.  铸造；溶解
adj. 创办的；发起的
v.  铸造；建造；以…为基础（found的ing形式）"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
discrimination,n. 歧视；区别，辨别；识别力
disgusting,"adj. 令人厌恶的
令人极不能接受的"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
fragrant,adj. 芳香的；愉快的
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
legal,adj. 法律的；合法的；法定的；依照法律的
flaming,"adj. 燃烧的；火红的；激昂的
v. 燃烧；变亮；发光（flame的ing形式）"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
psychology,n. 心理学；心理状态
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
excellent,adj. 卓越的；极好的；杰出的
amuse,vt. 娱乐；消遣；使发笑；使愉快
intend,"vi. 有打算
vt. 打算；想要；意指"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
editor,n. 编者，编辑；社论撰写人；编辑装置
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
phenomenon,n. 现象；奇迹；杰出的人才
daylight,n. 白天；日光；黎明；公开
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
embarrass,vt. 使局促不安；使困窘；阻碍
proud,adj. 自豪的；得意的；自负的
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
greedy,adj. 贪婪的；贪吃的；渴望的
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
discovery,n. 发现，发觉；被发现的事物
manner,n. 方式；习惯；种类；规矩；风俗
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
ambassador,n. 大使；代表；使节
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
mutton,n. 羊肉
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
aircraft,n. 飞机，航空器
eager,adj. 渴望的；热切的；热心的
memory,n. 记忆，记忆力；内存， 存储器；回忆
punctuation,n. 标点；标点符号
disagreement,n. 不一致；争论；意见不同
belief,n. 相信，信赖；信仰；教义
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
procedure,n. 程序，手续；步骤
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
dusty,adj. 落满灰尘的
republic,n. 共和国；共和政体
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
astronaut,n. 宇航员，航天员；太空旅行者
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
identification,n. 鉴定，识别；认同；身份证明
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
invitation,n. 邀请；引诱；请帖；邀请函
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
