visitor,n. 访问者，参观者；视察者；候鸟
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
pupil,n. 学生； 瞳孔；未成年人
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
be similar to,"na. 像
 与…相似；和……相似；类似"
chewing gum,"n. 口香糖
 香口胶；嚼口香糖；橡皮糖"
audio-visual,adj. 视听的；视听教学的
linear,adj. 线的，线型的；直线的，线状的；长度的
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
expose,vt. 揭露，揭发；使曝光；显示
explanation,n. 说明，解释；辩解
fundamentally,adv. 根本地，从根本上；基础地
attitude,n. 态度；看法；意见；姿势
error,n. 误差；错误；过失
avoid,vt. 避免；避开，躲避；消除
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
conventional,adj. 符合习俗的，传统的；常见的；惯例的
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
skillful,adj. 熟练的；巧妙的
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
responsible,adj. 负责的，可靠的；有责任的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
role,n. 角色；任务
liberate,vt. 解放；放出；释放
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
enable,vt. 使能够，使成为可能；授予权利或方法
devote to,"v. 把…贡献给
 致力于；献身于；把……献给"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
imply,vt. 意味；暗示；隐含
neighborhood,n. 附近；街坊；接近；街区
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
travel agency,"n. 旅行社
 旅游公司；旅行代理店；中国旅行社"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
scholarship,n. 奖学金；学识，学问
tuition,n. 学费；讲授
facility,n. 设施；设备；容易；灵巧
operating,"adj. 操作的； 外科手术的
v. 操作（operate的ing形式）；动手术"
resource,n. 资源，财力；办法；智谋
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
humanities,n. 人文学科（humanity的复数 ）
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
circulation,n. 流通，传播；循环；发行量
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
microfilm,"vt. 缩微拍摄
vi. 缩微拍摄
n. 缩微胶卷"
multimedia,"n. 多媒体
adj. 多媒体的"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
fee,"n. 费用；酬金；小费
vt. 付费给……"
overdue,adj. 过期的；迟到的；未兑的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
functional,adj. 功能的
skill,n. 技能，技巧；本领，技术
intensively,adv. 强烈地；集中地
instruction,n. 指令，命令；指示；教导；用法说明
composition,n. 作文，作曲，作品； 构成；合成物；成分
literacy,n. 读写能力；精通文学
deadline,n. 截止期限，最后期限
semester,n. 学期；半年
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
indicate,vt. 表明；指出；预示；象征
embassy,n. 大使馆；大使馆全体人员
republic,n. 共和国；共和政体
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
web site,
in addition to,"na. 加之
 除…之外；除了；除…外"
non-refundable,adj. 不可退款的
sponsorship,n. 赞助；发起；保证人的地位；教父母身份
financially,adv. 财政上；金融上
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sufficient,adj. 足够的；充分的
fund,"n. 基金；资金；存款
vt. 投资；资助"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
fax,
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
orientation,n. 方向；定向；适应；情况介绍；向东方
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
global,adj. 全球的；总体的；球形的
involve,vt. 包含；牵涉；使陷于；潜心于
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
overview,n.  综述；概观
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
assignment,n. 分配；任务；作业；功课
mentor,"n. 指导者，良师益友
vt. 指导"
aspect,n. 方面；方向；形势；外貌
literature,n. 文学；文献；文艺；著作
proposal,n. 提议，建议；求婚
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
selection,n. 选择，挑选；选集；精选品
approximately,adv. 大约，近似地；近于
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
competitive,adj. 竞争的；比赛的；求胜心切的
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
notify,vt. 通告，通知；公布
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
distribute,vt. 分配；散布；分开；把…分类
evenly,adv. 均匀地；平衡地；平坦地；平等地
stipend,n. 奖学金；固定薪金；定期津贴；养老金
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
freshman,n. 新手，生手；大学一年级学生
encourage,vt. 鼓励，怂恿；激励；支持
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
electronically,adv. 电子地
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
transcript,n. 成绩单；抄本，副本；文字记录
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
stair,n. 楼梯，阶梯；梯级
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
shelf,n. 架子；搁板；搁板状物；暗礁
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
beside,prep. 在旁边；与…相比；和…无关
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
kilo,n. 千克
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
symptom,n.  症状；征兆
ache,"n. 疼痛
vi. 疼痛；渴望"
aspirin,n. 阿司匹林（解热镇痛药）
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
substance,n. 物质；实质；资产；主旨
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
indirectly,adv. 间接地；不诚实；迂回地
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
locomotion,n. 运动；移动；旅行
consequently,adv. 因此；结果；所以
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
stimulus,n. 刺激；激励；刺激物
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extremity,n. 极端；绝境；非常手段；手足
diverse,adj. 不同的；多种多样的；变化多的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
whereas,conj. 然而；鉴于；反之
agriculture,n. 农业；农耕；农业生产；农艺，农学
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
conservation,n. 保存，保持；保护
windbreak,n. 防风林；防风墙；防风物
destroy,vt. 破坏；消灭；毁坏
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
violent,adj. 暴力的；猛烈的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
height,n. 高地；高度；身高；顶点
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
technical,adj. 工艺的，科技的；技术上的；专门的
assistance,n. 援助，帮助；辅助设备
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
combination,n. 结合；组合；联合； 化合
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
pollution,"n. 污染
污染物"
dangerous,"adj. 危险的
危险地"
situation,n. 情况；形势；处境；位置
safety,n. 安全；保险；安全设备；保险装置；安打
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
climate,n. 气候；风气；思潮；风土
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
critic,n. 批评家，评论家；爱挑剔的人
smog,n. 烟雾
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
administration,n. 管理；行政；实施；行政机构
requirement,n. 要求；必要条件；必需品
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
necklace,n. 项链
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
spectrum,n. 光谱；频谱；范围；余象
purity,n.  纯度；纯洁；纯净；纯粹
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
sailor,n. 水手，海员；乘船者
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
magnet,n. 磁铁； 磁体；磁石
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
psychology,n. 心理学；心理状态
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
gorgeous,adj. 华丽的，灿烂的；极好的
precious,adj. 宝贵的；珍贵的；矫揉造作的
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
maroon,"n. 褐红色；逃亡黑人奴隶；孤立的人
v. 使孤立；放逐到无人岛上
adj. 褐红色的"
burgundy,
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
royalty,n. 皇室；版税；王权；专利税
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
speech,n. 演讲；讲话； 语音；演说
disability,n. 残疾；无能；无资格；不利条件
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
chronic,adj. 慢性的；长期的；习惯性的
impairment,n. 损伤，损害
maintain,vt. 维持；继续；维修；主张；供养
affiliation,n. 友好关系；加入；联盟；从属关系
status,n. 地位；状态；情形；重要身份
member,n. 成员；会员；议员
establish,"vi. 植物定植
vt. 建立；创办；安置"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
interdisciplinary,adj. 各学科间的；跨学科的
humanistic,adj. 人文主义的；人道主义的
scholar,n. 学者；奖学金获得者
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
substantive,"n. 名词性实词；独立存在的实体
adj. 有实质的；大量的；真实的；独立存在的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
theoretical,adj. 理论的；理论上的；假设的；推理的
practical,adj. 实际的；实用性的
knowledge,n. 知识，学问；知道，认识；学科
sociology,n. 社会学；群体生态学
compete,vi. 竞争；比赛；对抗
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
competition,n. 竞争；比赛，竞赛
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
instance,"n. 实例；情况；建议
vt. 举...为例"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
eventually,adv. 最后，终于
pointless,adj. 无意义的；钝的；不尖的；不得要领的
anxiously,adv. 不安地，忧虑地
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
victory,n. 胜利；成功；克服
ethology,n. 动物行动学；道德体系学；个体生态学
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
civilization,n. 文明；文化
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
genetic,adj. 遗传的；基因的；起源的
analysis,n. 分析；分解；验定
inhabitant,n. 居民；居住者
gene,n.  基因，遗传因子
emigrate,"vi. 移居；移居外国
vt. 移民"
en masse,"adv. 一起；全体
 全体地；一同地；大批"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
hunter,n. 猎人；猎犬；搜寻者
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
archaeologist,n. 考古学家
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
trait,n. 特性，特点；品质；少许
archaeological,adj.  考古学的； 考古学上的
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
cultural,adj. 文化的；教养的
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
simplistic,adj. 过分简单化的；过分单纯化的
statistical,adj. 统计的；统计学的
data,n. 数据（datum的复数）；资料
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
march,n. 三月
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
author,"n. 作者；作家；创始人
vt. 创作出版"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
generate,vt. 使形成；发生；生殖；产生物理反应
migration,n. 迁移；移民；移动
pajamas,n. 睡衣；宽长裤
homework,n. 家庭作业，课外作业
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
tongue twister,"na. 绕口令
 英语绕口令；拗口令；绕口令比赛"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
private school,"n. 私立学校
 私塾；民办学校；私立中小学"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
nerve-racking,adj. 伤脑筋的；使人心烦的
midtown,"n. 市中心区；商业区和住宅区的中间地区
adj. 市中心区的；位于市中心区的"
New Yorker,"n. 纽约市人
 纽约客；纽约人；纽约客杂志"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
Frisbee,
soccer,n. 英式足球，足球
skateboard,"n. 溜冰板
vi. 用滑板滑行"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
courage,n. 勇气；胆量
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
bonfire,n. 篝火；营火
toward,"prep. 向；对于；为了；接近
adj. 即将来到的，进行中的"
schoolmate,n. 同学；同窗
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
memory,n. 记忆，记忆力；内存， 存储器；回忆
fairly,adv. 相当地；公平地；简直
village,n. 村庄；村民；（动物的）群落
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
flicker,"n. 闪烁；闪光；电影
vi. 闪烁；摇曳；颤动；扑动翅膀；假装昏倒
vt. 使闪烁；使摇曳"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
in one's mind, 牢记某事；在某人的脑海里；脑海中
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
one by one,"na. 一个一个；一个一个地
 一个接一个；一个接一个地；一个接着一个"
unusual,adj. 不寻常的；与众不同的；不平常的
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
ourselves,pron. 我们自己；我们亲自
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
hillside,n. 山坡，山腹；山腰
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
be covered, 覆盖；被盖满；被遮蔽
valley,n. 山谷；流域；溪谷
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
contentment,n. 满足；满意
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
meanwhile,"adv. 同时，其间
n. 其间，其时"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
decoration,n. 装饰，装潢；装饰品；奖章
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
have trouble with,"v. 同某人发生纠纷
 同…闹纠纷；在……方面有麻烦；有病痛"
boat,"n. 小船；轮船
vi. 划船"
deserve,"vi. 应受，应得
vt. 应受，应得"
seasick,"adj. 晕船的
晕船"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
get over,"na. 同“get across”
 克服；恢复；越过"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
lotion,n. 洗液；洗涤剂
