border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mower,n. 割草机；割草的人
nope,adv. 不是，没有；不
obviously,"adv. 明显地
显然地"
oddball,"adj. 古怪的；奇怪的
n. 古怪；古怪的人"
persistently,adv. 坚持地；固执地
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
polish,
porch,n. 门廊；走廊
reaction,n. 反应，感应；反动，复古；反作用
reluctantly,adv. 不情愿地；嫌恶地
residential,adj. 住宅的；与居住有关的
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
rooftop,"n. 屋顶
adj. 屋顶上的"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
self-appointed,adj. 自封的；自己作主的
shotgun,"n. 霰弹猎枪
adj. 猎枪的；被迫的
vt. 用猎枪射击；强迫
vi. 用猎枪射击"
shrill,"n. 尖叫声
adv. 尖锐地
vi. 尖声喊叫
vt. 尖声喊出
adj. 尖锐的；刺耳的"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
speechless,adj. 说不出话的；哑的；非言语所能表达的
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
straighten,"vt. 整顿；使…改正；使…挺直；使…好转
vi. 变直；好转"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
timid,adj. 胆小的；羞怯的
tremendous,adj. 极大的，巨大的；惊人的；极好的
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
widen,"vt. 放宽
vi. 变宽"
Who Shall Dwell?,
harnesses,"n. 吊带；马具（harness的复数形式）
v. 给…上挽具；利用…产生动力（harness的第三人称单数形式）"
bomb alert, = bomb scare
verified alert,
take cover,"na. 躲避；利用掩护物；隐蔽
 找掩护；躲藏；以…为掩护"
loathing,"n. 嫌恶
adj. 厌恶的
vt. 讨厌（loathe的ing形式）"
square away,"na. 准备停当；扬帆顺风驶行；(拳击中)摆好架势
 整理好；摆好姿势；迎风扬帆"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
showdown,n. 摊牌；紧要关头；最后一决胜负
religious pap,
pap,n. 半流质食物；奶头；软食
thy,pron. 你的
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
the ark,"n. 诺亚方舟（诺亚为家人及一对对各种动物避洪水所造的大船）
 约柜；方舟浩劫；漂浮酒店方舟"
his voice took on a new sad sureness,
babble incoherently,
blasting them into eternity,
a blade of, 一片；一颗
a couple of,"det. 一对
 几个；两个；两三个"
a flash of light,
a glass of,"det. 一杯
 一玻璃杯；表示一杯用；一杯的"
a gust of wind,"na. 一阵风
 一阵狂风；一股风；一阵大风"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
a little,"n. 一点
 一些；少许；有点"
a matter of,"na. 大约；…左右；…的问题
 几的事；是个…问题，事关；关于……的问题"
a pair of,"det. 一双
 一对；一副；一双的"
a piece of cloth, 一块布；一块布料；巾
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
a square yard of,
a strip of land,
after a moment,
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
all along,"na. 一直都；一路；始终；一贯
 自始至终；自始自终；一向"
all by itself,
all for the best,(尽管表面看起来不尽如意)(完全)出于好意；(虽然初时不妙)终于(十分)圆满了结，(虽说初始不好)终于有(很)好的结果；最佳办法，最好意见，顶好东西
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
all over the floor,
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
along with the cows,
alongside of sb.,
an armful of,
arm in arm,"na. 臂挽着臂
 臂挽臂；手挽手；手挽手地"
around here,"na. 在这边
 在这附近；在这周围；在这一带"
as a matter of course,"na. “a matter of course”的变体
 自然地；当然；理所当然的"
as busy as a squirrel,
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
as for,"na. 至于
 关于；就…而言；对于"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as long as,"conj. 只要
 长达；如果；既然"
as much as possible, 尽量；尽可能多；尽可能多的
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
at dawn,"na. 天一亮
 在黎明；破晓时分；拂晓时"
at first,"na. 首先
 起先；最初；起初"
at great length,"na. 啰啰唆唆地
 洋洋洒洒；细致地；冗长地"
at heart,"na. 内心里
 本质上；在内心里；实质上"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
at knifepoint,"na. 在(刀尖)威胁下
 在威胁下；在刀口下；法院院长在加勒比被"
at last,"na. 终于
 最后；最终；终於"
at least,"na. 至少
 最低限度；起码；最少"
at once,"na. 立刻；同时
 马上；立即；即刻"
at such times,
at that moment, 在那时；就在那一刻；在那一瞬间
at the edge of,"un. 稍稍地移动；在…的一侧
 在…的边缘；在……边缘；在…边上"
at the foot of,"prep. 在…的下部
 在……脚下；在…的脚下；在山脚下"
at the time, 当时；在那时；在那个时候
be able to,"v. 能够
 会；有能力做某事；强调有能力"
be above suspicion, 不被怀疑
be afraid of,"na. 怕
 害怕；害怕某物；害怕某事"
be all set to,
be an alternative to,
be astonished at,对…感到震惊
be at peace with,"v. 和…和平相处
 与……和睦相处；和…和平共处"
be at the wheel,
be aware of,"na. 知道
 意识到；觉察；了解"
be behind bars,"vi.在监狱中,在牢房里"
be capable of,"v. 能够承担
 有能力；有能力干；有能力做"
be careful of,"na. 留意
 当心；注意；当心…对…仔细"
be conscious of,"na. 意识到
 察觉；知道；觉察"
be convinced, 信服；相信；为人所信服
be dear to sb.,
be determined to,"v. 决心
 下定决心；执意；下决心"
be devoted to,"v. 献身于
 致力于；奉献于；专心于"
be different from,"na. 和…不同
 和……不同；不同于；与……不同"
be drugged,
be employed,"na. 被雇；从事
 受雇；被就业；受人雇用"
be empty of,"na. 无
 缺少；没有；缺乏"
be executed, 伏诛；伏法；被处以极刑
be filled with, 充满；装满；充满着
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
be full of,"na. 充满…(的)
 充满了；装满；充满他"
be good for,"na. 值…
 对…有好处；对……有益；对…有作用"
be grateful to,"v. 感谢
 感激；对某人心存感激；对…心存感激"
be in deep trouble,
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
be irritated,
be late in coming,
be left alone,
be lined with gardens,
street be lined with gardens,
be marked off,
be next to, 紧邻；挨；毗连
be on duty,"v. 当班
 值班；上班；旧时指值班守夜"
be out of gas,油用完了
be over and gone,
be planted with trees,
fields be planted with trees,
be ready to, 准备好；准备做某事；预备
be satisfied,"na. 满足；欢喜；深信
 满意；惬怀；惬意"
be scared of, 害怕；害怕某物；害怕的
be set with small diamonds,
be shot, 被射死；枪决；开枪打死
be something of a ...,
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
be sure of,"na. 确信
 对……有把握；确定；深信"
be surprised at,"v. 惊奇
 对……感到惊奇；对……感到惊讶；对某事感到惊奇"
be surrounded by,"na. 被…环绕着
 被……所包围；被……环绕；被...环绕着"
be the way with sb.,
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
because of,"na. 因
 因为；由于；由于，因为"
before long,"na. 不久；不(需很)久
 不久以后；很快；不久之后"
between morning and sunset,
black with anger,
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
by that time, 到那时；到那个时候；等到那时候
by the roadside,prep.在路旁
compared to,"un. 比拟
 与……相比；和……相比较；比作"
could not help doing sth.,
day after day,"na. 天天；一天又一天
 日复一日；日复一日地；一天一天的"
down the corridor,
either ... or ...,
ever since,"na. 从…以来
 从那时起；自从；此后一直"
even if,"na. 即使…也
 纵然；就算；甚至"
except for,"na. 只有
 除了；除…之外；除了……之外"
for a long time,"adv. 长时间；长久
 很长时间；很久；很长一段时间"
for a time,"na. 暂时
 一度；一时；一段时间"
for ages,"na. 久远
 很久；很长时间；好久"
for life,"na. 终身；为逃命
 终生；一生；为了生命"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
for show,"na. 为夸示
 为装门面；表演；骑自行车办公"
for some time,"na. 有一些时候
 有一段时间；一会儿；一时"
for the first time,"na. 第一次
 首次；初次；从第一次开始"
for want of,"na. 因缺少…
 因缺乏；因为缺乏；短缺"
for years,"na. 好几年
 好多年；多年以来；多年来"
from across the street,
from coast to coast, 从一个海岸到另一个海岸；全国各地；海岸送到另一海岸
from the Pacific to the Atlantic,
from morning till dusk,
from outer space,
from the beginning of,
from the distance,
from the first moments,
from time to time,"na. 时时
 有时；不时；不时地"
had better,"na. 最好；最好…
 应该；最好还是；还是…好"
'd better, 最好是；其后加不带；更好的
had better not,"na. 最好不要
 最好做某事；动词原形；最好别做"
'd better not,
happen to be,"v. 正好是
 碰巧是；恰巧；恰巧是"
happen to do, 碰巧做某事；碰巧干某事；碰巧发生某事
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
 只好；必须得；表示客观上不得不做某事"
here and there,"na. 到处；零零落落
 各处；处处；这儿那儿"
how about, 怎么样；如何；怎麽样
hundreds of,"na. 好几百
 数以百计的；成百上千；成百上千的"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
in a certain way, 在某种意义上；以某种方式
in a daze,"adv. 迷迷糊糊
 发呆；茫然；很迷茫"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
in addition,"na. 加之
 另外；此外；又"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
in existence,"na. 现存的；存在的
 播放存在；已存在的；存在着"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in front,"na. 在前方；在人注意的地方
 前面；物体的正面，前面；在正对面"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
in half a day,
in infancy,prep.在萌芽状态
in low tones,
in my day, 在我那个年代；在我那个年代里；遥想当年
in need, 在危难中；需要帮助的；在困难时
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
in rags,"na. 成碎片；穿着破衣服
 衣衫褴褛；衣衫褴褛的；穿着破烂"
in relation to,"na. 关于…
 涉及；有关；与…相比"
in reply,"na. 为答复…；作为…的答复
 回答；兹答复；作为答复"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
in some way, 以某种方式；在某种程度上；在某种意义上
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；无掩护的
 在流行中；在传播中；悬而未决"
in the first place,"na. 首先；第一
 起初；原先；第一点"
in the middle of,"na. 正在…当中；在…的中途；在…的中央；在…的中部
 在……中间；在……的中间；在...的中途"
in the old days,"un. 得意的日子；从前
 旧社会；过去；过去的日子里"
in the shade,"na. 在阴处；在树阴下；在暗处；没落
 在阴凉处；在荫凉处；背阴"
in this age,
in turn,"na. 挨次
 依次；轮流；反过来"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
keep ... from doing sth.,
let loose,"na. 释放；放任；放走
 放开；放松；放出"
let loose a plague,
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
make sure of,"na. 弄明白；将…拿到手；叮嘱明白；查明无误
 弄清楚；尽力做到；一定要"
might as well,"na. 不如
 不妨；倒不如；最好"
neither ... nor, 既不……也不；两者都不；均不
night after night,"adv. 夜夜
 一夜又一夜地；一夜连着一夜；夜复一夜"
no longer,"na. 不再
 已不；再也；再也不"
no matter what,"na. 不管怎什么
 无论如何；无论什么；不管什么"
no other ... but,
not at all,"na. 毫无(= You are welcome)
 一点也不；不用谢；根本不"
"not only ... but ..., too",
nothing but,"na. 不外；的确
 只有；只不过；只是"
nothing of the sort,"na. 根本没有那种事情
 一点也不是；根本没有那样的事情；没有的事"
now and then, 偶尔；时而；不时
now that,"na. 由于
 既然；既然已；现在已经"
on a patch of earth,
on and off,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
 断断续续地；开和关；断断续续的"
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
on one's part,"na. 就某人方面；就…而言；由…表现出来的；由…所作出的
 就...而言；代表；对某人而言"
on one's way,"un. 无法；在路上；快要出头了
 在途中；在去……的路上；在……的路上"
on the beat,"na. 合拍子；在巡逻中
 民警故事；跟随旋律；合于节奏"
on the case, 民警出警；诉讼；令状
on the corner,"na. 失业
 在拐角处；在街角；在转角处"
on the farm, 在农场；在农场上；在农场里
on the lawn,
on the sixth floor,
on the slope,
on the stove,
on the surface,"na. 表面上
 外表上；在表面上；表面上的"
on the top,"na. 在上；在(双层公共车辆的)顶座；成功；占优势
 在顶部；在上面；在顶端"
on time,"na. 按时；及时
 准时；正点；准时地"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
once more,"na. 再一次；“once again/more”的变体
 又一次；再次；再来一次"
once or twice,"na. 一两次
 我误入歧途；只有一两次而已；一次或两次"
only if,"conj. 只有当
 只要；除非；只要…就"
or something,"na. 大概是…之类的
 或什么的；诸如此类的什么；或是什么的"
plenty of,"na. 很多的
 许多；大量的；充足的"
right away,"na. 立刻
 马上；立即；立即，马上"
right over there,
see if, 看看是否；句子看看是否；后接
so that,"conj. 因此；以便
 为了；以致；以便于"
something's wrong with,
the next day, 第二天；下一天；次日
the other day,"na. 上回
 前几天；几天前；几天以前"
through trial and error,通过试错
too ... to ...,
twenty years ago tonight,
under arrest,"adv. 逮捕起来；禁闭
 被捕；被逮捕；被捕的"
under normal circumstances,
upon one's word,
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
wild with anger,
with the air of,
year after year,"adv. 年复一年
 年年；一年又一年；每年"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
aim at,"v. 目的在于
 瞄准；针对；旨在"
appeal to him,
arrive at,"v. 到达；得出
 抵达；达成；达到"
ask for permission,"na. 请求许可
 征求许可；请求允许；征求对方许可"
back away,"v. 后退；退让；退缩
 逐渐后退；为了让出地方而后退；由于害怕而后退"
barter for,v. 以…作物物交换
belong to,"v. 属于；附属
 归于；归属；属於"
bend down,"na. 弯下身来
 弯腰；弯下腰；俯身"
block off,"v. 挡住
 封堵；堵住；封锁"
blow itself out,"na. (风)停
 炸毁"
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring ... back to health,
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
bump against,"un. 邂逅相遇；撞
 同本义；撞击；撞到"
burst into tears,"na. 突然哭起来
 放声大哭；突然大哭；突然大哭起来"
burst with love,
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
 大声叫喊；唤起；出动"
came up to sb.,
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
change into,"na. 变成；改穿
 把……变成；变为；转换成"
chase out,
check out on,
check with,"na. 与…相符合
 与...相符合；与…一致；商议"
circle to one's right,
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
clutch sb. in a great hug,
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
come into focus, 轮廓明显，清晰；突出；明白易懂
come into view, 进入视野；映入眼帘；应入眼帘
come over,"na. 渡过来；(从敌方)过来；变挂；欺骗
 顺便来访；从远方来；走过来"
come to a halt,"na. 停止
 停顿；停住；陷入停顿"
come to think of it,"na. 这样一想
 细想一下；我想起来了；回头想起"
come up to sb.,
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
complain of,"v. 抱怨；叫屈
 主诉；诉苦；埋怨"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
creep up,"un. 流遍；漫上；悄悄迫近
 蠕升；慢慢地爬上；渗上来"
creep up,"un. 流遍；漫上；悄悄迫近
 蠕升；慢慢地爬上；渗上来"
cut in half,"na. 切成两半
 切半；减半"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
cut out a garden,
cut through a place,
dance to the music, 随着音乐跳舞；伴随着音乐跳舞；伴着音乐跳舞
dawn on sb.,
deal in,"na. 买卖(货物)；办理；经营
 经销；参与；做……买卖，出售"
demand for,"un. 需要
 对……的需求；对…的要求；对……需求"
depend on,"v. 依靠
 依赖；取决于；视……而定"
disappear to, 逃避到
drift down,"un. 姗姗离去；随波逐流而去；在巡航中下降；漂降
 飘降"
drive away,"v. 赶走
 开走；把车开走；离开"
drive back," 驾车返回, 驱车返回; 迫使后退; 逐退; 却"
drive by,"adj. 草率从事的
n. 飞车射击
v. 飞车而过(开枪射击)
 路过；驾车扫荡；开车路过"
drive off,"v. 驱散
 赶走；击退；开走"
eat up alive,
fall back,"na. 后退；下降；减少
 撤退；回落；退后"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
fall into the gutter,
fall to silent brooding,
fan it to life,
feel a pity for,
feel bad about,"na. 为…感到懊悔
 抱歉；为……感到难受；对某事感到难过"
feel for sb.,
fill up,"na. 同“fill”
 装满；填补；填满"
fill with tears,
find out about, 弄清有关……的情况；找到关于某事的一些信息；调查关于
fool around,"na. “fool about”的变体
 闲荡；鬼混；吊儿郎当"
form people into,
gaze at,"v. 凝视；注视
 盯着；盯住；审视"
get it all out,
get on with one's work,
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
get to,"na. 接触到；开始；收买
 到达；表示到达；找到"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give rise to,"na. 惹起
 引起；导致；使发生"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
glance at,"v. 看一下；浏览
 扫视；一瞥；匆匆一瞥"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
go downtown,"na. 去商业区
 到市区去；去市中心；去市区"
go on with,"v. 继续
 继续做；继续某种行为；继续某事"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
grow out of the earth,
grow up,"na. 长大
 成长；长大成人；成年"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
head out across the ice,
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
hear of,"na. 听说；获悉；收到…的消息；知道
 听到；听说过；得悉"
help with,"v. 帮助
 帮助做；帮助做某事；帮忙某人做"
hold sb. in one's arms,
hold sth. up in the sun,
hurry towards,
jump into bed,
keep one's eye on,照看，照管，照顾；密切注视，监视；注意；留神
keep sb. at his work.,
keep watch on, 监视；引申为从上监视着；进步警戒
kneel down,"v. 下跪
 跪下；跪倒；罚跪"
know of,"v. 知道有
 听说过；了解；知道为什么"
land on,"na. 批评
 登陆；降落；降落于"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
laugh to oneself,
lean on,"na. 靠在；倚赖；据险(固守)
 依靠；依赖；倚靠"
leap about,来回跳着
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
let it go by,
let out a cry,
let up,"na. 中止；(风雨等)减弱
 停止；减小；渐渐停止"
linger on,"na. 同“linger ”
 流连忘返；苟延残喘；继续逗留"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
look around,"na. 看起来好像；环视
 环顾四周；朝四周看；东张西望"
look as if,"v. 似乎
 看起来似乎；看起来好像；看起来好象"
look at,"na. 看；考虑
 看着；注视；瞧"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
look from face to face,
look into,"na. 窥视；调查；过问
 研究；检查；了解"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
lose track of,"na. 忘记
 失去线索；失去联系；失去消息"
make a man out of sb.,
make it up,"na. 和解
 不记前嫌；不计前嫌；讲和"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
melt into,"na. 熔成…；消散于…；因心软而…
 化为；溶解成；消散在…中"
move in,"v. 搬进；迁入
 搬进来；搬入；向内投"
move in on sb.,
occur to, 想到；被想起；被想到
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
play on one's face,
play on one's face,
play upon a musical instrument,
plow sth. under,
plug in,"v. 插入；插插头；插上
 插件；连接；插上电源"
point a finger at,"v. 指明
 指责；公开指责"
point to,"v. 指向；针对
 指着；表明；指出"
poke one's head around,
pour out the wine,
prepare for, 准备；为…作准备；为…做准备
protest to sb.,
provide with,"v. 供给；供应
 提供；给…提供；以…装备"
pull away the cover,
pull off one's clothes,
pull on clothes,
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；把(车)靠拢路边
 靠边停车；开到路边；路边停车"
pull to,"vt.把...拉到,拉上"
put down one's glass,
put into a port,
put on,"na. 假话
 穿上；上演；戴上"
put out the light,
put sth. in its place,
quiet down,"v. 静下来
 平静下来；平息；安静下来"
reach down,"v. 取下
 向下伸；向下碰；向下移动"
reach out one's arm,
reach toward the sky,
read into,"un. 读入；从中看到
 读进；含义；曲解"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
regard as,"v. 当作
 认为；把…认作；视为"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
remove from,"un. 被学校开除；不再需要
 从…除去；除掉；从…中移开"
resort to,"na. 使用(武力)
 诉诸于；求助于；采取"
return to,"v. 回到；返回；还给；降到
 返回到；恢复；回来"
rise toward the sky,
rise up,"v. 升起
 起义；起来反抗；上升"
run after,"na. 追求；追赶；追捕
 追逐；在……之后跑；跟在后面跑"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
run contrary to,
run over to sb.,
run sb. over,
rush into,"un. 一拥而上；冲进；投到；推行
 匆忙做某事；仓促行动；仓促跑进"
rush towards,
screw in,"na. 拧进去
 把…拧入；拧入式的；立轧侧压"
set foot on,"na. 踏上；“set foot on/in”的变体
 踏足于；踏上……的土地；登上"
set to,"na. 认真着手；动手做；打起来；吃起来
 动手干；设置精确的速率数值；开始认真干起来"
set up some kind of kangaroo court,
shake sb. down,"na. (将果实从树上)摇下来；摇下去；摇平(米谷等)
 勒索现场；摇落；彻底搜查"
shoot through, （澳/新西兰，非正式）（尤指为躲避而）离开
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
shut everything off,
sing of,"na. 歌(功)
 唱歌庆贺；歌颂；唱出了"
sit back,"na. 松劲休息；不活动
 放松；袖手旁观；休息一下"
sit up,"na. 仰卧起坐
 熬夜；坐直；坐正"
slash off,把…从…砍下
slip back in time,
slip down,"v. 滑掉下去
 滑倒；失足；下滑"
slip into one's snowshoes,
smile at,"na. 看着…微笑；(对威胁等)一笑置之
 对……微笑；向…微笑；向某人微笑"
soar into the air,
sort people into ranks,
speak for one's country,
speak up,"na. “speak out”的变体
 大声说；大声地说；大声点"
spend time on,
spread over,"na. (根据特殊需要而作的)部分工时调整
 遍布；传遍；遍布在"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
spur on,"un. 凭一时冲动；行动随便；激励
 鞭策；驱使；带动"
squat over the dying fire,
stain it with,
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
stare toward,
stare upward,
start for,"na. 动身
 出发；动身去；往…出发"
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
 启动；惊起；起动"
start up the street,
stay at, 呆在；暂住在；待在
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
 让开；避开；让开一点"
straighten out,v. 改正，清理，澄清; （ 使） 变直; 帮人（或自行）解决问题; （使某人）重回正轨; 解决问题（或困难）
stretch out his arm,
stumble into a place,
supply with,"v. 供给
 以……供给；把…提供；把……提供给"
swear to sb.,
sweep over the garden,
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
take along, 携带；随身带着；随身携带
take for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
take it up,
take out money from the bank,
take over,"na. 接管；继承
 接收；接任；接替"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
take sth. off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take sb. across,
talk about,"na. 讲(某事)
 谈论；讨论；谈到"
talk sb. into a grave,
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
tear off,"na. 扯下来；扯掉；飞跑；急急忙忙做成某事
 撕下；撕掉；撕纸"
tear sb. away from,
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
think of sth. as,
threaten sb. with death,
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
throw oneself into someone's arms,
throw into,"na. 使投身于
 扔进；投入；投注"
throw out a beam of light,
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn off,"v. 关掉
 关上；关闭；解雇"
turn our minds to,
