abandon,"n. 放任；狂热
vt. 遗弃；放弃"
clergyman,n. 牧师；教士
cliff,n. 悬崖；绝壁
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
coastal,adj. 沿海的；海岸的
coastline,n. 海岸线
cobbler,n. 补鞋匠；工匠；冷饮料；脆皮水果馅饼
cobweb,"n. 蜘蛛网；蛛丝；圈套
vt. 使布满蛛网；使混乱"
cockroach,n.  蟑螂
coconut,n. 椰子；椰子肉
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
coffin,"n. 棺材
断送"
coke,n. 可口可乐（等于Coca-Cola）
collegiate,adj. 大学的；学院的；大学生的
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
colonel,n. 陆军上校
comet,n.  彗星
comma,n. 逗号；停顿
commandment,n. 戒律；法令
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
concubine,n. 妾；情妇；姘妇
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
conifer,n. 针叶树； 松柏科植物
constellation,n.  星座；星群；荟萃；兴奋丛
consul,n. 领事；（古罗马的）两执政官之一
consulate,n. 领事；领事馆；领事任期；领事职位
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
convex,"n. 凸面体；凸状
adj. 凸面的；凸圆的"
cookery,n. 烹调术；烹调业
cooler,"n. 冷却器；清凉剂
adj. 更冷的（cool的比较级）"
cop,"n. 巡警，警官
vt. 抓住"
copier,n. 复印机（等于copying machine）；抄写员；模仿者
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
corduroy,"n.  灯芯绒，楞条花布；灯芯绒裤子；用灯芯绒布制的衣服
adj. 灯芯绒做的；泥地上用木头铺排成的"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
cornea,n.  角膜
cornerstone,n. 基础；柱石；地基
corporal,"n. 下士
adj. 肉体的，身体的"
corpse,n. 尸体
corridor,走廊
cosmos,n. 宇宙；和谐；秩序；大波斯菊
cot,n. 简易床；小屋；轻便小床
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
counterdrug,n. 解瘾药
countess,n. 伯爵夫人；女伯爵
county,n. 郡，县
coupon,n. 息票；赠券；联票； 配给券
cowboy,n. 牛仔；牧童；莽撞的人
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
crag,n. 峭壁；岩石碎块；颈；嗉囊
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
creamy,adj. 奶油色的；乳脂状的；含乳脂的
creed,n. 信条，教义
creek,n. 小溪；小湾
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
crib,"n. 婴儿床；栅栏；食槽
vi. 剽窃
vt. 拘禁，关入栅栏；抄袭"
cricket,n. 板球，板球运动；蟋蟀
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
crocodile,n. 鳄鱼
crumb,"n. 面包屑，碎屑；少许
vt. 弄碎；捏碎"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
cucumber,n. 黄瓜；胡瓜
cuff,"n. 袖口，裤子翻边；手铐；一巴掌
vt. 给…上袖口；用巴掌打；给…带上手铐
vi. 殴斗，拳击"
curry,"n. 咖哩粉，咖喱；咖哩饭菜
vt. 用咖喱烧，给…加咖喱粉；梳刷；鞭打"
cursor,n. 光标；（计算尺的） 游标，指针
cyclone,n. 旋风； 气旋；飓风
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
Czar,
Danish,"n. 丹麦语
adj. 丹麦的；丹麦人的；丹麦语（文）的"
dean,n. 院长；系主任；教务长；主持牧师
debtor,n. 债务人； 借方
decibel,n. 分贝
deli,n. 熟食店； 熟食品（等于delicatessen）
delicatessen,n. 熟食；现成的食品
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
demagogue,n. 煽动者；煽动家；煽动政治家
den,"n. 贼窝，私室；兽穴，窝巢；小房间
vt. 把……赶进洞穴
vi. 藏到洞里；住在肮脏简陋的小房间里"
denominator,n.  分母；命名者；共同特征或共同性质；平均水平或标准
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dentures,n. 假牙；补齿（常用复数）
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
desktop,n. 桌面；台式机
despot,n. 专制君主，暴君；独裁者
detergent,n. 清洁剂；去垢剂
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
dewdrop,n. 露珠；露滴
diction,n. 用语；措词
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
differential,"n. 微分；差别
adj. 微分的；差别的；特异的"
dike,"n. 堤防，堤坝；障碍物；（英）壕沟
vt. 筑堤防护；开沟排水（等于dyke）"
dime,n. 一角硬币
dioxide,n. 二氧化物
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
disadvantageous,adj. 不利的；不便的；贬抑的
disbelieve,"vt. 不信；怀疑
vi. 不信；怀疑"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
disciple,n. 门徒，信徒；弟子
discontent,"n. 不满
adj. 不满的
vt. 使不满"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discrepancy,n. 不符；矛盾；相差
dishonourable,adj. 不名誉的；无耻的；不受尊重的（等于dishonorable）
disloyal,adj. 不忠的；不忠诚的；背叛的
disobey,v. 违反；不服从
dissect,"vt. 切细；仔细分析
vi. 进行解剖；进行详细分析"
dissertation,n. 论文，专题；学术演讲
dissimilar,adj. 不同的
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
diver,n. 潜水者；跳水的选手；潜鸟
divisible,adj. 可分的；可分割的
dockyard,n.  造船厂；海军工厂
doctrine,n. 主义；学说；教义；信条
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
do-it-yourself,"adj. 自己动手的
n. 自己动手；喜欢自己装配或修理东西"
dolphin,n. 海豚
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
domino,n. 多米诺骨牌；面具；化装外衣
don,"n. 先生，阁下；指导教师，大学教师
vt. 穿上"
donkey,n. 驴子；傻瓜；顽固的人
donut,n. 炸面圈；环状线圈（等于doughnut）
doorstep,n. 门阶
doorway,n. 门口；途径
dough,n. 生面团；金钱
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
downfall,n. 垮台；衰败；落下；大雨
downpour,n. 倾盆大雨；注下
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
dreary,adj. 沉闷的，枯燥的
dresser,n. 梳妆台；碗柜；化妆师；裹伤员
dressing-gown,晨衣
druggist,n. 药剂师；药商；（美）药房老板（兼营化妆品、文具、牙膏、漱口剂、香烟等杂货的）
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
drummer,n. 鼓手；旅行推销员；跑街
drumstick,n. 鸡腿，家禽腿；鼓槌
drunkard,n. 酒鬼，醉汉
dry-clean,"vt. 干洗（衣服）
vi. 进行干洗"
dryer,n. 烘干机； 干燥剂
dual,"n. 双数；双数词
adj. 双的；双重的"
duchess,"n. 公爵夫人；女公爵；雍容华贵的妇女；小老板娘
vt. （澳）盛情款待；讨好
vi. 热情款待；讨好"
duckling,n. 小鸭子
duel,"n. 决斗；斗争，抗争
vi. 决斗"
duke,n. 公爵，（公国的）君主；公爵（种）樱桃
duly,adv. 适当地；充分地；按时地
dummy,"n. 傀儡；哑巴；仿制品
adj. 虚拟的；假的"
dung,"n. 粪
vt. 施粪肥于"
duration,"n. 持续，持续的时间，期间
音长，音延"
duster,n. 抹布，掸子；除尘器；打扫灰尘的人
dustman,n. 清洁工人
dustpan,n. 簸箕
duty-free,"adj. 免税的
adv. 免税地"
dynamo,n. 发电机；精力充沛的人
dynasty,n. 王朝，朝代
eagerness,n. 渴望；热心
eardrum,n. 鼓膜，耳膜；中耳
earphone,n. 耳机；听筒
earplug,n. 耳栓
earring,"n. 耳环，耳饰
v. 抽穗；听见（ear的ing形式）"
earthly,adj. 地球的；尘世的；可能的
easygoing,adj. 悠闲的；逍遥自在的；脾气随和的；不严肃的
ecology,n. 生态学；社会生态学
ecosystem,n. 生态系统
educational,adj. 教育的；有教育意义的
educationist,n. 教育家；教育理论家
eel,n. 鳗鱼；鳝鱼
e.g.,adv. 举例来说（等于for example）
elderly,adj. 上了年纪的；过了中年的；稍老的
electrician,n. 电工；电气技师
electromagnet,n. 电磁体， 电磁铁；电磁石
electron,n. 电子
elm,"n.  榆树；榆木
adj. 榆树的；榆木的"
elsewhere,adv. 在别处；到别处
emerald,"n. 绿宝石； 祖母绿；翠绿色
adj. 翠绿色的"
empire,n. 帝国；帝王统治，君权
employee,n. 雇员；从业员工
employer,n. 雇主，老板
empress,n. 皇后；女皇
enamel,"n. 搪瓷；珐琅；瓷釉；指甲油
vt. 彩饰；涂以瓷釉"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
enlargement,n. 放大；放大的照片；增补物
entirely,adv. 完全地，彻底地
entrant,n. 进入者；新会员；参加竞赛者；新工作者
entrepot,n. 贸易中心；（法）仓库
entrepreneur,n. 企业家；承包人；主办者
envious,adj. 羡慕的；嫉妒的
environmental,adj. 环境的，周围的；有关环境的
enzyme,n.  酶
epoch-making,adj. 划时代的；开新纪元的；意义重大的
equality,n. 平等；相等； 等式
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
escalator,n. （美）自动扶梯；电动扶梯
escapee,n. 逃避者；逃亡者
Esperanto,n. 世界语
estuary,n. 河口；江口
et al,abbr. 以及其他人，等人
ether,n. 乙醚； 以太；苍天；天空醚
ethnic,adj. 种族的；人种的
evergreen,"n. 常绿树；常绿植物
adj.  常绿的；永葆青春的"
excitement,n. 兴奋；刺激；令人兴奋的事物
experienced,adj. 老练的，熟练的；富有经验的
explanatory,adj. 解释的；说明的
exporter,n. 出口商；输出国
expressive,adj. 表现的；有表现力的；表达…的
expressly,adv. 清楚地，明显地；特别地，专门地
expressway,n. （美）高速公路
extracurricular,adj. 课外的；业余的；婚外的
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
eyelash,n. 睫毛
eyelid,n.  眼睑；眼皮
eye-opener,"n. 使人惊奇的事物, 迷人的人, 迷人的事物, 使人大开眼界的事物"
eyesore,n. 眼中钉；难看的东西
eyewitness,n. 目击者；见证人
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fabric,n. 织物；布；组织；构造；建筑物
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
factual,adj. 事实的；真实的
Fahrenheit,
fairness,n. 公平；美好；清晰；顺利性
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
fairyland,n. 仙境；乐园；奇境
falsehood,n. 说谎；假话；不真实；错误的信仰
famine,n. 饥荒；饥饿，奇缺
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
farmhand,n.  农场工人
farmyard,n. 农家庭院；农场；农家
far-off,adj. 遥远的
far-reaching,adj. 深远的；广泛的；伸至远处的
fascism,n. 法西斯主义；极端国家主义
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
fashionable,adj. 流行的；时髦的；上流社会的
fast food,"n. 快餐；速食
 快餐食品；快餐店；速食店"
fastening,n. 扣紧；系结物（fasten的现在分词）
fatherland,n. 祖国
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
fatten,"vt. 养肥；使肥沃；使充实
vi. 养肥；（靠…）发财"
fearful,adj. 可怕的；担心的；严重的
fearless,adj. 无畏的；大胆的
feedback,n. 反馈；成果，资料；回复
feeder,n. 支线；喂食器；奶瓶；饲养员；支流
fern,n.  蕨； 蕨类植物
ferryboat,n. 渡船
fiancé,
fiancée,
filament,n. 灯丝；细丝；细线；单纤维
filling,"n. 填充；填料
v. 填满；遍及（fill的ing形式）"
filth,n. 污秽；肮脏；猥亵；不洁
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
finalist,n. 参加决赛的选手
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
fingerprint,"n. 指纹；手印
vt. 采指纹"
finite,"n. 有限之物
adj. 有限的；限定的"
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
firearm,n. 火器；枪炮
firecracker,n. 鞭炮，爆竹
fire-drill,n. 火灾演习；消防演习；火灾避难训练
fire-engine,n. 消防车；救火机
firefighter,n. 消防队员
fireman,n. 消防队员；救火队员；锅炉工
fireplace,n. 壁炉
fireproof,"adj. 防火的；耐火的
vt. 使耐火；使防火"
fireside,"n. 炉边；家庭
adj. 炉边的；非正式的"
firewood,n. 柴火；木柴
firework,n. 烟火；激烈情绪
firstborn,"n. 长子；初生儿；长女
adj. 头生的；第一胎生的"
firsthand,"adj. 直接的；直接采购的；直接得来的
adv. 直接地"
first-rate,"adj. 第一流的；最上等的
adv. 非常好地；极佳"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
fishing-rod,钓鱼杆
fission,n. 裂变；分裂；分体；分裂生殖法
flagship,n. 旗舰；（作定语）一流；佼佼者
flagstaff,n. 旗杆
flannel,"n. 法兰绒；法兰绒衣服；法兰绒巾
adj. 法兰绒的
vt. 给…穿上法兰绒衣服；用法兰绒包"
flashlight,n. 手电筒；闪光灯
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
flautist,n. 横笛吹奏者（等于flutist）
flea,n. 跳蚤；低廉的旅馆；生蚤的动物
flint,n. 燧石；打火石；极硬的东西
flowchart,n.  流程图；作业图
flowerbed,n. 花圃；花床
flowerpot,n. 花盆；花钵
fluff,"n. 绒毛；错误；无价值的东西
vt. 念错；抖松；使…起毛
vi. 起毛；出错；变松"
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
flyover,n. 天桥；立交桥；立交马路
fodder,"n. 饲料；素材
vt. 喂"
foe,n. 敌人；反对者；危害物
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
foliage,n. 植物；叶子（总称）
follower,n. 追随者；信徒；属下
folly,n. 愚蠢；荒唐事；讽刺剧
foodstuff,n. 食品，食物；粮食，食料
footballer,n. 足球运动员；橄榄球运动员
footbridge,n.  人行桥
footnote,"n. 脚注；补充说明
vt. 给…作脚注；在脚注里评议"
footpath,n. 人行道；小路；小径
footprint,n. 足迹；脚印
footstep,n. 脚步；脚步声；足迹
footwear,n. 鞋类
forearm,"n. 前臂
vt. 预先武装；准备"
forefather,n. 祖先；前辈
forefinger,n. 食指
foreleg,n. 前脚；前腿
foreman,n. 领班；陪审团主席
forename,n. 在姓前面的名
forestry,n. 林业；森林地；林学
foreword,n. 序；前言
formerly,adv. 以前；原来
fortitude,n. 刚毅；不屈不挠；勇气
fortress,"n. 堡垒；要塞
vt. 筑要塞；以要塞防守"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
fowl,"n. 家禽；鸟；飞禽
vi. 打鸟；捕野禽"
foyer,n. 门厅，休息室；大厅
fraternity,n. 友爱；兄弟会；互助会；大学生联谊会
freebie,n. 免费的东西；免费赠品（尤指戏院赠券）
freeway,n. 高速公路
freezer,n. 冰箱；冷冻库；制冷工
freshwater,"n. 淡水；内河；湖水
adj. 淡水的；无经验的"
fretful,adj. 焦躁的；烦燥的；起波纹的
frosting,"n. 结霜；霜状白糖；无光泽面；去光泽
adj. 结霜的；磨砂的；消光的
v. 以霜覆盖；冻坏；起霜（frost的ing形式）"
frosty,adj. 结霜的，严寒的；冷淡的；灰白的
fruitful,adj. 富有成效的；多产的；果实结得多的
fruitless,adj. 不成功的，徒劳的；不结果实的
frying-pan, 煎锅
full-time,adj. 专职的；全日制的；全部时间的
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
funfair,n. 游乐场；游艺集市
fungus,n. 真菌，霉菌；菌类
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
furnace,n. 火炉，熔炉
gadget,n. 小玩意；小器具；小配件；诡计
gaily,adv. 华丽地；欢乐地
gallows,n. 绞刑；绞刑架；承梁
gangster,n. 歹徒，流氓；恶棍
gaol,"n. 监狱
vt. 监禁"
garlic,n. 大蒜；蒜头
garrison,"n. 要塞；卫戍部队
vt. 驻防；守卫"
gaseous,adj. 气态的，气体的；无实质的
gash,"n. 很深的裂缝；砍得很深的伤口
vt. 划开；砍入很深；（使）负深伤"
gasoline,n. 汽油
gateway,n. 门；网关；方法；通道；途径
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
gauze,n. 纱布；薄纱；薄雾
gem,"n. 宝石，珍宝； 精华；受人重视者
vi. 点缀； 用宝石装饰； 饰以宝石
adj. 最佳品质的"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
genocide,n. 种族灭绝；灭绝整个种族的大屠杀
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
geographic,adj. 地理的；地理学的
geographical,adj. 地理的；地理学的
geology,n. 地质学；地质情况
geopolitics,n. 地缘政治学；地理政治论
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
gerund,n. 动名词
get-together,n. 聚会，联欢会
ghetto,"n. 犹太人区；贫民区
vt. 使集中居住"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
gigantic,adj. 巨大的，庞大的
gild,vt. 镀金；虚饰；供给钱
gin,"n. 杜松子酒；网； 三角起重机
vi. 喝杜松子酒； 用陷阱(或网)捕捉，诱捕(猎物)"
ginger,"n. 姜；姜黄色；精力；有姜味
vt. 用姜给…调味；使某人有活力
adj. 姜黄色的"
gipsy,"n. 吉普赛人（等于gypsy）；流浪汉
vi. 流浪"
gist,n. 主旨，要点；依据
glacier,n. 冰河，冰川
gland,"n. 腺
密封压盖"
glasshouse,n. 温室；暖房
goalkeeper,n. 守门员
golfer,n. 高尔夫球手
gong,"n. 锣；钟状物；奖章
vt. 鸣锣传唤；鸣锣命令驾车者停驶
vi. 鸣锣；发出铜锣般的声音"
good-humored,adj. 心情愉快的；脾气好的
good-humoured,adj. 愉快的
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
goodwill,n.  商誉；友好；好意
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
gorilla,n. 大猩猩
gosh,int. 天啊；唉；糟了；必定
Gothic,
gourmet,"n. 美食家
菜肴精美的"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
grammatical,adj. 文法的；符合语法规则的
gramophone,"n. 留声机
vt. 用唱片录制；用唱机播放"
Grand Prix,"na. 头等奖；最高奖
 大奖赛；格兰披治；霹雳神风"
grandstand,"n. 正面看台；观众；哗众取宠的表演
adj. 看台上的
vi. 做博取观众喝采的演技"
granite,n. 花岗岩；坚毅；冷酷无情
grapevine,n. 葡萄树；葡萄藤；小道消息；秘密情报网
grasshopper,"n. 蚱蜢； 蝗虫；小型侦察机
vi. 见异思迁；蚱蜢似地跳"
gratitude,n. 感谢（的心情）；感激
greenery,n. 绿色植物；温室
grenade,"n. 手榴弹；灭火弹
vt. 扔手榴弹；用催泪弹攻击"
greyhound,n. 灰狗（一种猎犬）；快速船
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
grimace,"n. 鬼脸；怪相；痛苦的表情
vi. 扮鬼脸；作怪相；作苦相"
grime,"n. 尘垢；污点；煤尘
vt. 使污秽；使…弄脏"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
groundwork,n. 基础；地基，根基
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
guerrilla,n. 游击战；游击队
guillotine,"n. 断头台；切纸机；截止辩论以付表决法
vt. 于断头台斩首；终止辩论将议案付诸表决"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
gull,"n.  鸥；笨人；易受骗之人
vt. 骗；欺诈"
gunfire,n. 炮火；炮火声
gunpowder,n. 火药；有烟火药
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
gutter,"n. 排水沟；槽；贫民区
vi. 流；形成沟
vt. 开沟于…；弄熄
adj. 贫贱的；粗俗的；耸人听闻的"
gymnastic,adj. 体操的，体育的
ha,"int. 哈！（表示惊异，愉快，怀疑，胜利等）
abbr. 一种元素(hahnium,原子序105)"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
hairdresser,n. 美发师
hairpin,n. 簪；束发夹；夹发针
hairspray,n. 头发定型剂
hairy,adj. 多毛的；毛状的；长毛的
half-time,n. 中场休息时间；半工半薪
handcuff,"n. 手铐；思想上的桎梏
vt. 给…戴上手铐；限制"
handgun,n. 手枪
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
handshake,n. 握手
happening,"n. 事件；意外发生的事
v. 发生；碰巧（happen的ing形式）"
hardback,"n. 精装本； 硬封面的书
adj. 精装的；硬封面的"
hardness,n.  硬度；坚硬；困难；冷酷
hare,n. 野兔
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
headlamp,n. 照明灯；桅灯；车前灯
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
headman,n. 首领；酋长；工头
headmistress,n. 女校长
head-on,"adj. 正面的；直接的；头朝前的
adv. 迎头；头朝前地；正面针对地"
headphones,n.  耳机；听筒； 头戴式受话器（headphone的复数形式）
headroom,n. 净空；净空高度；头上空间
headset,n. 耳机；头戴式受话器
headwind,n. 逆风；顶头风
heartache,n. 心痛；悲叹
heartbeat,n. 心跳；情感
heartbreak,n. 心碎；伤心事
heartfelt,adj. 衷心的；真诚的；真心真意的
heartily,adv. 衷心地；热忱地；痛快地
heartless,adj. 无情的；无勇气的
hearty,"n. 朋友们；伙伴们
adj. 衷心的；丰盛的；健壮的；精神饱满的"
heater,n. 加热器；加热工
heath,"n. 石南，石南植物；荒野
adj. 杜鹃花科木本植物的"
heating,"n.  加热； 供暖；暖气设备
v.  加热（heat的现在分词）
adj. 加热的；供热的"
heavyweight,"n. 重量级拳击手；有影响的人物；聪明绝顶的人
adj. 重量级的；特别厚重的"
Hebrew,"n. 希伯来人，犹太人；希伯来语
adj. 希伯来人的；希伯来语的"
hectare,n. 公顷（等于1万平方米）
hedgehog,n. 刺猬
hedgerow,n. 灌木篱墙
heir,n.  继承人；后嗣；嗣子
heiress,n. 女继承人
helper,n. 助手，帮手
helping,"n. 帮助，协助；一份食物
v. 帮助；扶持（help的ing形式）
adj. 辅助的；给予帮助的"
hem,"n. 边，边缘；摺边
vt. 包围；给...缝边
vi. 做褶边"
herb,n. 香草，药草
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
herdsman,n. 牧人
hermit,n. （尤指宗教原因的）隐士；隐居者
heroin,n.  海洛因，吗啡
herring,n. 鲱
hexagon,"n. 六角形，六边形
adj. 成六角的；成六边的"
hide-and-seek,n. 捉迷藏
hideous,adj. 可怕的；丑恶的
hi-fi,"n. 高保真度的音响设备
adj.  高保真度的"
high-energy,高能的
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
high-pitched,adj. 声调高的；声音尖锐的；紧张的；陡的
high-ranking,adj. 职位高的；阶级高的
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
high-riser, 高把手自行车；发音播放
high-sounding,adj. 高调的；夸张的；夸大的
high-spirited,adj. 有生气的；兴致勃勃的；勇敢的
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
hillside,n. 山坡，山腹；山腰
hinterland,n. 内地；穷乡僻壤；靠港口供应的内地贸易区
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
hippie,"n. 嬉皮士；嬉皮模样的年青人
adj. 嬉皮的"
hippo,n. 河马；吐根
hippopotamus,n.  河马
histogram,n.  直方图；柱状图
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
hobbyist,n. 业余爱好者；沉溺于某嗜好之人
hockey,n. 曲棍球；冰球
hoe,"n. 锄头
vi. 用锄耕地
vt. 锄，用锄头"
hog,"n. 猪，象猪般的人；贪婪者
vt. 使拱起
vi. 拱起"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
holdup,n. 持枪抢劫；交通阻塞
homebound,adj. 回家的，回家乡的
homecoming,n. 归国；同学会；省亲回家
homely,adj. 家庭的；平凡的；不好看的
homesick,adj. 想家的；思乡病的
homeward,"adv. 在归途上，向家地
adj. 在归途上的，向家的"
honestly,adv. 真诚地；公正地
honesty,n. 诚实，正直
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月"
hood,"n. 头巾；覆盖；兜帽
vt. 罩上；以头巾覆盖"
hoof,"n. 蹄；人的脚
vt. 用蹄踢；步行
vi. 步行；踢；跳舞"
