conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
salesmanship,n. 推销；推销术；游说术
self-confidence,n. 自信
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
aptitude,n. 天资；自然倾向；适宜
whack,"n. 重击；尝试；份儿；机会
vt. 重打；猛击；击败；削减
vi. 重击"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
callus,"n.  胼胝；愈合组织；老茧
vt. 使生老茧；使变硬；使结痂
vi. 变硬；结痂；生老茧"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
pail,n. 桶，提桶
sunup,n. 日出
mail-order,"vi. 邮购；函购
adj. 邮购的"
legacy,n. 遗赠，遗产
well-pressed,adj. 熨烫平整的
jackpot,"n. 头奖；累积赌注；十分成功
adj. 头奖的；累积赌注的；大笔收入的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
engaging,"v. 参加（engage的ing形式）；保证；雇用
adj. 迷人的"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
doorbell,n. 门铃
canvass,"n. 讨论；细查；劝诱
vt. 细究；彻底检查；向…拉票或拉生意
vi. 游说；拉选票"
unsold,adj.  未售出的，卖剩的
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
pip,"n. 果仁；种子；小毛病；很好的人（事物）
vt. 破壳而出"
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
humiliate,vt. 羞辱；使…丢脸；耻辱
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
appetite,n. 食欲；嗜好
dutifully,adv. 忠实地；忠贞地
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
bottomless,adj. 无底的；深不可测的；难解的；取之不尽的
maxim,
bedtime,"n. 就寝时间
adj. 适于睡前的"
refusal,n. 拒绝；优先取舍权；推却；取舍权
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
insistence,n. 坚持，强调；坚决主张
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
zeal,n. 热情；热心；热诚
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
notion,n. 概念；见解；打算
gladden,"vt. 使喜悦，使高兴
vi. 喜悦"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
head towards, 走向
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
make sure that,"查明, 弄确实, 弄清楚, 保证, 设法一定做到, 务必, 如此安排"
put ... down as, 看作；视为；估计
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
be due, 到期；到期的；出世
brim with, 洋溢；洋溢着；充满着
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
be rewarded with, 得到奖励；用……回报；得到……的奖赏
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
classify sth. as,
classify sb. as,
maternal,adj. 母亲的；母性的；母系的；母体遗传的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
namely,adv. 也就是；即是；换句话说
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
infancy,n. 初期；婴儿期；幼年
miscarriage,n.  流产；失败；误送
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
miserable,adj. 悲惨的；痛苦的；卑鄙的
existence,n. 存在，实在；生存，生活；存在物，实在物
habitually,adv. 习惯地；日常地
statistical,adj. 统计的；统计学的
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
psychologically,adv. 心理上地；心理学地
absorption,n. 吸收；全神贯注，专心致志
vitality,n. 活力，生气；生命力，生动性
unusually,adv. 非常；异乎寻常地；显著地
insensible,adj. 昏迷的；无知觉的；麻木不仁的
contemplative,adj. 沉思的；冥想的；默想的
philanthropic,adj. 博爱的；仁慈的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
fruitful,adj. 富有成效的；多产的；果实结得多的
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
jumper,n. 跳高运动员；跳跃者；工作服；妇女穿的套头外衣
justification,n. 理由；辩护；认为有理，认为正当；释罪
justifiably,adv. 言之有理地， 无可非议地
ignoble,adj. 不光彩的；卑鄙的；卑贱的
ego,n. 自我；自负；自我意识
recede,"vi. 后退；减弱
vt. 撤回"
passionately,adv. 热情地；强烈地；激昂地
waterfall,n. 瀑布；瀑布似的东西
painlessly,adv. 无痛苦地，不费力地
weariness,n. 疲倦，疲劳；厌倦
unwelcome,"n. 冷淡
adj. 不受欢迎的；讨厌的；不被接受的
vt. 冷淡地对待"
passion,n. 激情；热情；酷爱；盛怒
overwhelmingly,adv. 压倒性地；不可抵抗地
unbearable,adj. 难以忍受的；承受不住的
wayward,adj. 任性的；不规则的；刚愎的
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
ecstasy,n. 狂喜；入迷；忘形
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
unfathomable,adj. 深不可测的；无底的；莫测高深的
abyss,n. 深渊；深邃，无底洞，地狱
mystic,"adj. 神秘的；神秘主义的
n. 神秘主义者"
prefigure,vt. 预示；预想
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
reverberate,"adj. 回响的；反射的
vt. 使回响；使反射；使弹回
vi. 回响；反响；弹回；不断发生后效"
famine,n. 饥荒；饥饿，奇缺
victim,n. 受害人；牺牲品；牺牲者
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
oppressor,n. 压制者，压迫者
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
mockery,n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
alleviate,vt. 减轻，缓和
devote oneself to,"na. 专心从事(研究)；一味贪玩
 献身于；致力于；致力于，献身于"
have difficulty in doing sth.,
have no reason to do,
guard against,"v. 防止；加以预防；抵御
 提防；防备；防范"
on the ground that,"conj. 理由是
 以…为理由；因为；基于"
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
it is no use doing,
make a mockery of,"na. 以某人作为笑柄
 嘲笑；嘲弄；使成为徒劳"
sacrifice sth. for, 牺牲；为…而牺牲；献出
listener,"n. 听众
倾听者"
violinist,n. 小提琴演奏者，小提琴家
musician,n. 音乐家
necessity,n. 需要；必然性；必需品
seaport,n. 海港；港口都市
accompanist,n. 伴奏者；伴随者
unaccompanied,adj. 无伴奏的；无伴侣的；无伴随的
sonata,n. 奏鸣曲
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
first-rate,"adj. 第一流的；最上等的
adv. 非常好地；极佳"
demonstrative,"adj. 说明的；证明的；公开表露感情的
n. 指示词"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
stolidly,adv. 神经麻木地；冷淡地
gravely,adv. 严重地；严肃地；严峻地；沉重地
edify,vt. 熏陶；启发；教诲
sparsely,adv. 稀疏地；贫乏地
menacing,"adj. 威胁的；险恶的
v. 威胁（menace的ing形式）；恐吓"
cape,n.  海角，岬；披肩
lighthouse,n. 灯塔
cove,"n. 小湾；山凹；小峡谷
vt. 使内凹；使成拱形
vi. 内凹；成拱形"
cliff,n. 悬崖；绝壁
moor,"vt. 系住；使停泊
n. 沼泽；荒野"
scud,"n. 飞毛腿；疾行；飘飞的云
vi. 疾行；顺风行驶"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
duration,"n. 持续，持续的时间，期间
音长，音延"
grizzled,"adj. 灰色的；头发斑白的
v. 变成灰色；发脾气（grizzle的过去分词）"
bearlike,a. 像熊一样的
comprise,vt. 包含；由…组成
equable,adj. 平静的；变动小的
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
maintenance,n. 维护，维修；保持；生活费用
majestic,adj. 庄严的；宏伟的
battering ram,"n. （旧时的圆木）攻城锤
 攻城槌；破城槌；冲车"
immature,adj. 不成熟的；未成熟的；粗糙的
affirm,"vt. 肯定；断言
vi. 确认；断言"
apologetic,adj. 道歉的；赔罪的
reflective,adj. 反射的；反映的；沉思的
thigh,n. 大腿，股
involuntary,adj. 无意识的；自然而然的；不知不觉的
mysteriously,adv. 神秘地；故弄玄虚地；难以理解地
extensively,adv. 广阔地；广大地
sparse,adj. 稀疏的；稀少的
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
serenity,n. 平静，宁静；晴朗，风和日丽
curiosity,n. 好奇，好奇心；珍品，古董，古玩
inclination,n. 倾向，爱好；斜坡
inadequate,adj. 不充分的，不适当的
ponderously,adv. 笨重地；生硬地
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
spaciousness,n. 宽敞；宽广
infinitely,adv. 无限地；极其
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
unmoving,adj. 不感动人的；静止的
gnarled,"adj.  多节的；粗糙的；多瘤的
v. 把…扭曲；长木瘤（gnarl的过去分词）"
massively,adv. 大量地；沉重地；庄严地
judiciously,adv. 明智而审慎地；明断地
it happens that,
it so happens that,
by choice,"na. 出于自己的选择
 出于选择；处于选择；出于自愿"
work one's way,"na. 一面做事一面旅行；勤苦读完(大学)；设法通过
 努力达到目标；设法抵达；费力前进"
bear down upon,"na. 冲向；强调；压迫
 逼近；对…施加压力；袭击"
busy oneself in,忙于
busy oneself with,"na. 忙于
 使自己忙于；使自己忙于某事"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
 与…相比；比作；把…比作"
attend to,"na. 照料(工作)
 照顾；注意；处理"
draw forth,"na. 引出；博得(赞赏等)
 引起；并且引出；唤出"
have the inclination to do sth.,
far-reaching,adj. 深远的；广泛的；伸至远处的
surpass,vt. 超越；胜过，优于；非…所能办到或理解
phonograph,"n. 留声机； 电唱机
vt. 用留声机灌音；用留声机放音"
innumerable,adj. 无数的，数不清的
practicable,adj. 可用的；行得通的；可实行的
concretely,adv. 具体地
understandably,adv. 可理解地
convincingly,adv. 令人信服地；有说服力地
alter,"vt. 改变，更改
vi. 改变；修改"
mentality,n. 心态； 智力；精神力；头脑作用
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
conception,n. 怀孕；概念；设想；开始
mode,n. 模式；方式；风格；时尚
unchanging,adj. 不变的
confidently,adv. 自信地；安心地
naively,adv. 无邪地；天真烂漫地
accompaniment,n. 伴奏；伴随物
application,n. 应用；申请；应用程序；敷用
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
instinctively,adv. 本能地
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
homely,adj. 家庭的；平凡的；不好看的
demonstration,n. 示范；证明；示威游行
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
propagandist,"n. 宣传者；传播者
adj. 宣传的；传道的"
conservatism,n. 保守主义；守旧性
inheritance,n. 继承；遗传；遗产
carriage,n. 运输；运费；四轮马车；举止；客车厢
mixture,n. 混合；混合物；混合剂
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
cumulative,adj. 累积的
distribute,vt. 分配；散布；分开；把…分类
publicity,n. 宣传，宣扬；公开；广告；注意
myth-making, 创造神话的；神话制造
creator,
invariably,adv. 总是；不变地；一定地
convenient,adj. 方便的；适当的；近便的；实用的
profitable,adj. 有利可图的；赚钱的；有益的
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
splendidly,adv. 华丽地；豪华地；壮观地
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
conceivable,adj. 可能的；想得到的，可想像的
mathematical,adj. 数学的，数学上的；精确的
established,adj. 确定的；已制定的，已建立的
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
stockholder,n. 股东；股票持有人
anticipate,vt. 预期，期望；占先，抢先；提前使用
pecuniary,adj. 金钱的；应罚款的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
optimism,n. 乐观；乐观主义
profoundly,adv. 深刻地；深深地；极度地
wisdom,n. 智慧，才智；明智；学识；至理名言
imperceptibly,adv. 极微地；微细地；察觉不到地
subsidize,vt. 资助；给与奖助金；向…行贿
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
insatiable,adj. 贪得无厌的；不知足的
overpowering,adj. 压倒性的；无法抵抗的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
stability,n. 稳定性；坚定，恒心
disentanglement,n. 解开纠结
add up,"na. 合计；符合预期的数目
 加起来；相加；把……加起来"
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
come into acceptance,
take possession of,"na. 占领
 占有；拥有；占有，拥有"
rest on,"na. 被支持在…上；(目光等)停留在…上
 依靠；依赖；被搁在"
play a part in,"v. 贡献力量；起…作用
 起作用；在…方面起作用；在…中起作用"
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
succeed in doing sth.,
convert into,"v. 转换成
 折合；转化成；转换为"
