plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
statistics,n. 统计；统计学； 统计资料
population growth,"un. 人口增长；种群增长
 人口成长；族群成长；族群增长"
United Nations Population Fund,n. 联合国人口基金
food supply,"un. 食品供应；养分供应
 食物供应；食物供给；食品供给"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
avoid,vt. 避免；避开，躲避；消除
overpopulation,n. 人口过剩
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
quality of life,"un. 生活质量
 生活品质；生活素质；生活质素"
massive,adj. 大量的；巨大的，厚重的；魁伟的
unchecked,adj. 未经核对的；未加抑制的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
humanity,n. 人类；人道；仁慈；人文学科
furthermore,adv. 此外；而且
ultimately,adv. 最后；根本；基本上
growing,"v. 生长（grow的ing形式）
adj. 发展的；成长的"
life,n. 生活，生存；寿命
put pressure on ...,
pose a threat to ...,
be up to sb.,
in the best interests of ...,
do one's utmost,"na. 尽所有力量
 竭力；尽最大努力；尽全力"
smoker,n. 吸烟者；薰制工
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
exceed,"vt. 超过；胜过
vi. 超过其他"
financial return, 财政收益；财务回报；财务中体现回报显示
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
cigarette,n. 香烟；纸烟
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
second-hand smoke,(由吸烟者吐出的)二手烟
smoking-related disease,
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
medical condition, 身体状况；医疗状况；医学状况
tobacco industry,"n. 烟草工业
 烟草业；烟草行业；烟草制造业"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
consumption,n. 消费；消耗；肺痨
feasible,adj. 可行的；可能的；可实行的
tobacco,n. 烟草，烟叶；烟草制品；抽烟
amount to,"v. 合计
 总计；等于；共计"
a mixed blessing, 有利亦有弊的事物；喜忧参半；忧喜参半的事
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
afflicted with ...,
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
year by year,"na. 年年；逐年
 一年又一年；一年一年地；每年"
be caught up in ...,
of one's own making, 咎由自取
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
home ownership, 房屋所有权；居者有其屋；自有住房
one-off,"n. 一次性事物
adj. 一次性的"
state-owned house,
housing subsidies, 住房补贴；住房津贴；房屋津贴
considerably,adv. 相当地；非常地
housing loan,"un. 住宅贷款
 房屋贷款；住房贷款；贷款购房"
private house,"un. 私有房屋
 私宅；私房；私人住宅"
building boom, 建清真寺浪潮
housing reform, 住房改革；住房制度改革；中国的住房改革
living conditions,"na. 生活条件
 居住条件；生活环境；生活状况"
allocated,"n. 分配值
v. 分派（allocate的过去分词）
adj. 分配的，指派的"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
public house,"na. 客栈；酒吧
 酒馆；酒店；公房"
housing price,
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
property,n. 性质，性能；财产；所有权
a final word of caution,
get out of hand,"un. 从…里走出来；拿到；搞僵；失去控制
 失控；无法控制；难以控制"
line chart,"un. 折线图；线路施工图
 线形图；曲线图；趋势曲线图"
gymnasium,n. 体育馆；健身房
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
data,n. 数据（datum的复数）；资料
do exercises, 做练习；运动出汗法；做操
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
ever-increasing pressure,
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
in mounting numbers,
vigorous,adj. 有力的；精力充沛的
be on a steady rise,
besides,"prep. 除…之外
adv. 此外；而且"
in the second place,"na. 第二(点)；其次
 把……放在第二位；说到第二点；首先"
cigarette,n. 香烟；纸烟
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
gym,n. 健身房；体育；体育馆
accordingly,adv. 因此，于是；相应地；照著
stay up late,"un. 整晚不睡；守着；迟睡
 熬夜；熬夜到很晚；熬夜到很迟"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
respectively,adv. 分别地；各自地，独自地
instead,adv. 代替；反而；相反
considerably,adv. 相当地；非常地
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
keep a balanced diet,
several,"adj. 几个的；各自的
pron. 几个；数个"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
skating,"n. 溜冰，滑冰
v. 滑冰（skate的ing形式）"
be harmful to, 对…有害；对…有危害；对……是有害的
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
climbing,"n. 攀登
v. 爬（climb的ing形式）
adj. 上升的；攀缘而登的"
tendency,n. 倾向，趋势；癖好
riding,"n. 骑马；骑术
v. 骑；乘坐（ride的现在分词）"
more importantly, 更重要的是；论据；插入语
in the first place,"na. 首先；第一
 起初；原先；第一点"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
quickening pace,
never fail to,"na. 必定
 一定会；总是会；从未忘记做"
optimistic,adj. 乐观的；乐观主义的
urban life, 城市生活；都市生活；城市生活图片
energetic,adj. 精力充沛的；积极的；有力的
attitude,n. 态度；看法；意见；姿势
people in growing numbers,
as far as I am concerned, 就我而言；就个人而言；据我所知
confident,adj. 自信的；确信的
persistent,adj. 固执的，坚持的；持久稳固的
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
to sum up, 总之；概括地说；总之，总而言之
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
mental problem, 心理问题；精神病患
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
usually,adv. 通常，经常
fit health,
departments concerned,
burn the midnight oil,"na. 干到深夜；开夜车
 挑灯夜战；熬夜；熬夜读书"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
job security,"un. 作业安全性；职业保障
 工作保障；就业保障；职业安全感"
sit,"vi. 坐；位于
vt. 使就座"
gloomy,adj. 黑暗的；沮丧的；阴郁的
whereas,conj. 然而；鉴于；反之
Civil Service Exams,
career path, 职业道路；职业途径；生涯路径
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
take examinations for a graduate program,
career prospects, 就业前景；职业前景；事业前途
financial reward,物质奖酬，奖金
doctoral degree, 博士学位；博士研究生专业；博士课程
driving force,"na. 推动力
 驱动力；推动力量；原动力"
approximately,adv. 大约，近似地；近于
iron rice bowl,"na. 铁饭碗
 熨斗饭碗"
opt for,"na. 选取；赞成
 选择；就是选择；选择了"
perspective,"n. 观点；远景；透视图
adj. 透视的"
respectively,adv. 分别地；各自地，独自地
employer,n. 雇主，老板
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
well equipped with,
practical experience,"na. 实际经验
 实践经验；实务经验；实战经验"
summer and winter holidays,
excessive expectations,
work experience,"n. 工作经历；（学生）实习
 工作经验；工作经验的陈述；工作履历"
financial crisis,"na. 财政危机
 金融危机；财务危机；经济危机"
employment,n. 使用；职业；雇用
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
from sb.'s perspective,
play a part,"na. 扮演…角色；假装
 起作用；扮演角色；扮演一个角色"
well-paid,adj. 待遇优厚的；收入高的
solution,n. 解决方案；溶液；溶解；解答
foreign company, 外国公司；外企；外资企业
realistic,adj. 现实的；现实主义的；逼真的；实在论的
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
poorly-paid, 低薪的
vital,adj. 至关重要的；生死攸关的；有活力的
job offer,"n. 工作录用函；聘任书；工作机会
 雇主批文；工作邀请；工作担保"
give first priority to sth.,
market size,"un. 市场规模；市场尺寸；商品级别
 市场容量；市场大小；市场量"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
web game,
computer game,"n. 电脑游戏
 电子游戏；计算机游戏；电子游戏机"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
year-on-year,a. 与上年同期数字相比的
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
computer gaming,
adversely,adv. 不利地；逆地；反对地
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
overindulgence,n. 放纵；沉溺；任性
strike a balance,"na. 结账；衡量得失
 冲帐；取得平衡；冲账"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
indicate,vt. 表明；指出；预示；象征
problem-solving,"n. 解决问题；找出问题的答案
adj. 问题解决的"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
earnings,n. 收入
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
working conditions,"un. 工作条件
 工作环境；劳动条件；工作状况"
level of education,"un. 受教育水平
 教育程度；文化程度；受教育程度"
economy,n. 经济；节约；理财
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
workforce,n. 劳动力；工人总数，职工总数
unemployment,n. 失业；失业率；失业人数
high school,"n. 高中；中学
 高级中学；毒品高中；高校"
job market,"un. 工作市场
 就业市场；人才市场；劳务市场"
worthwhile,adj. 值得做的，值得花时间的
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
additional,adj. 附加的，额外的
investment,n. 投资；投入；封锁
doctoral,"n. 博士论文
adj. 博士的；博士学位的；有博士学位的"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
correlate with ...,
get an edge,
accord with ...,
lay sb. off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
film-goer,"n. 爱上电影院的人, 爱看电影的人"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
be on a steady rise,
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
income,n. 收入，收益；所得
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
in my opinion,"na. 我的意见是
 在我看来；我认为；依我看"
excitement,n. 兴奋；刺激；令人兴奋的事物
actor,n. 男演员；行动者；作用物
primary reason, 主要原因；主要理由；基本判据
in addition,"na. 加之
 另外；此外；又"
actress,n. 女演员
special effects,"n. （电影或电视节目的）特技效果
 特殊效果；特效；特别效果"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
movie star,"na. (电)影(明)星
 电影明星；影星；影视明星"
amaze,vt. 使吃惊
in summary,"adv. 扼要
 总之；总结；总的来说"
basically,adv. 主要地，基本上
audience,n. 观众；听众；读者；接见；正式会见；拜会
popularity,n. 普及，流行；名气；受大众欢迎
technology,n. 技术；工艺；术语
prosperity,n. 繁荣，成功
economical,adj. 经济的；节约的；合算的
traditional,adj. 传统的；惯例的
attractive,adj. 吸引人的；有魅力的；引人注目的
temporarily,adv. 临时地，临时
hunger for,"v. 渴望；渴求
 渴望得到；得到某事物的渴望；亟待"
personality,n. 个性；品格；名人
ordinary life,"un. 常规寿命
 平凡的生活；普通寿险；平凡生活"
passion,n. 激情；热情；酷爱；盛怒
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
crowd-puller,引人注意的人
the majority of people,
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
pupil,n. 学生； 瞳孔；未成年人
library,n. 图书馆，藏书室；文库
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
college student,"n. 大学生
 大学学生；大专学生；大学生助学"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
citizen,n. 公民；市民；老百姓
steadily,adv. 稳定地；稳固地；有规则地
is second only to,
term paper,"n. （美国学校或大学的）学期论文
 学期报告；期末论文；期末报告"
sharply,adv. 急剧地；锐利地
for another, 另一方面；解决方法二；第二句
summarize,"vt. 总结；概述
vi. 作总结；作概括"
significance,n. 意义；重要性；意思
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
frequent goer,
various subjects,
I hold the opinion that,
reference book,"n. 参考书；工具书
 参考工具书；本参考书；参考类图书"
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
treatise,n. 论述；论文；专著
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
meanwhile,"adv. 同时，其间
n. 其间，其时"
knowledge,n. 知识，学问；知道，认识；学科
crucial,adj. 重要的；决定性的；定局的；决断的
rich resource,
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
plenty of,"na. 很多的
 许多；大量的；充足的"
be fully equipped,
user-friendly,adj. 容易使用的
computers,n.  计算机， 电脑（computer的复数）
historical references, 历史参照；历史引证；历史参考资料
by and large,"na. 总的说来
 大体上；总的来说；基本上"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
make good use of, 充分利用；好好利用；合理利用
entrepreneur,n. 企业家；承包人；主办者
outside of class,
category,n. 种类，分类； 范畴
entrepreneurial spirit, 企业家精神；企业精神；创业精神
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
ultimately,adv. 最后；根本；基本上
prior to ...,
come in handy,"na. 迟早有用
 派得上用场；派上用场；有用得着的时候"
get one's feet wet, 开始参与
introduce,vt. 介绍；引进；提出；采用
citizen,n. 公民；市民；老百姓
generate,vt. 使形成；发生；生殖；产生物理反应
Golden Week, 黄金周；国庆黄金周；黄金周与假日经济
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
hometown,n. 家乡；故乡
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
National Day,
scenic spot,"un. 风景区
 景点；旅游景点；风景名胜"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
Spring Festival,
historic site,"un. 古址
 古迹；遗址；历史古迹"
consumption,n. 消费；消耗；肺痨
togetherness,n. 相聚，家庭聚会；团结精神；归属感
since then,"na. 以后；从此一直
 从那时起；自从那以后；自从那时起"
much-needed, 急需的；特别需要的；大量需要
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
opportunity,n. 时机，机会
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
week-long,"adj. 持续一星期的；为时一周的
adv. 为时一周；在一个星期中"
relaxation,n. 放松；缓和；消遣
sustain,vt. 维持；支撑，承担；忍受；供养；证实
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
admittedly,adv. 公认地；无可否认地；明白地
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
shortcoming,n. 缺点；短处
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
politician,n. 政治家，政客
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
drawback,n. 缺点，不利条件；退税
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
as a means of, 以资；作为…的方法；作为…的工具
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
bus routes, 公车路线；公交路线；乘车路线
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
solution,n. 解决方案；溶液；溶解；解答
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
authority,n. 权威；权力；当局
be combined with,"na. 与…结合着
 与……结合着；与……合并；使…与结"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
emergence,n. 出现，浮现；发生；露头
yet,"conj. 但是；然而
adv. 还；但是；已经"
widespread,adj. 普遍的，广泛的；分布广的
negative views,
social phenomenon,na. 社会现象
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
in quest of,"na. 为求…
 寻找；探求；为了寻求"
educational resources, 教育资源；与教育有关的资源；侨教服务资源
degree,n. 程度，等级；度；学位；阶层
personally,adv. 亲自地；当面；个别地；就自己而言
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
the former opinion,
without the slightest question,
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
live and learn,"v. 活到老学到老
 学无止境；生活与学习；生活就是学习"
widely,adv. 广泛地
is of benefit to,
understandable,adj. 可以理解的；可以了解的
personal growth,"un. 个人成长
 个人的成长；个人发展；个体成长观"
life-long education,
economic prosperity,"n. 景气
 经济繁荣；经济繁荣的城市；经济发展"
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
updated,"v. 更新（update的过去式）
adj. 更新的；现代化的"
MBA,
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
the National Adult College Entrance Examination,
an era of knowledge explosion,
there is no denying the fact that,
nowadays,"adv. 现今；时下
n. 当今"
social lives, 社交生活；社会生活
cost-effective,adj. 划算的；成本效益好的（等于cost-efficient）
mobile-phone,手机；行动电话
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
savvy,"n. 悟性；理解能力；懂行（的人）
vt. 理解；懂
vi. 理解；知道"
excessive,adj. 过多的，极度的；过分的
discussion,n. 讨论，议论
text messaging, 文字讯息；手机短信；发短信
jeopardize,vt. 危害；使陷危地；使受危困
readily,adv. 容易地；乐意地；无困难地
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
apparent,adj. 显然的；表面上的
disadvantage,n. 缺点；不利条件；损失
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
communication,n. 通讯， 通信；交流；信函
schoolwork,n. 家庭作业；学校作业
real-world,adj. 现实生活的；工作的
upside,n. 优势，上面
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
scenario,n. 方案；情节；剧本；设想
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
in some cases,"na. 有时候
 在某些情况下；在有些情况下；在一些情况下"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
to be sure,"un. 当然；无疑
 诚然；固然；的确"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
pitfall,n. 陷阱，圈套；缺陷；诱惑
useful,adj. 有用的，有益的；有帮助的
deplete,vt. 耗尽，用尽；使衰竭，使空虚
online,"adj. 联机的；在线的
adv. 在线地"
academic work, 学术工作；学术著作；专门著作
limited,"adj. 有限的
n. 高级快车"
collaboration,n. 合作；勾结；通敌
social life, 社会生活；社交生活；社交活动
available,adj. 可获得的；可购得的；可找到的；有空的
classmate,n. 同班同学
eventually,adv. 最后，终于
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
elementary school,"n. （美国）小学
 国小；国民小学；小学校"
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
pay the price, 付出代价；我知道我必须付出代价；付上代价
ill in hospital,
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
sickness,n. 疾病；呕吐；弊病
water supply,"n. 供水；给水；给水系统；供水系统
 城市给水；水源；自来水"
apparently,adv. 显然地；似乎，表面上
severely,adv. 严重地；严格地，严厉地；纯朴地
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
overstretch,"vt. 过分伸展
vi. 要求过高
n. 过分伸展"
transportation,n. 运输；运输系统；运输工具；流放
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
untreated,adj. 未经处理的；未经治疗的
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
inhabitant,n. 居民；居住者
hospitalization,n. 住院治疗；医院收容；住院保险（等于hospitalization insurance）
urbanization,n. 都市化；文雅化
overcrowding,"n. 过度拥挤；挤满
v. 过度拥挤（overcrowd的ing形式）；把…塞得过满"
urbanized,"adj. 城市化的
v. 使城市化（urbanize的过去式）"
property,n. 性质，性能；财产；所有权
medical bill, 医药费；医疗费用；拒绝支付医药费
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
combine to do sth.,
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
put up with,"na. 忍住
 忍受；容忍；忍耐"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
Tang suit,
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
Spring Festival,
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
fashionable,adj. 流行的；时髦的；上流社会的
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
imply,vt. 意味；暗示；隐含
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
business suit, 西装；商务西装；商人正装
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
Western,
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
