by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
talk up,"na. 大声讲；讨论
 大胆讲；大胆地讲；大声地讲"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
at a glance,"na. 一看就；初看
 一瞥；一眼；一眼就"
in comparison, 相比之下；比较；比较起来
kick up,"na. 踢起(灰尘)；引起(骚动)
 激起；扬起；出故障"
back up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 倒退；后退；援助"
take over,"na. 接管；继承
 接收；接任；接替"
be mad about,"na. 急切地想；迷于
 迷恋；为…发疯；对……入迷"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
on paper,"na. 纸上；统计上；理论上
 以书面形式；在纸上；在名义上"
send out,"na. “send forth”的变体
 发出；派遣；发送"
read out,v. 读出器，读出( readout的过去式和过去分词 ); 大声朗诵，宣读; 读出
out of the way,"na. 向旁边；让开；迷失；误
 让路；不挡道；不碍事"
on schedule,"na. 按时；按时间表；按照预定计划
 准时；按预定时间；正点"
in charge of,"na. 受托…的
 负责；主管；掌管"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
bring around,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使信服；使复苏；使改变观点"
bring round,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使苏醒；劝使；使恢复健康"
bring into play,"na. (充分)利用；使活动
 发挥；使…发挥作用；发挥基本解释"
from the outset,"na. 从一开始
 从一开始起；从开始时；伊始"
with reference to,"na. 关于
 有关；参考；参照"
tie in with,"un. 牵制；与…联合在一起
 配合；与……有关联；与…一致"
step down,"na. 走下；退出；下降；辞退
 辞职；下台；让位"
at best,"na. 充其量也不过
 至多；最多；最好也只是"
be exposed to, 暴露于；面临；暴露在
stick together,"v. 粘合起来
 团结一致；粘在一起；互相支持"
in some ways, 在某些方面；在某种程度上；在一些方面
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
ahead of schedule,"na. 比预定时间早
 提前；提前完成计划；进度提前"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
 夺走；携走；拿走"
laugh off,"v. 对…一笑置之
 用笑摆脱；笑而不理，表示不当一回事；一笑了之"
pull off,"na. 赢得；做成某事；(在路边)停车；下载
 完成；脱下；努力实现"
at the stage of,
reconcile with,"un. 使一致；使相符:；使和解；调解
 与和解；使...和解；与和好"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
fix up,"na. 修理；解决；组织；安顿住处
 安排；修补；商妥"
on the verge of,"na. 将近(几岁)；即将…
 濒于；接近于；濒临于"
amount to,"v. 合计
 总计；等于；共计"
move into,"v. 迁居
 搬进；搬进去了；进入"
rather than,"na. 而不
 而不是；宁愿；与其"
apply to,"v. 应用于
 适用；适用于；应用到"
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
draw to a close,"na. “come to a close”的变体
 结束；即将结束；渐近结束"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
shift to,"v. 转变到
 转向；转变成为；转而"
in the effort to,
have one's hands full,"na. 手头事很多
 很忙；忙得不可开交；离不开手儿"
wander about,"na. 徘徊
 闲逛；漫游；流浪"
in no way,"na. 决不
 一点也不；绝不；无论如何不"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
in control of,"na. 由…控制(住)
 管理；掌管；掌握"
launch into, （使）在（水）中漂浮; 使下水; 发射上天; （使）开始从事
let down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
run off,"na. 逃走；流出；(火车等)出轨；越轨
 跑掉；跑掉，逃掉；复印"
clear-cut,adj. 清晰的；轮廓鲜明的
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
be valued for,由于…而受到珍视
fall in with,"na. “meet with”的变体
 与……一致；同意；符合"
out of nowhere, 突然冒出来；莫名其妙的出现；不知打哪儿来
work through,"un. 急救；推敲；过…关；贯穿
 通过……工作；完成；修通"
give back,"na. 归还；返回；往后站；凹陷
 恢复；送还；后退"
look out for,"v. 照料；寻求；期待；提防
 当心；留心；寻找"
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
decades of,
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
 用收银机记录；给……打电话；把记入现金收入记录机"
be blamed for,"na. …为(某事)受责备
 被责备；因……而受到责备；因为…而受到指责"
think through,"na. 仔细考虑；全面考虑
 思考…直到得出结论；想通；彻底地全面考虑"
all the while,"na. 始终
 一直；一直地；一直以来"
pack in,"na. 停止
 放弃；大量吸引"
convert into,"v. 转换成
 折合；转化成；转换为"
change one's mind,"na. 改变想法
 改变主意；变卦；改变心意"
by turns,"na. 轮流
 交替；轮流地；轮换地"
too soon to,
make a point of,"na. 主张；重视；必定
 强调；努力；决心"
in honor of,"na. 向…表示敬意
 为纪念；为庆祝；为祝贺"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
make out,"na. 理解；发现；起草；证明
 辨认出；填写；开列"
set in,"na. 固定；停当；涨潮；进来
 开始；来临；插入"
in control,"na. 由…控制(住)
 在控制之内；管理；孟楠"
talk about,"na. 讲(某事)
 谈论；讨论；谈到"
appeal for,"v. 要求
 呼吁；吸引力；请求"
be tied to,"v. 被束缚着
 被绑在；被系在；系在一起"
stand down,"na. 退出证人席位；暂时辞退；不在值勤中
 退下；下台；退出竞选"
on the go,"adj. 忙忙碌碌的
 忙个不停；在活动；正在忙碌中"
track down,"v. 追赶
 追捕到；查出；追踪"
charge sb. with sth.,
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
not only ... but also ...,
on the table,"na. 公开地；摆在桌面上；在桌子上
 在桌上；在桌子上面；在桌上的东西"
more and more,"na. 越来越…
 越来越多；越来越多的；愈来愈多"
in private,"na. 秘密地
 私下；私下地；私下里"
in the end,"na. 终于
 最后；最终；结果到头来"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
as a result,"adv. 结果
 因此；结果是；作为结果"
play a part in,"v. 贡献力量；起…作用
 起作用；在…方面起作用；在…中起作用"
take away,"adj. 买回去的
 拿走；带走；外带"
on a diet,"adj. 在节食
 吃某种特殊饮食；吃规定的饮食；节食减肥"
at present,"na. 目前
 现在；当今；眼下"
see off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
all the same to sb.,
all but,"na. 几乎跟…一样
 差一点；除了…都；差不多"
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
pay attention to,"na. 注意
 重视；对……注意；关心"
anything but,"na. 决不是；除…外什么都
 除…以外任何事；一点也不；绝不"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
at once,"na. 立刻；同时
 马上；立即；即刻"
like crazy,"na. 疯狂地；拼命地；非常迅速地
 爱疯了；就像疯了似的；像疯子一样"
tell the truth,"na. 说实话
 说真话；讲真话；实话实说"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
on top,"na. 在上；在(双层公共车辆的)顶座；成功；占优势
 在上面；在顶上；顶部"
shut up,"na. 关住；监禁；密封；停止
 闭嘴；住口；关闭"
bear out,"na. 证明
 证实；支持；证实是正确的"
for good,"na. 永久地
 永远；一劳永逸地；永远地"
cannot but, 不得不；禁不住；不能不
cannot help but, 不得不；无奈；禁不住
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
call back,"na. 取消；喊回；回一个电话；再打一个电话来
 回电话；收回；回调"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
have a good time,"na. 过得愉快；很愉快
 玩得高兴；玩得开心；玩得愉快"
what's more, 而且；另外；更重要的是
in addition to,"na. 加之
 除…之外；除了；除…外"
at the risk of,"na. 冒着…的危险
 冒险；冒……的风险；冒着…风险"
a great deal of,"det. 很多；重重
 大量的；许多；很多的"
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
in order that,"na. 以便
 为了；以便于；从句"
get together,"na. 聚集；集合；汇齐；积累
 聚会；相聚；联欢"
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
even if,"na. 即使…也
 纵然；就算；甚至"
for certain,"na. 的确
 肯定地；确凿地；确切地"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
try one's best,"na. 尽全力
 尽力；努力；竭尽全力"
far from,"na. 远离；决不
 远非；完全不；远远不是"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
take care,"v. 当心；留心
 保重；小心；注意"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
let out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
do sb. good,"v. 有益
 做好事；有好处；行善"
in the midst of, 在…当中，在…中间；意思是在某一进程之中；正当…的时候
make an example of, 惩一儆百；惩罚；惩罚…以警戒他人
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
a few,"na. 几个；很多；一点点
 一些；有些；少量"
by oneself,"na. 单独；独自；独力
 自行；独自地；单独地"
but for,"na. 要不是；除…而外
 如果没有；倘没有；要是没有"
year after year,"adv. 年复一年
 年年；一年又一年；每年"
year by year,"na. 年年；逐年
 一年又一年；一年一年地；每年"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
every other,"na. 每隔；所有其他；每隔一；其他的…都
 每隔一个的；每隔一个地；其他的...都"
no longer,"na. 不再
 已不；再也；再也不"
in a mess,"na. 肮脏；混乱；困难
 乱七八糟；一团糟；凌乱"
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
get on with,"na. 同“get along ”
 继续干；与…相处；继续做"
so ... that,"所以,因而"
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
so that,"conj. 因此；以便
 为了；以致；以便于"
in summary,"adv. 扼要
 总之；总结；总的来说"
by mistake,"na. 因错误
 错误地；错误的；错拿某物"
just now,"na. 刚才；正在
 刚刚；才不久；方才"
grow up,"na. 长大
 成长；长大成人；成年"
in the short run,"na. 在短期内；从短期看
 短期看来；从短期看来；从短期来看"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
for the moment,"na. “for this moment”的变体
 暂时；目前；现在"
do for,"na. 帮助；适合做；除掉；毁掉
 照料；对…有效；照应"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
or else,"na. 不然
 否则；要不然；否则，要不然"
in the future,"adv. 今后
 将来；在将来；在未来"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
 仿佛；好象；似乎"
do without,"na. 无需
 没有…也行；不用；将就"
live out,"na. 住在外面；活过
 实践；度过；身体力行"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
 发射；发出；往上送"
by and by,"na. 不久以后
 不一会儿；渐渐地；迟早"
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
no way,"na. 无论如何不
 不行；不可能；没门"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
think of ... as,
on duty,"na. 在工作时间内；上班；值班
 值日；当班；在值班"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
day off,"n. 休假日；休息日
 放假日；杀手假期；一天的假"
first of all,"na. 第一
 首先；首要；是首先的意思"
word for word,"adv. 逐字翻译
 逐字的；逐字地；一字不变地"
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
on order,"adj. 已定购
 已订购；定购中；已定购而尚未交货的"
in the first instance,"na. “in the first place”的变体
 首先；最初；起初"
keep a secret,"na. 守秘密；(保)守秘密
 保守秘密；保密；保守机密"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
fill the bill,"na. 符合要求；如约完成；满足需要
 凑合；出类拔萃；解决问题"
do with,"na. 对付；忍耐；与…相处
 处理；处置；需要"
kind of,"na. 有点儿；有几分
 种类；稍微；相当"
keep in touch, 保持联系；保持联络；再联系
in public,"na. 公然
 当众；公开地；在公共场合"
for instance,"na. 例如
 比如；举例说；举例来说"
on fire,"na. 燃烧着；兴奋着
 着火；起火；起火着火"
least of all,"na. 尤其是
 最不；尤其不；最不重要的"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
one another,"pron. 互相
 相互；彼此；互相地"
be knowledgeable about,
again and again,"na. 再三再四
 再三地；反复地；一次又一次"
because of,"na. 因
 因为；由于；由于，因为"
in the end of,"在……的最后
在……结束时"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
quite a few,"na. 很多；许多；相当多
 不少；还不少；有相当数目的"
at least,"na. 至少
 最低限度；起码；最少"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
to begin with,"na. 首先；本来
 第一；一开始；起初"
for example,"na. 例如
 举例；比如；比如说"
face to face,"na. 面对面
 面对面地；结构长度；面对面的"
what is worse,"na. 更坏的是
 更糟糕的是；更糟的是；更槽糕的是"
get to know,"v. 逐渐了解
 认识；开始了解；结识"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
look like, 看起来与（某人或某物）相像; 很可能出现（某事、做某事）; 伣; 似
hand in hand,"na. 手拉手；联合
 手牵手；携手；牵阮的手"
in doubt,"na. 感到疑心；被怀疑
 拿不准；有怀疑；不确定的"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
lack of,"v. 缺乏
 缺少；不足；不够"
change hands,"na. (财产等)转换所有者
 转手；易手；易主"
beside oneself,"un. 除…以外；发狂；发疯；手足无措
 忘形；失常；得意忘形"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
see about,"na. 注意；查看；查询；留意于
 考虑；料理；负责处理"
neither ... nor ...,
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
step by step,"na. 一步一步；切切实实
 逐步地；循序渐进；一步一步地"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
in the first place,"na. 首先；第一
 起初；原先；第一点"
except for,"na. 只有
 除了；除…之外；除了……之外"
neither here nor there,"na. 无关紧要；不得要领；不相干；没有关系
 与本题无关；不中肯；不相干的"
more or less,"na. 有几分；约；或多或少；一点也…
 差不多；有点儿；溢短装"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
what if,"v. 应如何
 如果；如果…将会怎样；如果…将会怎么样"
be friends with,"na. 跟…要好
 对…友好；与…交上朋友；跟...做朋友"
have sth. in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
had better,"na. 最好；最好…
 应该；最好还是；还是…好"
anything like ...,
take one's time,"na. 从容
 慢慢来；从容不迫；不急"
the more ... the more ...,
put on,"na. 假话
 穿上；上演；戴上"
as it were,"na. 如同；可以说是；好像
 似乎；可谓；在某种程度上"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
log out,"v. 退出
 登出；注销；退出系统"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
look at,"na. 看；考虑
 看着；注视；瞧"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
behind sb.'s back,
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
in all,"na. 总计
 总共；一共；总共，合计"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
later on,"na. 过后；后来
 以后；随后；稍后"
pay back,"na. 偿还；报答；向…报复；付还
 回报；还钱；还钱给"
nothing but,"na. 不外；的确
 只有；只不过；只是"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
sum up,"na. 概括；总结
 总计；归纳；总括"
to a certain extent,"na. “to a certain degree”的变体
 在一定程度上；在某种程度上；达到某种程度"
now that,"na. 由于
 既然；既然已；现在已经"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
on time,"na. 按时；及时
 准时；正点；准时地"
no sooner ... than,"na. 才…(就)
 一……就；不早于；刚…就"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
of course,"na. 当然
 自然；当然可以；当然了"
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
never mind,"un. 没关系；不要紧；开诚布公地谈
 别介意；别放在心上；别在意"
at all,"na. 全然；究竟
 根本；一点也不；丝毫"
the same as,"adj. 与…同样
 与…相同；与…一样；和……相同"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
 留下；留在后面；保留"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
for anything,"na. 给什么都(不干)
 无论如何；决；决不"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
one by one,"na. 一个一个；一个一个地
 一个接一个；一个接一个地；一个接着一个"
make friends with,"na. 跟…做朋友
 与……交朋友；和……交朋友；与……交友"
in a hurry,"na. 匆忙；容易地；急于要；愿意地
 匆忙地；立即；匆匆忙忙"
make peace with,"v. 和…和好
 讲和；与……讲和；与……和好"
no matter how,"na. 不管怎样
 无论怎样；无论怎么样；不管如何"
no matter what,"na. 不管怎什么
 无论如何；无论什么；不管什么"
no matter when,"na. 不管怎什么时候
 无论什么时候；无论何时；不管什么时候"
in brief,"na. 简单地说
 简言之；简而言之；总之"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
none but,"na. 只有；除…以外谁都不
 仅；除...以外谁都不；不是别的正是"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
from time to time,"na. 时时
 有时；不时；不时地"
as for,"na. 至于
 关于；就…而言；对于"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
be about to do, 即将做某事
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
for one's part,"na. 至于某人
 对某人来说；讲到某人；就个人来说"
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
as well,"na. 也；同样
 又；还；也倒不如"
I dare say,"na. 大概；我想；我看(大概)
 我敢说；可能；我感说"
for sale,"na. 出售(的)
 待售；供出售；出售的"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
together with,"na. 和…一起
 连同；和...一起；加之"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
to the contrary,"na. 反对地
 意思相反的；相反地；正相反"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
in the world,"na. 在世界上；究竟
 到底；全世界；长城是世界一大奇迹"
for so long, 如此之久；长久以来；这么长时间
a good many,"na. 很多的
 许多；相当多；大量的"
a great many,"na. 很多的
 许多；大量；许许多多"
capable of,"na. (事物)可以…的；能…的；易…的；(人)敢于…的
 能够；有…能力的；易于做出…的"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
no less than,"prep. 多达
 不少于；不亚于；不下"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
 到目前为止；非常；最多"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
 减价；打折；大减价"
listen to,"v. 听
 倾听；收听；听从"
as much,"na. 同量的；同样地
 同样多；同样的或同样多少的；也"
as much as,"un. 也这样(想,认为)；不亚于
 多达；差不多；尽…那样多"
even as,"na. 正如；正在…时
 正当；恰恰在…的时候；正当…的时候"
shoulder to shoulder,"na. 密集；并肩；协力
 肩并肩；肩并肩地；肩对肩"
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
so far as ... be concerned,
no wonder, 难怪；怪不得；不足为奇
but then,"na. 但是；但是另一方面
 不过；但另一方面；然而"
in addition,"na. 加之
 另外；此外；又"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
set free,"na. 释放；使游离
 放走；被释放；赦免"
at first,"na. 首先
 起先；最初；起初"
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
point out,"na. 指出
 指明；说明；指示"
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
a lot,"n. 许多
adv. 常
 很多；非常；大量"
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
as it is,"na. “As it stands”的变体
 实际上；事实上；既然如此"
tell a white lie, 说善意的谎言；善意地谎言；说一个善意的谎言
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
on the one hand,"na. 一方面
 在一方面；一方面…在另一方面；这一方面"
in the middle of,"na. 正在…当中；在…的中途；在…的中央；在…的中部
 在……中间；在……的中间；在...的中途"
on file,"na. 合订成册
 存档；记录下来备查；归档，存卷"
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
be sitting on,
a little,"n. 一点
 一些；少许；有点"
time after time,"na. 常常；反复
 一次又一次；一再；两世奇人"
for free, 免费地；免费的；为了免费
here and there,"na. 到处；零零落落
 各处；处处；这儿那儿"
that is to say,"na. “that is”的变体
 也就是说；那就是说；换句话说"
of necessity,"na. 必然；不得已；不可避免地
 必然地；必定；无法避免地"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
 在活动中；移动中；在移动中"
take shape,"na. 成形；形成；具体化；有显著发展
 成型；初具规模；逐渐成形"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
many a,na. 很多； an] one 许许多多人
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
hand in,"na. 交进
 上交；交上；递交"
for fun,"na. 开玩笑
 为了好玩；不是认真的；取乐"
move in on,"na. (为了捕获而)潜近；企图从某人手中夺取对某物的控制权
 向……悄悄靠近；挤进；逼近"
right away,"na. 立刻
 马上；立即；立即，马上"
draw in,"na. 拉入；引入；收(网等)；收回(借款等)
 引诱；到站；紧缩开支"
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
set back,"na. 阻碍；延迟；花费
 推迟；推迟，延缓；使退步"
can not help,"v. 禁不住
 忍不住；情不自禁；不禁"
could not help,"v. 不得不
 禁不住；忍不住；禁不住忍不住"
start with,"v. 以…开始
 以……开始；从…开始；首先"
in confidence,"na. 秘密地
 信任；暗中；推心置腹地"
in total,"adv. 全部；完全
 总共；总计；一共"
behind bars,"na. 坐牢
 在狱中；在监狱服刑；铁窗之后"
a lot of,"det. 许多
 大量；很多；大量的"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
string out,"na. (使)节目拖长；行列长达
 拉长；外移；排列开来，排开"
as good as,"na. 见 good 条
 和…几乎一样；和……一样好；几乎等于"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
up to date,"adj. 现代的；最新的；时髦的；新式的
 时新的；现代化的；切合目前情况的"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
log in,"na. 进入电脑工作系统；“log on”的变体
 登录；登入；登陆"
