fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
exemplify,vt. 例证；例示
exhibition,n. 展览，显示；展览会；展览品
exhilarate,vt. 使高兴，使振奋；使愉快
exhilarating,"adj. 使人愉快的；令人喜欢的；爽快的
v. 使高兴，使兴奋（exhilarate的现在分词形式）"
existential,adj. 存在主义的；有关存在的；存在判断的
existentialist,"n. 存在主义者
adj. 存在主义的"
exonerate,vt. 使免罪
exorcise,vt. 驱邪；除怪
exorcize,vt. 除怪，驱邪
expansive,adj. 广阔的；扩张的；豪爽的
expectant,"n. 期待者；候选人
adj. 期待的；怀孕的；预期中的"
expiry,n. 满期，逾期；呼气；终结
expiration,n. 呼气；终结；届期
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
expound,"vt. 解释；详细说明
vi. 解释；详细说明"
expropriate,vt. 没收，征用；剥夺
expulsion,n. 驱逐；开除
expunge,vt. 擦去；删掉
expurgate,vt. 删除，删去
extant,adj. 现存的；显著的
extort,vt. 敲诈；侵占；强求；牵强地引出
extortionate,adj. 敲诈的；勒索的；过高的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
extractor,"n. 抽出器, 拔取的人, 抽出者  抽取字; 析取字  抽提塔; 浸取器; 萃取器  拔出器, 取出器, 提取器"
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
extraterrestrial,"n. 天外来客
adj. 地球外的"
extremism,n. 极端主义（尤指政治上的极右或极左）；极端性；过激主义
extremity,n. 极端；绝境；非常手段；手足
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
extravert,"n. 外向性格的人
 外倾者"
exuberant,adj. 繁茂的；生气勃勃的，充溢的
exude,"vt. 散发；流出；使渗出
vi. 流出；渗出；发散"
eyewash,n. 无稽之谈；骗局；洗眼水；表面文章
fabricate,vt. 制造；伪造；装配
facade,n. 正面；表面；外观
facet,"n. 面；方面；小平面
vt. 在…上琢面"
factitious,adj. 人为的，人工的；不自然的；虚假的
fad,n. 时尚；一时的爱好；一时流行的狂热
fainthearted,adj. 懦弱的，胆小的；无精神的
fairground,n. 露天市场；举行赛会的场所；游乐场
fairway,n. 航路；水上飞机升降用的水面跑道；（高尔夫球场上的）平坦球道
falcon,n.  猎鹰； 隼
fallacious,adj. 谬误的；骗人的；靠不住的；不合理的
fallacy,n. 谬论，谬误
fallible,adj. 易犯错误的；不可靠的
falsetto,"n. 假音；假声歌手； 男性女声
adj. 用假声的
adv. 用假声"
falsity,n. 虚伪；错误；谎言；不真实
fanciful,adj. 想像的；稀奇的
fantasise,vt.& vi. 想像，幻想，做白日梦
fantasize,"vi. 幻想
vt. 幻想；想像"
faraway,adj. 遥远的；恍惚的
farsighted,adj. 有远见的；能看到远处的
fatalism,n. 宿命论
fatality,n. 死亡；宿命；致命性；不幸；灾祸
fated,adj. 命中注定的，宿命的；受命运支配的
fateful,adj. 重大的；决定性的；宿命的
fat-head,"na. 呆子
 人头猪脑；傻瓜；笨蛋"
fatherland,n. 祖国
fatuous,adj. 愚笨的；昏庸的；发呆的；自满的
faucet,n. 旋塞；插口. 水龙头
favoritism,n. 偏袒；得宠
faze,vt. 打扰；使狼狈；折磨
featherbrained,adj. 轻浮的；愚蠢的
feckless,adj. 无效的；软弱的；没精神的；不负责任的；无气力的
fecund,adj. 肥沃的；多产的；丰饶的；生殖力旺盛的
federalism,n. 联邦制；联邦主义
federalist,"adj. （支持）联邦党人的；联邦制的
n. 联邦党；联邦制拥护者；支持北部联邦者"
federate,"adj. 同盟的；联邦制度下的；联合的
vt. 使结成同盟；使结成联邦
vi. 结成联邦"
feebleminded,adj. 低能的；意志薄弱的；精神薄弱的
felicity,n. 幸福；快乐；幸运
felony,n. 重罪
femininity,n. 温柔；柔弱性；女子本性
fen,n. 沼地，沼泽；沼泽地区
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
fender,n. （汽车等的）挡泥板；防卫物；（暖炉的）炉围；（船只的）碰垫
ferocity,n. 凶猛；残忍；暴行
ferret,"n. 雪貂；白鼬；侦探
vi. 搜索，侦破
vt. 搜出，查获；驱出；用雪貂猎取"
festive,adj. 节日的；喜庆的；欢乐的
festivity,n. 欢庆，欢宴；庆典；欢乐
festoon,"n. 花彩； 花彩装饰物
vt. 结彩于； 以花彩装饰"
fetching,adj. 迷人的；动人的；吸引人的
fete,"n. 祭祀；庆祝；节日；游乐会
vt. 宴请；招待"
fetid,adj. 臭的；恶臭的；腐臭的
fetish,n. 恋物（等于fetich）；迷信；偶像
fetus,n. 胎儿，胎
foetus,n. 胎儿
feverish,adj. 发热的；极度兴奋的
fiasco,n. 惨败
fiberglass,n. 玻璃纤维；玻璃丝
fictitious,adj. 虚构的；假想的；编造的；假装的
fiddly,adj. 需要手巧的，要求高精度的
fieldwork,n. 野外工作；现场工作；野战工事
fiendish,adj. 恶魔似的，残忍的；极坏的
fig,"n. 无花果；无花果树；少许，一些；无价值的东西；服装
vt. 打扮；使马跑快"
figment,n. 虚构的事；臆造的事物
figurative,adj. 比喻的；修饰丰富的；形容多的
finale,n. 结局；终曲；最后一场；最后乐章；尾声
finalist,n. 参加决赛的选手
finely,adv. 非常地；细微地；美好地；雅致地
finery,n. 服饰；华丽的服饰，鲜艳服装；装饰
finesse,"n. 策略；纤细；灵巧
vt. 巧妙处理；以偷牌方式先出
vi. 偷牌；施展巧计"
fingertip,n. 指尖；指套
finicky,adj. 过分讲究的；过分注意的；过分繁琐的
fire-bomb, 燃烧弹
firebrand,n. 火把；煽动叛乱者；放火者
firebrick,n. 耐火砖
firedamp,n. 甲烷，沼气
firepower,n. 火力
fishmonger,n. 鱼贩；鱼商
fissure,"n. 裂缝；裂沟（尤指岩石上的）
vt. 裂开；分裂
vi. 裂开；分裂"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
fixer,n. 固定器； 定影剂；毒贩子；调停者
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
flabby,adj. 松弛的；软弱的；没气力的；优柔寡断的
flagpole,n. 旗竿
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
flamboyant,"adj. 艳丽的；火焰似的；炫耀的
n. 凤凰木"
flammable,"n. 易燃物
adj. 易燃的；可燃的；可燃性的"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
flashback,n. 倒叙；闪回；迷幻药效幻觉重现
flaunt,"n. 炫耀；飘扬；招展
vt. 炫耀；飘扬
vi. 飘扬；夸耀"
flavoring,"n. 调味品（等于flavour）
v. 加味于…（flavor的ing形式）"
flawless,adj. 完美的；无瑕疵的；无裂缝的
flaxen,adj. 淡黄色的；亚麻的；亚麻色的
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
flextime,n. 弹性工作时间
flier,n. 飞行员；快车；飞行物；（美）广告传单
flighty,adj. 轻浮的；轻狂的；心情浮动的
flit,"n. 轻快的飞行；搬家
vi. 掠过；轻快地飞；移居"
floodgate,n. 水闸；水门；防潮水闸；制约（怒气）
floodlight,"n. 照明灯；泛光灯；探照灯
vt. 用泛光灯照亮"
flop,"n. 失败；砰然落下；拍击声
vi. 失败；扑拍；扑通落下；笨重地摔
vt. 笨拙地抛下；扑通放下；拍（翅）
adv. 扑通一声；恰巧"
floppy,"n. 软磁碟
adj. 松软的；叭嗒叭嗒响的；懒散的，邋遢的"
floral,adj. 花的；植物的，植物群的；花似的
florid,adj. 绚丽的；气色好的
florist,n. 花商，种花人；花卉研究者
flout,"n. 嘲笑；轻视；愚弄
vt. 嘲笑；藐视；愚弄
vi. 嘲笑；表示轻蔑"
fluidity,n.  流动性；流质；易变性
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
flurry,"n. 慌张；疾风；飓风；骚动
vt. 使恐慌；使激动
vi. 慌张；激动"
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
flyleaf,n. 飞页，章节后的空白
flywheel,n.  飞轮，惯性轮；调速轮
foible,n. 弱点；小缺点；癖好
folder,n. 文件夹；折叠机；折叠式印刷品
folivore,n. ( 尤指灵长目) 食叶动物
folklore,n. 民俗学；民间传说；民间风俗
font,n. 字体；字形；泉；洗礼盘，圣水器
footbridge,n.  人行桥
foothill,n. 山麓小丘；丘陵地带
foothold,n. 据点；立足处
footloose,adj. 自由自在的，不受束缚的
footman,n. 男仆，侍从；步兵
footwork,n. 步法；需跑腿的工作；策略
forbidding,"v. 禁止；不准（forbid的ing形式）
adj. 令人生畏的；严峻的；险恶的"
forceps,n.  钳子；医用镊子
foreboding,"n. 预感；先兆；预兆
adj. 预感的；不祥之兆的"
forecourt,n. 前院；前场
forefront,n. 最前线，最前部；活动的中心
forego,vt. 放弃；居先；在……之前
foreground,n. 前景；最显著的位置
foreknowledge,n. 预知；先见之明
foreland,"n. 沿海地区, 海角, 海岸地"
forensic,adj. 法院的；辩论的；适于法庭的
forerunner,n. 先驱；先驱者；预兆
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
forester,n. 林务官，护林人；森林人，森林居民
foretaste,"n. 先试；预示；先尝；试吃
vt. 先试；预尝；快乐地期待"
forethought,"n. 深谋远虑；先见；考虑将来
adj. 预先计划好的"
forewarn,vt. 预先警告
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
formulate,vt. 规划；用公式表示；明确地表达
formulation,n. 构想，规划；公式化；简洁陈述
fornicate,"adj. 弓形的；拱状的
vt. 私通
vi. 与…通奸"
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
forthwith,adv. 立刻，立即；不犹豫地
fortuitous,adj. 偶然的，意外的；幸运的
forum,n. 论坛，讨论会；法庭；公开讨论的广场
fount,n. 泉；源泉；墨水缸
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
fraternal,adj. 兄弟般的；友好的
fraudulent,adj. 欺骗性的；不正的
fraught,adj. 担心的，忧虑的；充满…的
freak,"n. 怪人，怪事；畸形人；反复无常
adj. 奇异的，反常的"
freehand,"adj. 徒手画的；不用仪器画的
adv. 徒手画地"
freelance,"n. 自由作家；自由记者
adj. 自由投稿的"
freewheel,"n. 自由轮
vi. 靠惯性滑行；随心所欲"
freighter,n.  货船；承运人
frenetic,"n. 疯子；狂人
adj. 狂热的；发狂的"
fresco,n. 壁画
frisk,"n. 搜身；快乐；蹦跳；快乐的时刻
vt. 轻摇
vi. 蹦跳；欢跃"
fritter,"n. 细片；屑；带馅油炸面团
vi. 浪费；减少；消散
vt. 浪费；细切；剁碎"
frivolity,n. 轻浮；轻薄；轻率
frizzy,adj. 卷曲的
frock,n. 女装；连衣裙；僧袍；罩袍
frogman,n. 蛙人
frolic,"n. 嬉闹，嬉戏
adj. 嬉戏的，欢乐的
vi. 嬉戏"
frontage,n. 前方；房子的正面；临街
frontal,"n. 额骨，额部；房屋的正面
adj. 额的；正面的，前面的"
frontbench,英国议会席中两大正党领袖人物就座的前排
frostbite,"n. 冻伤；冻疮；霜寒
vt. 使冻伤；使受霜害
vi. 参加冬季帆船比赛"
froth,"n. 泡沫，泡；口沫
vi. 吐白沫；起泡沫
vt. 使生泡沫"
fruiterer,n. 卖水果的人，水果商
fruition,n. 完成，成就；结果实
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
fuddle,"n. 混乱；酗酒
vt. 灌醉；使混乱
vi. 酗酒"
full-blown,adj. 成熟的；（花）盛开的；（帆等）张满的
full-length,adj. 全身的；全长的，未删节的；大型的
funicular,"adj. 索状的；纤维的
n. 索道缆车"
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
funky,adj. 时髦的；畏缩的；恶臭的
furl,"n. 卷起，折叠；卷起之物
vt. 叠，卷收；收拢
vi. 收拢，卷起"
fur-lined,衬毛皮的
furnishings,n. 家具；供应；穿戴用品（furnishing的复数）
furrier,n. 毛皮商；毛皮衣制作工
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
futility,n. 无用；徒劳；无价值
fuzzy,adj. 模糊的；失真的；有绒毛的
gabble,"n. 急促不清的话
vt. 喋喋不休地说；七嘴八嘴地说
vi. 急促而含糊地说话"
gable,"n. 山形墙；三角形饰物
vt. 在…上砌三角墙；在…安装三角形饰物
vi. 形成三角墙；形成三角形饰物"
gaiety,n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
gala,"n. 祝贺，庆祝；节日，特别娱乐
adj. 节日的，欢庆的；欢乐的"
gambit,n. 话题；开始；以取得优势的开局棋法；开场白
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
garland,"n. 花环
vt. 戴花环"
gastritis,n.  胃炎
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
gazette,"n. （英）公报；报纸
vt. 在报上刊载"
gearbox,n. 变速箱；齿轮箱
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
generic,adj. 类的；一般的；属的；非商标的
gesticulate,"vt. 用手势谈话；做姿势表达
vi. 用姿势示意；（讲话时）做手势"
gibber,"n. 三棱石；无法听懂的话
vi. 喋喋而言；胡扯"
gibberish,n. 乱语；快速而不清楚的言语
gill,"n. 鳃；菌褶；（山谷中的）沟壑，峡流；及耳（容量单位）
vi. 被刺网捕住
vt. 用刺网捕鱼；去除内脏"
girder,n.  大梁，纵梁
glacial,adj. 冰的；冰冷的；冰河时代的
gladiator,n. 斗剑者；古罗马公开表演的格斗者；争论者
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
gnarled,"adj.  多节的；粗糙的；多瘤的
v. 把…扭曲；长木瘤（gnarl的过去分词）"
gonorrhea,n.  淋病
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
granular,adj. 颗粒的；粒状的
granule,n. 颗粒
gratuitous,adj. 无理由的，无端的；免费的
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
gravitate,vi. 受引力作用；被吸引
grid,n. 网格；格子，栅格；输电网
grievance,n. 不满，不平；委屈；冤情
grievous,adj. 痛苦的；剧烈的
grisly,adj. 可怕的；厉害的；严重的
grounding,"n.  接地；基础；搁浅；（染色的）底色
v.  接地（ground的ing形式）；搁浅"
grovel,vi. 匍匐；卑躬屈膝；趴
gruesome,adj. 可怕的；阴森的
grumpy,"n. 脾气坏的人；爱抱怨的人
adj. 脾气暴躁的；性情乖戾的"
guru,n. 古鲁（指印度教等宗教的宗师或领袖）；领袖；专家
guttural,"n. 喉音；喉音字
adj. 咽喉的；喉咙的；喉音的"
habitué,
hacked,生气
hackle,"n. 针排；颈羽；手工梳麻台
vt. 梳理；乱砍"
hacksaw,"n. 钢锯；可锯金属的弓形锯
vt. 用钢锯锯断"
hag,n. 女巫；丑老太婆
haggard,"n. 野鹰
adj. 憔悴的；野性的"
haggle,"n. 讨价还价；争论
vi. 争论；乱劈
vt. 乱劈；乱砍"
hairdo,n. 发型；发式
hairpiece,n. 假发
hallelujah,"n. 赞美上帝的颂歌
int. 哈利路亚"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
hallowed,adj. 神圣的，神圣化的
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
Hallowe'en, 万圣节前夕；万圣夜
hallucinate,"vt. 使产生幻觉
vi. 出现幻觉"
halter,"n. 缰绳；绞索
vt. 给…套上缰绳；束缚"
hamstring,"n. 腿筋
vt. 切断腿筋使成跛腿；使残废"
handbrake,n. 手煞车；手闸
handicraft,n. 手工艺；手工艺品
handily,adv. 方便地；敏捷地；灵巧地
handiness,n. 巧妙，轻便，敏捷
handiwork,n. 手工艺； 手工制品；行为后果
handlebar,n. 手把；（美）八字胡（等于handlebar mustache）
handpicked,"adj. 用手挑选的; 精选的; 凭个人挑选的; 偏心挑选的
v. 用手采摘( handpick的过去式和过去分词 ); 仔细挑选; 精选; 亲自挑选"
handsomely,adv. 漂亮地；慷慨地；相当大地
handstand,n. 手倒立
handyman,n. 手巧的人； 杂务工；水手
hangar,n. 飞机库；飞机棚
hanger,n. 衣架；挂钩；绞刑执行者
hangman,n. 刽子手；绞刑吏；执行绞刑者
hangnail,n. 手指头的倒拉刺（指甲旁的逆刺皮）
hangover,n. 宿醉；残留物；遗物
hanker,vi. 向往，追求；渴望，期望
hankie,n. 手帕（等于handkerchief）
hanky,n. 手帕
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
harass,vt. 使困扰；使烦恼；反复袭击
harbinger,"n. 先驱；前兆；预告者
vt. 预告；充做…的前驱"
hardball,n. 硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段；刀剑搏杀
hard-bitten,adj. 顽强的；不屈服的
hardboard,n. 硬纸板
hard-boiled,adj. 煮过熟了的；不动感情的
hardcore,"n. 硬核；硬底层；碎砖垫层
adj. 赤裸裸描写性行为的"
hardheaded,adj. 脚踏实地的；冷静的；无懈可击的；顽固的
hardtop,"n. 有金属顶盖的汽车；室内电影院
adj. 有金属顶盖的
vt. 给…铺硬质路面"
hardwood,n. 硬木，硬木材； 阔叶树
harebrained,adj. 轻率的；粗心的
harelip,n. 兔唇， 唇裂
harmonica,n. 口琴（等于mouth organ）
harmonise,"vt. 使和谐
vi. 和谐（等于harmonize）"
harmonize,"vt. 使和谐；使一致；以和声唱
vi. 协调；和谐；以和声唱"
harmonium,n. 脚踏式风琴；小风琴
harpoon,"n. 鱼叉
vt. 用鱼叉叉；用鱼叉捕获"
hash,"n. 剁碎的食物；混杂，拼凑；重新表述
vt. 搞糟，把…弄乱；切细；推敲"
hatchback,"n. 有仓门式后背的汽车
adj. （汽车）斜背式的"
hatchery,n. 孵卵处
hatchet,"n. 短柄小斧
vt. 用短柄小斧砍伐；扼杀"
haulage,n. 拖运；拖曳；运费
haunch,n. 腰部，腰；臀部
haversack,n. 干粮袋；背袋
haystack,"n. 干草堆
比喻如大海捞针般难找"
haywire,"n.  临时电线；捆干草用的铁丝
adj. 乱糟糟的，乱七八糟的；疯狂的"
headdress,n. 头发编梳的式样；饰头巾
headgear,n. 帽子；马首挽具； 井架；牙齿矫正器
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
headland,n. 岬
headrest,n. 头靠，弹性头垫；靠头之物
headset,n. 耳机；头戴式受话器
headship,n. 能力；领导者的职位；校长的职位；职务
headstone,n. 基石；墓石
headstrong,adj. 任性的；顽固的；刚愎的
heady,adj. 兴奋的；任性的；性急的；顽固的；使人头晕的；令人陶醉的
hearse,n. 灵车；棺材
hearten,"vt. 激励；鼓励；使振作
vi. 振作"
heartland,n. 中心地带；心脏地区
heartrending,adj. 悲惨的；令人心碎的
heartstring,n. 心弦
heartwarming,adj. 感人的；暖人心房的
heathen,"n. 异教徒；粗野的人
adj. 异教的；野蛮的"
heatstroke,n.  中暑
heck,"n. 饲草架
int. 真见鬼（hell的委婉说法）"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
hector,"n. 虚张声势的人；威吓者；恃强凌弱的人
vt. 威吓；欺凌
vi. 威吓；愚弄"
hedonism,n. 快乐主义；快乐论
hedonist,"n. 快乐主义者；享乐主义者
adj. 享乐主义者的"
hefty,"n. 体格健壮的人
adj. 重的；肌肉发达的；异常大的
adv. 强有力地；非常"
heifer,n. 小母牛
heinous,adj. 可憎的；极凶恶的
heirloom,n. 传家宝；祖传遗物
helium,n.  氦（符号为He，2号元素）
helm,"n. 舵；舵柄；领导地位；驾驶盘
vt. 指挥；给...掌舵"
helmet,n. 钢盔，头盔
hemline,n. 底边，底缘
hemlock,n. 铁杉；毒芹属植物；毒胡萝卜
hemophilia,n.  血友病（等于haemophilia）
hemorrhage,"n.  出血（等于haemorrhage）；番茄汁
vt.  出血
vi.  出血"
hemorrhoid,n. 痔疮（等于haemorrhoid）；很难相处的人
hemp,"n. 大麻；麻类植物；大麻烟卷
adj. 大麻类植物的"
henceforth,adv. 今后；自此以后
henchman,n. 亲信；追随者；（美）走狗；侍从
henpecked,adj. 惧内的
hepatitis,n. 肝炎
herbivore,n.  食草动物
herbivorous,adj.  食草的
hereafter,"n. 将来；来世
adv. 今后，从此以后"
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
heredity,n. 遗传，遗传性
herein,adv. 此中，于此；焉；在这方面
hereof,adv. 于此；关于此点
heretical,adj. 异端的；异教的
hereto,adv. 到此为止；关于这个
heretofore,adv. 直到此时，迄今为止；在这以前
herewith,adv. 因此；同此；用此方法
hermetic,"n. 炼金术士
adj. 密封的；与外界隔绝的；不透气的；炼金术的"
hermitage,n. 隐士生活；隐士住处
heterodox,adj. 异端的；非正统的
heyday,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
hiatus,n. 裂缝，空隙；脱漏部分
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
hiccough,n.& v. 打嗝; 打呃; 呃逆
hideaway,n. 潜伏处；隐匿处；退隐处
hidebound,adj. 死板的；保守的；顽固的；墨守成规的
hierarchical,adj. 分层的；等级体系的
hieroglyphics,n.  象形文字；难以辨认或理解的文字（hieroglyphic的复数形式）
highbrow,"n. 卖弄知识的人；知识分子
adj. 不切实际的；自炫博学的；知识分子的"
highchair,n. 小孩吃饭时用的高脚椅子
highhanded,adj. 1。专横的
highness,n. 殿下，阁下；高度，高位；高尚，高贵
high-pitched,adj. 声调高的；声音尖锐的；紧张的；陡的
hiker,n. 徒步旅行者
hillock,n. 小丘；小山似的一堆
hilt,n. 刀把，柄
Hindi,"n. 北印度语
adj. 北印度的"
hindmost,adj. 最后面的，最后部的
hindquarter,n. 后腿及臀部
hindsight,n. 后见之明；枪的照门
Hinduism,n. 印度教
Hispanic,adj. 西班牙的
histrionic,"n. 演员
adj. 戏剧的；演员的，表演的"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
hoarding,"n.  囤积；贮藏；临时围墙
v. 贮藏（hoard的ing形式）"
hobbyhorse,n. （旋转木马台上的）木马，摇动木马
hobgoblin,n. 妖怪
hobnail,n. （钉在笨重的鞋底部的）平头钉; 大头钉
hobnob,"n. 交谈；共饮
vi. 交谈；共饮；过从甚密；亲切交谈"
hod,n. 煤斗；装木炭容器；木制容器；灰浆桶
hoggish,adj. 利己的；贪婪的；猪一般的
hogshead,n. 大桶；液量单位
holdall,n. 手提旅行箱或手提旅行袋
holiness,n. 神圣；圣座（大写，对教宗等的尊称）
hologram,n.  全息图；全息摄影，全息照相
homeopathy,n.  顺势疗法；同种疗法
homestead,n. 宅地；家园；田产
homey,adj. 舒适的；家庭似的；自在的
homy,adj. 舒适自在的，像在家里一样的
homicide,n. 过失杀人；杀人犯
homily,n. 说教；训诫
homing,"n. 归航；动物的返回性
adj. 回家的；自动导引的；有返回性的
v. 回家（home的ing形式）"
homogeneity,n. 同质；同种；同次性（等于homogeneousness）
homogenise,vt. 使均匀
homogenize,"vt. 使均匀；使类同
vi. 变均匀"
homosexual,"n. 同性恋者
adj. 同性恋的"
honeycomb,"n. 蜂巢，蜂巢状之物
adj. 似蜂巢的
vt. 使成蜂巢状；把…弄得千疮百孔
vi. 变成蜂巢状"
honk,"n. 雁叫声；汽车喇叭声
vi. 发雁鸣或汽车喇叭声
vt. 按汽车喇叭"
hoodwink,vt. 蒙蔽；欺骗；遮眼
hooligan,n. 阿飞；小流氓
hooray,"n. 万岁
vt. 呼万岁
int. 万岁
vi. 呼万岁"
hoover,"n. 吸尘器
v. 用吸尘器打扫"
hopper,n. 料斗；漏斗；单足跳者；跳虫
horde,n. 一大群，群；游牧部落
hornet,n.  大黄蜂
horrendous,adj. 可怕的；惊人的
horrific,adj. 可怕的；令人毛骨悚然的
horseplay,n. 动手脚和大声欢笑的玩闹；恶作剧
horseshoe,"n. 马蹄铁；U形物
vt. 装蹄铁于"
horsewhip,"n. 马鞭
vt. 用马鞭抽打；惩罚"
horsey,adj. 马的；似马的（等于sorsy）
horsy,adj. 马的，似马的；爱马的
hosiery,n. 针织品；袜类
hospice,n. 收容所；旅客招待所；救济院
hotbed,n. 滋长地，温床
hot-blooded,adj. 热血的；血气方刚的；激动的；鲁莽的
hotchpotch,n. 杂烩
hotelier,n. 旅馆老板
hotfoot,"n. 恶作剧
adv. 急忙地；火急地
vi. 急行"
hothead,n. 性急的人；鲁莽的人
hothouse,"n. 温室；温床
adj. 温室的；过分保护的；娇弱的"
hotplate,n. 电炉；扁平烤盘
hotpot,n. 火锅
houseboat,"n. 游艇；居住船
vi. 居住在船上；乘居住船游览"
housebound,adj. 不能离家的，足不出户的
housecoat,n. 家常服；长且松宽的家居女服
housecraft,"n. <英>管家的技能, 家政学"
housemaster,n. 男舍监；舍监
housewarming,n. 乔迁庆宴
housewifery,n. 家政，家事
hovel,"n. 小屋；栅舍；茅舍
vt. 使…住在茅屋；把…拴入棚舍"
howler,n. 大声叫喊者；嚎叫的人或动物；滑稽可笑的错误
HRH,abbr. 殿下（His/Her Royal Highness）
huckster,"n. 叫卖的小贩；小商人；吃广告饭的人
vt. 叫卖；讨价还价
vi. 叫卖；做小商贩"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
hulk,"n. 废船；笨重的船；船体；绿巨人，浩克（美国漫威漫画旗下超级英雄）
vi. 庞然大物般出现；赫然显现"
hulking,adj. 笨重的；粗陋的
humbug,"n. 骗子；欺骗；谎话
vt. 欺骗；哄骗
vi. 行骗"
humdrum,"n. 单调；乏味
adj. 单调的；无聊的
vi. 单调乏味地进行"
humpback,n. 驼背；座头鲸
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
hunchback,n. 驼背
hundredweight,n. 英担（重量单位）
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
hurtle,"n. 碰撞；猛冲
vt. 猛投；冲向
vi. 猛冲；猛烈碰撞"
husbandry,n. 饲养；务农，耕种；家政
hutch,"n. 笼；小屋；贮藏箱；矿车
vt. 把…装箱"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
hydrant,n. 消防栓；水龙头；给水栓
hydraulic,adj. 液压的；水力的；水力学的
hydrocarbon,n.  碳氢化合物
hydrochloric,adj. 氯化氢的，盐酸的
hydroelectricity,n. 水力电气
hydroxide,n.  氢氧化物；羟化物
hyperactive,adj. 极度活跃的；活动过度的
hypercritical,adj. 吹毛求疵的，苛评的
