intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
unfocused,adj. 不聚成焦点的
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
whole,"n. 整体；全部
adj. 完整的；纯粹的"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
inborn,adj. 天生的；先天的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
pathway,n. 路，道；途径，路径
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
swab,"n. 药签， 拭子；医用海绵，纱布；拖把，擦帚；无赖
vt. 打扫，擦拭；涂抹（药）于"
theology,n. 神学；宗教体系
unfolding,"n. 演变； 伸展； 解折叠
v. 展开（unfold的ing形式）"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
across,"prep. 穿过；横穿
adv. 横过；在对面"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
bandwidth,n.  带宽； 频带宽度
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
carry-on,"n. 手提行李，随身行李
adj. 可随身携带的"
cultural,adj. 文化的；教养的
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
fantasize,"vi. 幻想
vt. 幻想；想像"
grassland,n. 草原；牧草地
holiness,n. 神圣；圣座（大写，对教宗等的尊称）
instinctive,adj. 本能的；直觉的；天生的
investigator,n. 研究者；调查者；侦查员
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
minimal,adj. 最低的；最小限度的
oppressive,adj. 压迫的；沉重的；压制性的；难以忍受的
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
pocketbook,n. 钱包；笔记本；经济来源；皮夹
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
reader,n. 读者；阅读器；读物
remodel,vt. 改造；改变；改型
rural,adj. 农村的，乡下的；田园的，有乡村风味的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
society,n. 社会；交往；社团；社交界
storehouse,n. 仓库，贮藏库；宝库
time-limited,adj. 有时间限制的
tuition,n. 学费；讲授
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
widen,"vt. 放宽
vi. 变宽"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
customer,n. 顾客；家伙
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
good-natured,adj. 和蔼的；温厚的；脾气好的
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
mathematics,n. 数学；数学运算
origin,n. 起源；原点；出身；开端
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
congress,n. 国会；代表大会；会议；社交
bilingual,"n. 通两种语言的人
adj. 双语的"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
encourage,vt. 鼓励，怂恿；激励；支持
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
norm,n. 标准，规范
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
reconstruct,vt. 重建；改造；修复；重现
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
therapy,n. 治疗，疗法
unfortunately,adv. 不幸地
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
meaningless,adj. 无意义的；无目的的
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
seem,vi. 似乎；像是；装作
system,n. 制度，体制；系统；方法
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
unimaginable,adj. 不可思议的；难以想像的
unionist,n. 工会会员；联合主义者
vital,adj. 至关重要的；生死攸关的；有活力的
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
liberty,n. 自由；许可；冒失
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
seething,"v. 浸透；煮沸；激动（seethe的ing形式）
adj. 火热的，沸腾的"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
wilful,adj. 故意的；任性的
willful,adj. 有意的；任性的；故意的
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
fiction,n. 小说；虚构，编造；谎言
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
paycheck,n. 付薪水的支票，薪水
vocation,n. 职业；天职；天命；神召
actually,adv. 实际上；事实上
anymore,adv. 再也不，不再
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
difficult,adj. 困难的；不随和的；执拗的
doctrine,n. 主义；学说；教义；信条
embarrassing,adj. 使人尴尬的；令人为难的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
formally,adv. 正式地；形式上
grassroots,"n. 草根；基础
adj. 基层的；草根的；乡村的"
homebuyer,购房者
indication,n. 指示，指出；迹象；象征
instructor,n. 指导书；教员；指导者
involuntary,adj. 无意识的；自然而然的；不知不觉的
legacy,n. 遗赠，遗产
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
orbiter,n. 人造卫星；盘旋物
paradise,"n. 天堂
至福境地"
polarize,"vt. （使）极化；（使）偏振；（使）两极分化
vi. 极化；偏振；两极分化"
reasonableness,n. 合理；妥当
renaissance,n. 文艺复兴（欧洲14至17世纪）
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
solvable,adj. 可以解决的；可以解的；可溶的
streaming,"n. 流；（英）按能力分组
v. 流动（stream的ing形式）"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
timely,"adj. 及时的；适时的
adv. 及时地；早"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
unresponsive,adj. 反应迟钝的；无反应的
voter,n. 选举人，投票人；有投票权者
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
noteworthy,adj. 值得注意的；显著的
recur,vi. 复发；重现；采用；再来；循环；递归
self-conscious,"adj. 难为情的
adj. 自觉的"
unpleasant,adj. 讨厌的；使人不愉快的
degree,n. 程度，等级；度；学位；阶层
fierce,adj. 凶猛的；猛烈的；暴躁的
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
single-use,一次性的
enact,vt. 颁布；制定法律；扮演；发生
overarching,"adj. 首要的；支配一切的；包罗万象的
v. 成拱形（overarch的ing形式）"
grocery,"n. 食品杂货店
食品杂货"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
offload,"vt. 卸下；卸货
adj. 卸载的"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
income,n. 收入，收益；所得
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
outsider,n. 外人；无取胜希望者
redefine,vt. 重新定义
thorough,adj. 彻底的；十分的；周密的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
biomass,n. （单位面积或体积内的） 生物量
constrain,vt. 驱使；强迫；束缚
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
incomplete,adj. 不完全的； 不完备的
lifestyle,"n. 生活方式
保健的"
memory,n. 记忆，记忆力；内存， 存储器；回忆
notion,n. 概念；见解；打算
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
semen,n. 精液；精子
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
inconclusive,adj. 不确定的；非决定性的；无结果的
engine,n. 引擎，发动机；机车，火车头；工具
hither,"adj. 这边的；近这边的
adv. 到这里；在这里"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
novel,"adj. 新奇的；异常的
n. 小说"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
thoughtless,adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
re-evaluate,重估
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
birth,n. 出生；血统，出身；起源
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
delicious,adj. 美味的；可口的
enjoy,vt. 欣赏，享受；喜爱；使过得快活
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
incur,vt. 招致，引发；蒙受
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
overburden,"vt. 使负担过重；使过劳
n. 表土（等于burden，capping）；过重的负担"
thrive,vi. 繁荣，兴旺；茁壮成长
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
unjust,adj. 不公平的，不公正的；非正义的
wit,"n. 智慧；才智；智力
v. <古>知道；即"
additional,adj. 附加的，额外的
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
cautiousness,n. 谨慎；小心
college,n. 大学；学院；学会
curriculum,"n. 课程
总课程"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
embodiment,n. 体现；化身；具体化
especially,adv. 特别；尤其；格外
favoritism,n. 偏袒；得宠
favouritism,n. 徇私；偏爱；得宠
forthcoming,"n. 来临
adj. 即将来临的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
involvement,n. 牵连；包含；混乱；财政困难
legally,adv. 合法地；法律上
manuscript,"n.  手稿；原稿
adj. 手写的"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
parliament,n. 议会，国会
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
programming,n. 设计，规划；编制程序， 程序编制
receive,"vt. 收到；接待；接纳
vi. 接收"
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
time-wasting,浪费时间的
ultra-thin,超薄
unsettled,adj. 未决定的；怀疑的；未处理的；不整齐的
wallet,n. 钱包，皮夹
wildlife,"n. 野生动植物
adj. 野生动植物的"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
likewise,adv. 同样地；也
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
overcharge,"n. 过度充电；超载；装药过多
vt. 对……索价过高；使……过度充电
vi. 过度充电；讨价过高"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
consequence,n. 结果；重要性；推论
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
horizon,n.  地平线；视野；眼界；范围
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
blaspheme,"vt. 亵渎；咒骂，辱骂
vi. 说亵渎的话；口出恶言"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
enrage,vt. 激怒；使暴怒
fine-grained,adj. 细粒的；有细密纹理的
graveyard,n. 墓地
hormone,n.  激素，荷尔蒙
limit,"n. 限制；限度；界线
vt. 限制；限定"
overdressed,adj. 过分打扮的；穿着过于讲究的
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
blog,n. 博客；部落格；网络日志
demographics,n. 人口统计资料
enrich,vt. 使充实；使肥沃；使富足
horn,"n. 喇叭，号角；角
vt. 装角于"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
regal,adj. 帝王的；王室的；豪华的；庄严的
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
cynic,"adj. 犬儒学派的
n. 愤世嫉俗者；犬儒学派的人"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
library,n. 图书馆，藏书室；文库
photocopier,n. 影印机；复印机
ecosystem,n. 生态系统
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
finite,"n. 有限之物
adj. 有限的；限定的"
horrify,vt. 使恐惧；惊骇；使极度厌恶
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
overfish,vt. 对（鱼、渔场）捕捞过度
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
unmistakable,adj. 明显的；不会弄错的
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
linguist,"n. 语言学家
学多种外语的人"
miniskirt,n. 超短裙；迷你短裙
overfund, 对…提供充足资金；过度融资
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
unnecessary,adj. 不必要的；多余的，无用的
dentist,"n. 牙科医生
牙医诊所"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
fireplace,n. 壁炉
indirect,adj. 间接的；迂回的；非直截了当的
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
tiny,adj. 微小的；很少的
unrealistic,adj. 不切实际的；不实在的
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
adherence,n. 坚持；依附；忠诚
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
baseless,adj. 无根据的；无基础的
boundary,n. 边界；范围；分界线
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
data,n. 数据（datum的复数）；资料
diplomacy,n. 外交；外交手腕；交际手段
embody,vt. 体现，使具体化；具体表达
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
inefficiency,n. 效率低；无效率；无能
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
marginalized,"使边缘化
忽略
排斥(marginalize的过去式和过去分词)"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
partly,adv. 部分地；在一定程度上
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
recent,adj. 最近的；近代的
sadly,adv. 悲哀地；悲痛地
shedder,n. 使流出的人，倒注者，脱壳期的虾和蟹
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
unanimous,adj. 全体一致的；意见一致的；无异议的
unstoppable,adj. 无法阻碍的；无法停止的（副词unstoppably）
strikingly,adv. 显著地；突出地，引人注目地
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
setback,n. 挫折；退步；逆流
workforce,n. 劳动力；工人总数，职工总数
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
overrate,vt. 过高估计；对…估价过高
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
unreflecting,adj. 不反射的; 不反省的; 无思虑的; 浅薄的
workplace,n. 工作场所；车间
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
chemical,"n. 化学制品，化学药品
adj. 化学的"
enthusiasm,n. 热心，热忱，热情
