enable,vt. 使能够，使成为可能；授予权利或方法
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
community,n. 社区； 群落；共同体；团体
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
client,n.  客户；顾客；委托人
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
cuisine,n. 烹饪，烹调法
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
species,"n.  物种；种类
adj. 物种上的"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
autonomous,adj. 自治的；自主的；自发的
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
valley,n. 山谷；流域；溪谷
journal,n. 日报，杂志；日记；分类账
separation,n. 分离，分开；间隔，距离； 分居；缺口
customs,n. 海关；风俗（custom的复数）；习惯；关税
analysis,n. 分析；分解；验定
analyses,n. 分析；解析；分解；梗概（analysis的复数形式）
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
undertake,vt. 承担，保证；从事；同意；试图
injure,vt. 伤害，损害
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
garlic,n. 大蒜；蒜头
hydrogen,n.  氢
advertisement,n. 广告，宣传
ridiculous,adj. 可笑的；荒谬的
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
output,"n. 输出，输出量；产量；出产
vt. 输出"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
ambulance,n.  救护车；战时流动医院
liberation,n. 释放，解放
liberty,n. 自由；许可；冒失
description,n. 描述，描写；类型；说明书
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
treatment,n. 治疗，疗法；处理；对待
episode,n. 插曲；一段情节；插话；有趣的事件
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
breakthrough,n. 突破；突破性进展
council,n. 委员会；会议；理事会；地方议会；顾问班子
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
expectation,n. 期待；预期；指望
capacity,n. 能力；容量；资格，地位；生产力
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
insight,n. 洞察力；洞悉
anniversary,n. 周年纪念日
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
vase,n. 瓶；花瓶
handkerchief,n. 手帕；头巾，围巾
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
bride,n. 新娘；姑娘，女朋友
bridegroom,n. 新郎
arbitrary,adj.  任意的；武断的；专制的
surgery,n. 外科；外科手术；手术室；诊疗室
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
complicated,adj. 难懂的，复杂的
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
shopkeeper,n. 店主，老板
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
percentage,n. 百分比；百分率，百分数
grocer,n. 杂货店；食品商
grocery,"n. 食品杂货店
食品杂货"
procedure,n. 程序，手续；步骤
nutrition,n. 营养，营养学；营养品
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
genius,n. 天才，天赋；精神
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
drawback,n. 缺点，不利条件；退税
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
pub,n. 酒馆；客栈
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
shortly,adv. 立刻；简短地；唐突地
gram,n. 克；鹰嘴豆（用作饲料）
gramme,n. 克
receipt,"n. 收到；收据；收入
vt. 收到"
literary,adj. 文学的；书面的；精通文学的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
slavery,n. 奴役；奴隶制度；奴隶身份
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
freezing,adj. 冰冻的；严寒的；冷冻用的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
urban,adj. 城市的；住在都市的
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
chaos,n. 混沌，混乱
firework,n. 烟火；激烈情绪
possibility,n. 可能性；可能发生的事物
elderly,adj. 上了年纪的；过了中年的；稍老的
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
bureaucratic,adj. 官僚的；官僚政治的
stadium,n. 体育场；露天大型运动场
celebrity,n. 名人；名声
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
baggage,n. 行李； 辎重（军队的）
supper,n. 晚餐，晚饭；夜宵
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
admission,n. 承认；入场费；进入许可；坦白；录用
competition,n. 竞争；比赛，竞赛
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
fountain,n. 喷泉，泉水；源泉
heaven,n. 天堂；天空；极乐
logical,adj. 合逻辑的，合理的；逻辑学的
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
insect,n. 昆虫；卑鄙的人
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
tobacco,n. 烟草，烟叶；烟草制品；抽烟
chef,n. 厨师，大师傅
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
brewery,n. 啤酒厂
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
surgeon,n. 外科医生
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
dioxide,n. 二氧化物
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
entertainment,n. 娱乐；消遣；款待
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
thorough,adj. 彻底的；十分的；周密的
porter,n. 门房；服务员；行李搬运工；守门人
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
existence,n. 存在，实在；生存，生活；存在物，实在物
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
laptop,n. 膝上型轻便电脑，笔记本电脑
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
westward,"n. 西部；西方
adj. 向西的；西方的
adv. 向西"
westwards,"adv. 向西
adj. 向西的"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
director,n. 主任，主管；导演；人事助理
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
airplane,n. 飞机
stubborn,adj. 顽固的；顽强的；难处理的
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
album,n. 相簿；唱片集；集邮簿；签名纪念册
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
equator,n. 赤道
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
biochemistry,"n. 生物化学
生物化学过程"
disability,n. 残疾；无能；无资格；不利条件
geography,n. 地理；地形
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
terrify,vt. 恐吓；使恐怖；使害怕
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
motto,n. 座右铭，格言；箴言
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
nursery,n. 苗圃；托儿所；温床
intense,adj. 强烈的；紧张的；非常的；热情的
motivate,vt. 刺激；使有动机；激发…的积极性
theoretical,adj. 理论的；理论上的；假设的；推理的
garbage,n. 垃圾；废物
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
eyesight,n. 视力；目力
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
currency,n. 货币；通货
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
retell,vt. 复述；再讲；重述
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
sausage,n. 香肠；腊肠；装香肠的碎肉
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
storage,n. 存储；仓库；贮藏所
suburb,n. 郊区；边缘
adequate,adj. 充足的；适当的；胜任的
expansion,n. 膨胀；阐述；扩张物
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
litre,n.  公升（米制容量单位）
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
reaction,n. 反应，感应；反动，复古；反作用
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
deliberately,adv. 故意地；谨慎地；慎重地
passion,n. 激情；热情；酷爱；盛怒
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
petrol,n. （英）汽油
unemployment,n. 失业；失业率；失业人数
evident,adj. 明显的；明白的
performer,n. 演出者；执行者；演奏者
adjustment,n. 调整，调节；调节器
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
beneficial,adj. 有益的，有利的；可享利益的
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
dictionary,n. 字典；词典
kindergarten,n. 幼儿园；幼稚园
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
forgetful,adj. 健忘的；不注意的；疏忽的；使遗忘的
thunderstorm,n.  雷暴；雷暴雨；大雷雨
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
habitat,n.  栖息地，产地
guidance,n. 指导，引导；领导
atmosphere,n. 气氛；大气；空气
permission,n. 允许，许可
ample,adj. 丰富的；足够的；宽敞的
eagle,n. 鹰；鹰状标饰
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
historic,adj. 有历史意义的；历史上著名的
symptom,n.  症状；征兆
membership,n. 资格；成员资格；会员身份
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
unconditional,adj. 无条件的；绝对的；无限制的
friction,n. 摩擦， 摩擦力
obviously,"adv. 明显地
显然地"
punctual,adj. 准时的，守时的；精确的
punctuation,n. 标点；标点符号
properly,adv. 适当地；正确地；恰当地
videophone,n. 电视电话
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
domain,n. 领域；域名；产业；地产
villager,n. 乡村居民，村民
duration,"n. 持续，持续的时间，期间
音长，音延"
authentic,adj. 真正的，真实的；可信的
embarrass,vt. 使局促不安；使困窘；阻碍
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
starvation,n. 饿死；挨饿；绝食
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
clinic,n. 临床；诊所
rural,adj. 农村的，乡下的；田园的，有乡村风味的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
soccer,n. 英式足球，足球
hero,n. 英雄；男主角，男主人公
heroes,n. 英雄（hero的复数形式）
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
visitor,n. 访问者，参观者；视察者；候鸟
gate,"n. 大门；出入口；门道
vt. 给…装大门"
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
cubic,adj. 立方体的，立方的
actor,n. 男演员；行动者；作用物
actress,n. 女演员
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
sunlight,n. 日光
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
famous,adj. 著名的；极好的，非常令人满意的
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
fisherman,n. 渔夫；渔人
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
coat,"n. 外套
vt. 覆盖…的表面"
movie,"n. 电影；电影院；电影业
adj. 电影的"
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
dolphin,n. 海豚
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
crazy,adj. 疯狂的；狂热的，着迷的
cloth,"n. 布；织物；桌布
adj. 布制的"
upon,prep. 根据；接近；在…之上
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
science,n. 科学；技术；学科；理科
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
somebody,"n. 大人物；重要人物
pron. 有人；某人"
useful,adj. 有用的，有益的；有帮助的
useless,adj. 无用的；无效的
user,"n. 用户
n. 使用者"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
math,n. 数学（等于mathematics）
maths,n. 数学（等于mathematics）
mathematics,n. 数学；数学运算
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
poem,n. 诗
poetry,n. 诗；诗意，诗情；诗歌艺术
exam,n. 考试；测验
examination,n. 考试；检查；查问
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
mountain,n. 山；山脉
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
ever,adv. 永远；曾经；究竟
museum,n. 博物馆
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artist,n. 艺术家；美术家（尤指画家）；大师
dam,"n.  水坝；障碍
v. 控制；筑坝"
homework,n. 家庭作业，课外作业
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
dangerous,"adj. 危险的
危险地"
deaf,adj. 聋的
exit,"n. 出口，通道；退场
vi. 退出；离去"
schoolbag,n. 书包
winner,n. 胜利者
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
opera,n. 歌剧；歌剧院；歌剧团
aircraft,n. 飞机，航空器
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
salty,adj. 咸的；含盐的
life,n. 生活，生存；寿命
lives,"n. 生活， 生命（life的复数）
v. 生活（live的三单形式）；居住"
city,"n. 城市，都市
adj. 城市的；都会的"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
factory,n. 工厂；制造厂；代理店
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
thirsty,adj. 口渴的，口干的；渴望的，热望的
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
pea,n. 豌豆
lively,adj. 活泼的；生动的；真实的；生气勃勃的
tiny,adj. 微小的；很少的
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
notebook,n. 笔记本，笔记簿；手册
elephant,n. 象；大号图画纸
university,n. 大学；综合性大学；大学校舍
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
panda,n. 熊猫；猫熊
window,n. 窗；窗口；窗户
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
besides,"prep. 除…之外
adv. 此外；而且"
beside,prep. 在旁边；与…相比；和…无关
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
army,n. 陆军，军队
blog,n. 博客；部落格；网络日志
forever,adv. 永远；不断地；常常
overcoat,n. 大衣，外套
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
e-mail,
email,"n. 电子信函
vt. 给…发电子邮件"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
typist,n. 打字员，打字者
camera,n. 照相机；摄影机
ox,n. 牛；公牛
oxen,n. 牛（ox的复数）
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
