discrepancy,n. 不符；矛盾；相差
imitate,vt. 模仿，仿效；仿造，仿制
dilemma,n. 困境；进退两难；两刀论法
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
via,prep. 渠道，通过；经由
slippery,adj. 滑的；狡猾的；不稳定的
eternal,adj. 永恒的；不朽的
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
preside,"vi. 主持，担任会议主席
vt. 管理"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
interval,n. 间隔；间距；幕间休息
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
delinquent,"n. 流氓；行为不良的人；失职者
adj. 有过失的；怠忽的；拖欠债务的"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
superb,adj. 极好的；华丽的；宏伟的
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
integrity,n. 完整；正直；诚实；廉正
emotional,adj. 情绪的；易激动的；感动人的
grunt,"n. 咕哝；呼噜声
vt. 咕哝着说
vi. 作呼噜声；发哼声"
amaze,vt. 使吃惊
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
compete,vi. 竞争；比赛；对抗
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
nominate,vt. 推荐；提名；任命；指定
apt,adj. 恰当的；有…倾向的；灵敏的
standpoint,n. 立场；观点
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
inconsistent,adj. 不一致的；前后矛盾的
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
tortuous,adj. 扭曲的，弯曲的；啰嗦的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
comprise,vt. 包含；由…组成
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
takeover,n. 接管；验收
arrogant,adj. 自大的，傲慢的
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
naive,"adj. 天真的,幼稚的"
dignify,vt. 使高贵；增威严；授以荣誉
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
accumulate,"vt. 积攒
vi. 累积；积聚"
affection,n. 喜爱，感情；影响；感染
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
identity,n. 身份；同一性，一致；特性；恒等式
haggard,"n. 野鹰
adj. 憔悴的；野性的"
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
retain,vt. 保持；雇；记住
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
prolong,vt. 延长；拖延
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
ineffective,adj. 无效的，失效的；不起作用的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
bilateral,adj. 双边的；有两边的
expend,vt. 花费；消耗；用光；耗尽
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
convenient,adj. 方便的；适当的；近便的；实用的
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
indignant,adj. 愤愤不平的；义愤的
gruff,"adj. 粗暴的；粗哑的；脾气坏的
vt. 粗鲁地说；生硬地说
vi. 粗鲁地说；生硬地说话
n. 格拉夫（英国珠宝品牌）"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
impenetrable,adj. 不能通过的；顽固的；费解的；不接纳的
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
upbringing,n. 教养；养育；抚育
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
suspicious,adj. 可疑的；怀疑的；多疑的
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
compel,vt. 强迫，迫使；强使发生
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
abbey,n. 大修道院，大寺院；修道院中全体修士或修女
abdomen,n. 腹部；下腹；腹腔
abnormal,adj. 反常的，不规则的；变态的
aborigine,n. 土著；土著居民
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
academy,n. 学院；研究院；学会；专科院校
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accordion,"n. 手风琴
adj. 可折叠的"
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
ache,"n. 疼痛
vi. 疼痛；渴望"
acre,n. 土地，地产；英亩
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
acronym,n. 首字母缩略词
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
admiral,n. 海军上将；舰队司令；旗舰
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aeronautics,n. 航空学；飞行术
aeroplane,n. 飞机（等于airplane）
aesthetics,n. 美学；美的哲学
after-effect,n. 后果；后作用
afterward,adv. 以后，后来
agenda,n. 议程；日常工作事项；日程表
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
airbase,n. 空军基地；航空基地
air-conditioned,"adj. 备有空调装置的
v. 给…装上空调器；用空调器调节（air-condition的过去分词）"
aircraft,n. 飞机，航空器
airfield,n. 飞机场
air hostess,"n. （客机上的）女乘务员；空中小姐
 空姐；飞机餐厅空姐服务；空中小姐有空中女主人"
airliner,n. 班机；大型客机
airmail,n. 航空邮件
airtight,adj. 密闭的，密封的；无懈可击的
airway,n. 导气管；空中航线；通风孔
aisle,n. 通道，走道；侧廊
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
album,n. 相簿；唱片集；集邮簿；签名纪念册
alcohol,n. 酒精，乙醇
ale,n. 麦芽酒
algae,n.  藻类； 海藻
algebra,n. 代数学
alley,n. 小巷；小路；小径
alligator,"n. 短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具
adj. 鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的
vi. 皱裂；裂开"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
almond,n. 扁桃仁；扁桃树
alongside,"prep. 在……旁边
adv. 在旁边"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
altar,n. 祭坛；圣坛；圣餐台
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
aluminum,n. 铝
aluminium,"n. 铝
adj. 铝的"
alumna,n. 女毕业生；女校友
alumnus,n. 男校友；男毕业生
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
ambassador,n. 大使；代表；使节
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
ambulance,n.  救护车；战时流动医院
ammeter,n.  安培计； 电流计
ammonia,n.  氨，阿摩尼亚
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
ampere,n. 安培（计算电流强度的标准单位）
anatomy,n. 解剖；解剖学；剖析；骨骼
ancestor,n. 始祖，祖先；被继承人
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
anchorman,n. 末棒运动员；新闻节目主持人
anchorwoman,n. 广播新闻的女主持人
anecdote,n. 轶事；奇闻；秘史
angel,"n. 天使；守护神；善人
vt. 出钱支持"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ankle,n. 踝关节，踝
annals,n. 年报；编年史；年鉴
anniversary,n. 周年纪念日
anode,"n. 阳极（电解）
n. 正极（原电池）"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
antagonism,n. 对抗，敌对；对立；敌意
antagonist,n. 敌手； 对抗肌； 拮抗物；反协同试剂
Antarctic,
antenna,n.  天线； 触角， 触须
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antics,n. 滑稽动作；古怪姿态
antiseptic,"n. 防腐剂，抗菌剂
adj. 防腐的，抗菌的；非常整洁的"
antonym,n.  反义词
anything,pron. 任何事
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
apostrophe,n. 省略符号，撇号；呼语，顿呼
apparatus,n. 装置，设备；仪器；器官
appetite,n. 食欲；嗜好
appliance,n. 器具；器械；装置
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
apricot,"n. 杏，杏子； 杏树；杏黄色
adj. 杏黄色的"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
aptitude,n. 天资；自然倾向；适宜
aquarium,n. 水族馆；养鱼池；玻璃缸
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
archaeologist,n. 考古学家
archaeology,"n. 考古学
考古学的"
archbishop,n. 大主教；总教主
archway,n. 拱门；拱道
Arctic,
arena,n. 舞台；竞技场
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
aristocrat,n. 贵族
arithmetic,n. 算术，算法
armament,n. 武器；军备
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
armour,n. 盔甲；装甲；护面
armpit,n. 腋窝
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
artery,n. 动脉；干道；主流
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
artillery,n. 火炮；大炮；炮队；炮术
ashamed,adj. 惭愧的，感到难为情的；耻于……的
ashtray,n. 烟灰缸
asphalt,"n. 沥青；柏油
adj. 用柏油铺成的
vt. 以沥青铺"
aspirin,n. 阿司匹林（解热镇痛药）
ass,n. 屁股；驴子；蠢人
assassin,n. 刺客，暗杀者
assassinate,vt. 暗杀；行刺
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
astronaut,n. 宇航员，航天员；太空旅行者
astronomer,n. 天文学家
astronomy,n. 天文学
athletic,adj. 运动的，运动员的；体格健壮的
atlas,n. 地图集；寰椎
atmosphere,n. 气氛；大气；空气
atom,n. 原子
attaché,
attic,n. 阁楼；顶楼；鼓室上的隐窝
attorney,n. 律师；代理人；检查官
audiovisual,"n. 视听教材
adj. 视听的；视听教学的"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditorium,n. 礼堂，会堂；观众席
aural,adj. 听觉的；耳的；气味的；先兆的
autobiography,n. 自传；自传文学
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automobile,"n. 汽车
vt. 驾驶汽车
"
autonomous,adj. 自治的；自主的；自发的
autonomy,n. 自治，自治权
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
aviation,n. 航空；飞行术；飞机制造业
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
axe,"n. 斧
vt. 削减；用斧砍"
axiom,n.  公理；格言；自明之理
axis,n. 轴；轴线；轴心国
axle,n. 车轴； 轮轴
backbone,n. 支柱；主干网；决心，毅力；脊椎
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
bacon,n. 咸肉；腌肉；熏猪肉
bacteria,n.  细菌
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
badminton,n. 羽毛球
bad-tempered,adj. 脾气不好的；易怒的
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
balcony,n. 阳台；包厢；戏院楼厅
bale,"n. 包；捆；灾祸；不幸
v. 将 ... 打包"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bandit,n. 强盗，土匪；恶棍；敲诈者
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
banister,n. 栏杆的支柱；楼梯的扶栏
banking,"n. 银行业；银行业务；银行家的职业；筑堤
v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
barley,n. 大麦
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barometer,n.  气压计；晴雨表；显示变化的事物
baron,n. 男爵；大亨；巨头
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
basement,n. 地下室；地窖
basin,n. 水池；流域；盆地；盆
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
bastard,"n. 私生子
adj. 私生的"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
beacon,"n. 灯塔，信号浮标；烽火；指路明灯
vt. 照亮，指引
vi. 像灯塔般照耀"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
beaker,n. 烧杯；大口杯
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
bean-sprout,
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
beast,n. 野兽；畜生，人面兽心的人
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
berth,"n. 卧铺；停泊处，锚位；差事
vt. 使……停泊；为……提供铺位
vi. 停泊；占铺位"
bestseller,n. 畅销书；畅销书作者；畅销商品（等于best seller）
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
beverage,n. 饮料
bibliography,n. 参考书目；文献目录
bilingual,"n. 通两种语言的人
adj. 双语的"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
binary,adj.  二进制的；二元的，二态的
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
biochemistry,"n. 生物化学
生物化学过程"
biography,n. 传记；档案；个人简介
biology,n. （一个地区全部的）生物；生物学
biotechnology,n.  生物技术； 生物工艺学
birch,"n. 桦木；桦树；桦条
vt. 用桦条鞭打"
bishop,n. （基督教的）主教；（国际象棋的）象
bladder,n. 膀胱；囊状物，可充气的囊袋
blade,n. 叶片；刀片，刀锋；剑
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
bleat,"n. 咩咩叫声
vt. 咩咩地叫；愚蠢地讲
vi. 咩咩叫；胡扯；抱怨"
blister,"n. 水泡；水疱；气泡；砂眼；起泡剂
vt. 使起水泡；痛打；猛烈抨击
vi. 起水泡"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
bodyguard,n. 保镖
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
bony,adj. 骨的；多骨的；瘦骨嶙峋的；似骨的
bookish,adj. 书本上的；好读书的；书呆子气的
bookkeeping,n. 记帐，簿记
booklet,n. 小册子
booth,n. 货摊；公用电话亭
borderline,"n. 边界线，边界；界线
adj. 边界的；暧昧的"
borough,n. 区；自治的市镇
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
botany,n. 植物学；地区植物总称
bottleneck,n. 瓶颈；障碍物
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
bough,n. 大树枝
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
bouquet,n. 花束；酒香
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
bracelet,n. 手镯；手链
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
briefcase,n. 公文包
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
brochure,n. 手册，小册子
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brooch,n. （女用的）胸针，领针
brook,"n. 小溪；小河
vt. 忍受；容忍"
brotherhood,n. 兄弟关系；手足情谊；四海之内皆兄弟的信念
brotherly,"adj. 兄弟的；兄弟般的；亲切的
adv. 兄弟般地；亲切地"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
brute,"n. 畜生；残暴的人
adj. 残忍的；无理性的"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
Buddha,n. 佛陀；佛像
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bugle,"n. 喇叭；军号；筋骨草属植物
vt. 吹号集合
vi. 吹号；吹喇叭"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bulldozer,n. 推土机；欺凌者，威吓者
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bulletin,"n. 公告，公报
vt. 公布，公告"
bullish,adj. 看涨的；上扬的；似公牛的
bun,"n. 小圆面包
屁股
圆髻"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
bungalow,n. 平房；小屋
bureau,n. 局，处；衣柜；办公桌
bureaucrat,n. 官僚；官僚主义者
burglar,n. 夜贼，窃贼
