personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
optimistic,adj. 乐观的；乐观主义的
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
reaction,n. 反应，感应；反动，复古；反作用
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remind,vt. 提醒；使想起
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
require,vt. 需要；要求；命令
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tolerate,vt. 忍受；默许；宽恕
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
undoubtedly,adv. 确实地，毋庸置疑的
unwilling,adj. 不愿意的；不情愿的；勉强的
urgent,adj. 紧急的；急迫的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
widen,"vt. 放宽
vi. 变宽"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
