hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
plenty of,"na. 很多的
 许多；大量的；充足的"
get in contact with,
file away,"na. 锉去(锈等)；排成纵队出发
 把…归档；用锉锉平；归档，结案"
IBM,abbr. 美国国际商用机器公司（International Business Machine）
International Business Machines, 国际商业机器公司；国际商用机器公司；美国国际商用机器公司
preparation,n. 预备；准备
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
competition,n. 竞争；比赛，竞赛
dozen,"n. 十二个，一打
adj. 一打的"
equally,adv. 同样地；相等地，平等地；公平地
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
candidate,n. 候选人，候补者；应试者
employer,n. 雇主，老板
guidance,n. 指导，引导；领导
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
role,n. 角色；任务
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
consist,vi. 由…组成；在于；符合
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
suitability,n. 适合；适当；相配
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
handshake,n. 握手
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
laboratory,n. 实验室，研究室
lab,n. 实验室，研究室
naked,adj. 裸体的；无装饰的；无证据的；直率的
imply,vt. 意味；暗示；隐含
instruction,n. 指令，命令；指示；教导；用法说明
qualify for, 有…资格；使具有…的资格；有资格充任
start from ground zero,
foul up,"na. 搞坏；同“foul”
 搞糟；搞砸；弄糟"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
upon entry to,
on entry to,
compose oneself,"na. 使自己镇定下来
 镇静；使自己镇定下来；镇静下来"
look someone in the eye, 直视某人
do something with flying colors,
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
in advance,"na. 预先；在先头
 事先；提前；事前"
wing it,"na. 临场发挥；即兴表演
 临时应付；即兴发挥；毫无准备地做某事"
cross ... off,
prisoner,n. 囚犯，犯人；俘虏；刑事被告
revolution,n. 革命；旋转；运行；循环
eagerness,n. 渴望；热心
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
excellent,adj. 卓越的；极好的；杰出的
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
policy,n. 政策，方针；保险单
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
mailroom,n. 邮件收发室（等于mail room）；信房（企事业单位中负责处理公、私邮件收发工作的部门）
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
hatred,n. 憎恨；怨恨；敌意
continually,adv. 不断地；频繁地
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
readily,adv. 容易地；乐意地；无困难地
busybody,n. 好事的人；爱管闲事的人
tiring,"adj. 累人的；麻烦的；无聊的；引起疲劳的
v. 厌倦；使劳累（tire的ing形式）；感到疲倦"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
interviewee,n. 被接见者；被访问者
behavior,n. 行为，举止；态度；反应
climate,n. 气候；风气；思潮；风土
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
recommendation,n. 推荐；建议；推荐信
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
sure enough,"na. 果然；果真
 确实；毫无疑问；果然不出所料"
boil down to,"na. (被)归结起来是…；(审判等到最后)表明
 归结为；简化为，归结为；归根到底"
come alive,"na. 活跃起来；觉悟起来；显得像真的一样
 重生；潜力苏醒；热闹起来"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
move on,"na. 继续前进；(使)继续前进；向前!
 继续移动；往前走；继续前行"
lighten up,"na. 同“lighten ”
 放轻松；放松；减仓"
get one's nose out of joint,
have a hatred toward,
have a hatred of,"na. 憎恶…
 一个中文词语或英文单词"
have a hatred for,憎恶…
call a spade a spade,"na. 直言不讳；是什么说什么
 实话实说；据实而言；有话直说"
ruffle someone's feathers, 惹人生气
let in on,"na. 告知
 让参与"
let someone in on something, 让某人在某事上
be oneself,"un. 充分控制自己
 显得自然；处于正常状态；做自己"
on one's best behavior,行为检点；规矩
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
jump aboard,"参加, 介入"
for the long run,
divide into,"v. 分为
 分成；把……分成；分开"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
Weinstein,
Angela,
Churchill,n. 邱吉尔（英国政治家及作家）
